ZipCode,EstimatedCombinedRate
90001,0.095
90002,0.095
90003,0.095
90004,0.095
90005,0.095
90006,0.095
90007,0.095
90008,0.095
90009,0.095
90010,0.095
90011,0.095
90012,0.095
90013,0.095
90014,0.095
90015,0.095
90016,0.095
90017,0.095
90018,0.095
90019,0.095
90020,0.095
90021,0.095
90022,0.095
90023,0.095
90024,0.095
90025,0.095
90026,0.095
90027,0.095
90028,0.095
90029,0.095
90030,0.095
90031,0.095
90032,0.095
90033,0.095
90034,0.095
90035,0.095
90036,0.095
90037,0.095
90038,0.095
90039,0.095
90040,0.1
90041,0.095
90042,0.095
90043,0.095
90044,0.095
90045,0.095
90046,0.095
90047,0.095
90048,0.095
90049,0.095
90050,0.095
90051,0.095
90052,0.095
90053,0.095
90054,0.095
90055,0.095
90056,0.095
90057,0.095
90058,0.095
90059,0.095
90060,0.095
90061,0.095
90062,0.095
90063,0.095
90064,0.095
90065,0.095
90066,0.095
90067,0.095
90068,0.095
90069,0.095
90070,0.095
90071,0.095
90072,0.095
90073,0.095
90074,0.095
90075,0.095
90076,0.095
90077,0.095
90078,0.095
90079,0.095
90080,0.095
90081,0.095
90082,0.095
90083,0.095
90084,0.095
90086,0.095
90087,0.095
90088,0.095
90089,0.095
90090,0.095
90091,0.095
90093,0.095
90094,0.095
90095,0.095
90096,0.095
90099,0.095
90101,0.095
90189,0.095
90201,0.095
90202,0.095
90209,0.095
90210,0.095
90211,0.095
90212,0.095
90213,0.095
90220,0.1025
90221,0.1025
90222,0.1025
90223,0.1025
90224,0.1025
90230,0.1
90231,0.1
90232,0.1
90233,0.1
90239,0.1
90240,0.1
90241,0.1
90242,0.1
90245,0.095
90247,0.095
90248,0.095
90249,0.095
90250,0.095
90251,0.095
90254,0.095
90255,0.095
90260,0.095
90261,0.095
90262,0.1025
90263,0.095
90264,0.095
90265,0.095
90266,0.095
90267,0.095
90270,0.095
90272,0.095
90274,0.095
90275,0.095
90277,0.095
90278,0.095
90280,0.1025
90290,0.095
90291,0.095
90292,0.095
90293,0.095
90294,0.095
90295,0.095
90296,0.095
90301,0.1
90302,0.1
90303,0.1
90304,0.095
90305,0.1
90306,0.1
90307,0.1
90308,0.1
90309,0.1
90310,0.1
90311,0.1
90312,0.095
90401,0.1025
90402,0.1025
90403,0.1025
90404,0.1025
90405,0.1025
90406,0.1025
90407,0.095
90408,0.1025
90409,0.1025
90410,0.095
90411,0.095
90501,0.095
90502,0.095
90503,0.095
90504,0.095
90505,0.095
90506,0.095
90507,0.095
90508,0.095
90509,0.095
90510,0.095
90601,0.095
90602,0.095
90603,0.095
90604,0.095
90605,0.095
90606,0.095
90607,0.095
90608,0.095
90609,0.095
90610,0.095
90620,0.0775
90621,0.0775
90622,0.0775
90623,0.0875
90624,0.0775
90630,0.0775
90631,0.0825
90632,0.0825
90633,0.0825
90637,0.1025
90638,0.1025
90639,0.1025
90640,0.095
90650,0.095
90651,0.095
90652,0.095
90660,0.1025
90661,0.1025
90662,0.1025
90670,0.095
90671,0.095
90680,0.0875
90701,0.095
90702,0.095
90703,0.095
90704,0.1
90706,0.095
90707,0.095
90710,0.095
90711,0.095
90712,0.095
90713,0.095
90714,0.095
90715,0.095
90716,0.095
90717,0.095
90720,0.0775
90721,0.0775
90723,0.095
90731,0.095
90732,0.095
90733,0.095
90734,0.095
90740,0.0775
90742,0.0775
90743,0.0775
90744,0.095
90745,0.095
90746,0.095
90747,0.095
90748,0.095
90749,0.095
90755,0.095
90801,0.1025
90802,0.1025
90803,0.1025
90804,0.1025
90805,0.1025
90806,0.1025
90807,0.1025
90808,0.1025
90809,0.1025
90810,0.1025
90813,0.1025
90814,0.1025
90815,0.1025
90822,0.1025
90831,0.1025
90832,0.1025
90833,0.1025
90840,0.1025
90842,0.1025
90844,0.1025
90846,0.1025
90847,0.1025
90848,0.1025
90853,0.1025
90895,0.095
90899,0.1025
91001,0.095
91003,0.095
91006,0.095
91007,0.095
91008,0.095
91009,0.095
91010,0.095
91011,0.095
91012,0.095
91016,0.095
91017,0.095
91020,0.095
91021,0.095
91024,0.095
91025,0.095
91030,0.095
91031,0.095
91040,0.095
91041,0.095
91042,0.095
91043,0.095
91046,0.095
91066,0.095
91077,0.095
91101,0.095
91102,0.095
91103,0.095
91104,0.095
91105,0.095
91106,0.095
91107,0.095
91108,0.095
91109,0.095
91110,0.095
91114,0.095
91115,0.095
91116,0.095
91117,0.095
91118,0.095
91121,0.095
91123,0.095
91124,0.095
91125,0.095
91126,0.095
91129,0.095
91182,0.095
91184,0.095
91185,0.095
91188,0.095
91189,0.095
91199,0.095
91201,0.095
91202,0.095
91203,0.095
91204,0.095
91205,0.095
91206,0.095
91207,0.095
91208,0.095
91209,0.095
91210,0.095
91214,0.095
91221,0.095
91222,0.095
91224,0.095
91225,0.095
91226,0.095
91301,0.095
91302,0.095
91303,0.095
91304,0.095
91305,0.095
91306,0.095
91307,0.095
91308,0.095
91309,0.095
91310,0.095
91311,0.095
91313,0.095
91316,0.095
91319,0.0725
91320,0.0725
91321,0.095
91322,0.095
91324,0.095
91325,0.095
91326,0.095
91327,0.095
91328,0.095
91329,0.095
91330,0.095
91331,0.095
91333,0.095
91334,0.095
91335,0.095
91337,0.095
91340,0.1
91341,0.1
91342,0.095
91343,0.095
91344,0.095
91345,0.095
91346,0.095
91350,0.095
91351,0.095
91352,0.095
91353,0.095
91354,0.095
91355,0.095
91356,0.095
91357,0.095
91358,0.0725
91359,0.0725
91360,0.0725
91361,0.0725
91362,0.0725
91364,0.095
91365,0.095
91367,0.095
91371,0.095
91372,0.095
91376,0.095
91377,0.0725
91380,0.095
91381,0.095
91382,0.095
91383,0.095
91384,0.095
91385,0.095
91386,0.095
91387,0.095
91390,0.095
91392,0.095
91393,0.095
91394,0.095
91395,0.095
91396,0.095
91401,0.095
91402,0.095
91403,0.095
91404,0.095
91405,0.095
91406,0.095
91407,0.095
91408,0.095
91409,0.095
91410,0.095
91411,0.095
91412,0.095
91413,0.095
91416,0.095
91423,0.095
91426,0.095
91436,0.095
91470,0.095
91482,0.095
91495,0.095
91496,0.095
91499,0.095
91501,0.095
91502,0.095
91503,0.095
91504,0.095
91505,0.095
91506,0.095
91507,0.095
91508,0.095
91510,0.095
91521,0.095
91522,0.095
91523,0.095
91526,0.095
91601,0.095
91602,0.095
91603,0.095
91604,0.095
91605,0.095
91606,0.095
91607,0.095
91608,0.095
91609,0.095
91610,0.095
91611,0.095
91612,0.095
91614,0.095
91615,0.095
91616,0.095
91617,0.095
91618,0.095
91701,0.0775
91702,0.095
91706,0.095
91708,0.0775
91709,0.0775
91710,0.0775
91711,0.095
91714,0.095
91715,0.095
91716,0.095
91722,0.095
91723,0.095
91724,0.095
91729,0.0775
91730,0.0775
91731,0.1
91732,0.1
91733,0.1
91734,0.1
91735,0.1
91737,0.0775
91739,0.0775
91740,0.095
91741,0.095
91743,0.0775
91744,0.095
91745,0.095
91746,0.095
91747,0.095
91748,0.095
91749,0.095
91750,0.095
91752,0.0775
91754,0.095
91755,0.095
91756,0.095
91758,0.0775
91759,0.0775
91761,0.0775
91762,0.0775
91763,0.08
91764,0.0775
91765,0.095
91766,0.095
91767,0.095
91768,0.095
91769,0.095
91770,0.095
91771,0.095
91772,0.095
91773,0.095
91775,0.095
91776,0.095
91778,0.095
91780,0.095
91784,0.0775
91785,0.0775
91786,0.0775
91788,0.095
91789,0.095
91790,0.095
91791,0.095
91792,0.095
91793,0.095
91801,0.095
91802,0.095
91803,0.095
91804,0.095
91896,0.095
91899,0.095
91901,0.0775
91902,0.0775
91903,0.0775
91905,0.0775
91906,0.0775
91908,0.0775
91909,0.0825
91910,0.0825
91911,0.0825
91912,0.0825
91913,0.0825
91914,0.0825
91915,0.0825
91916,0.0775
91917,0.0775
91921,0.0825
91931,0.0775
91932,0.0775
91933,0.0775
91934,0.0775
91935,0.0775
91941,0.085
91942,0.085
91943,0.085
91944,0.0775
91945,0.0775
91946,0.0775
91948,0.0775
91950,0.0875
91951,0.0875
91962,0.0775
91963,0.0775
91976,0.0775
91977,0.0775
91978,0.0775
91979,0.0775
91980,0.0775
91987,0.0775
92003,0.0775
92004,0.0775
92007,0.0775
92008,0.0775
92009,0.0775
92010,0.0775
92011,0.0775
92013,0.0775
92014,0.0775
92018,0.0775
92019,0.0775
92020,0.0825
92021,0.0775
92022,0.0825
92023,0.0775
92024,0.0775
92025,0.0775
92026,0.0775
92027,0.0775
92028,0.0775
92029,0.0775
92030,0.0775
92033,0.0775
92036,0.0775
92037,0.0775
92038,0.0775
92039,0.0775
92040,0.0775
92046,0.0775
92049,0.0775
92051,0.0775
92052,0.0775
92054,0.0775
92055,0.0775
92056,0.0775
92057,0.0775
92058,0.0775
92059,0.0775
92060,0.0775
92061,0.0775
92064,0.0775
92065,0.0775
92066,0.0775
92067,0.0775
92068,0.0775
92069,0.0775
92070,0.0775
92071,0.0775
92072,0.0775
92074,0.0775
92075,0.0775
92078,0.0775
92079,0.0775
92081,0.0825
92082,0.0775
92083,0.0825
92084,0.0825
92085,0.0825
92086,0.0775
92088,0.0775
92091,0.0775
92092,0.0775
92093,0.0775
92096,0.0775
92101,0.0775
92102,0.0775
92103,0.0775
92104,0.0775
92105,0.0775
92106,0.0775
92107,0.0775
92108,0.0775
92109,0.0775
92110,0.0775
92111,0.0775
92112,0.0775
92113,0.0775
92114,0.0775
92115,0.0775
92116,0.0775
92117,0.0775
92118,0.0775
92119,0.0775
92120,0.0775
92121,0.0775
92122,0.0775
92123,0.0775
92124,0.0775
92126,0.0775
92127,0.0775
92128,0.0775
92129,0.0775
92130,0.0775
92131,0.0775
92132,0.0775
92134,0.0775
92135,0.0775
92136,0.0775
92137,0.0775
92138,0.0775
92139,0.0775
92140,0.0775
92142,0.0775
92143,0.0775
92145,0.0775
92147,0.0775
92149,0.0775
92150,0.0775
92152,0.0775
92153,0.0775
92154,0.0775
92155,0.0775
92158,0.0775
92159,0.0775
92160,0.0775
92161,0.0775
92163,0.0775
92164,0.0775
92165,0.0775
92166,0.0775
92167,0.0775
92168,0.0775
92169,0.0775
92170,0.0775
92171,0.0775
92172,0.0775
92173,0.0775
92174,0.0775
92175,0.0775
92176,0.0775
92177,0.0775
92178,0.0775
92179,0.0775
92182,0.0775
92186,0.0775
92187,0.0775
92191,0.0775
92192,0.0775
92193,0.0775
92195,0.0775
92196,0.0775
92197,0.0775
92198,0.0775
92199,0.0775
92201,0.0875
92202,0.0875
92203,0.0875
92210,0.0775
92211,0.0775
92220,0.0775
92222,0.0775
92223,0.0775
92225,0.0775
92226,0.0775
92227,0.0775
92230,0.0775
92231,0.0825
92232,0.0825
92233,0.0775
92234,0.0875
92235,0.0875
92236,0.0875
92239,0.0775
92240,0.0775
92241,0.0775
92242,0.0775
92243,0.0825
92244,0.0825
92247,0.0875
92248,0.0875
92249,0.0775
92250,0.0775
92251,0.0775
92252,0.0775
92253,0.0875
92254,0.0775
92255,0.0775
92256,0.0775
92257,0.0775
92258,0.0775
92259,0.0775
92260,0.0775
92261,0.0775
92262,0.0875
92263,0.0875
92264,0.0875
92266,0.0775
92267,0.0775
92268,0.0775
92270,0.0775
92273,0.0775
92274,0.0775
92275,0.0875
92276,0.0775
92277,0.0775
92278,0.0775
92280,0.0775
92281,0.0775
92282,0.0775
92283,0.0775
92284,0.0875
92285,0.0775
92286,0.0875
92301,0.0775
92304,0.0775
92305,0.0775
92307,0.0775
92308,0.0775
92309,0.0775
92310,0.0775
92311,0.0775
92312,0.0775
92313,0.0775
92314,0.0775
92315,0.0775
92316,0.0775
92317,0.0775
92318,0.0775
92320,0.0775
92321,0.0775
92322,0.0775
92324,0.0775
92325,0.0775
92326,0.0775
92327,0.0775
92328,0.0775
92329,0.0775
92331,0.0775
92332,0.0775
92333,0.0775
92334,0.0775
92335,0.0775
92336,0.0775
92337,0.0775
92339,0.0775
92340,0.0775
92341,0.0775
92342,0.0775
92344,0.0775
92345,0.0775
92346,0.0775
92347,0.0775
92350,0.0775
92352,0.0775
92354,0.0775
92356,0.0775
92357,0.0775
