ZipCode,EstimatedCombinedRate,,,,
80001,0.0796,,,,
80002,0.0796,,,,
80003,0.0796,,,,
80004,0.0796,,,,
80005,0.0796,,,,
80006,0.0796,,,,
80007,0.0796,,,,
80010,0.085,,,,
80011,0.08,,,,
80012,0.08,,,,
80013,0.08,,,,
80014,0.08,,,,
80015,0.08,,,,
80016,0.08,,,,
80017,0.08,,,,
80018,0.07,,,,
80019,0.085,,,,
80020,0.0815,,,,
80021,0.0835,,,,
80022,0.0925,,,,
80023,0.0815,,,,
80024,0.0475,,,,
80025,0.04985,,,,
80026,0.08485,,,,
80027,0.08635,,,,
80030,0.086,,,,
80031,0.086,,,,
80033,0.08,,,,
80034,0.08,,,,
80035,0.086,,,,
80036,0.086,,,,
80037,0.0925,,,,
80038,0.0815,,,,
80040,0.085,,,,
80041,0.08,,,,
80042,0.085,,,,
80044,0.085,,,,
80045,0.085,,,,
80046,0.0675,,,,
80047,0.08,,,,
80101,0.039,,,,
80102,0.0375,,,,
80103,0.0325,,,,
80104,0.079,,,,
80105,0.0325,,,,
80106,0.0513,,,,
80107,0.039,,,,
80108,0.079,,,,
80109,0.079,,,,
80110,0.0775,,,,
80111,0.0725,,,,
80112,0.0675,,,,
80113,0.0775,,,,
80116,0.04,,,,
80117,0.039,,,,
80118,0.04,,,,
80120,0.0725,,,,
80121,0.0675,,,,
80122,0.0675,,,,
80123,0.0765,,,,
80124,0.068125,,,,
80125,0.04,,,,
80126,0.05,,,,
80127,0.05,,,,
80128,0.05,,,,
80129,0.05,,,,
80130,0.05,,,,
80131,0.04,,,,
80132,0.0513,,,,
80133,0.0713,,,,
80134,0.05,,,,
80135,0.04,,,,
80136,0.0375,,,,
80137,0.0375,,,,
80138,0.08,,,,
80150,0.0775,,,,
80151,0.0775,,,,
80155,0.0675,,,,
80160,0.0725,,,,
80161,0.0725,,,,
80162,0.05,,,,
80163,0.05,,,,
80165,0.0725,,,,
80166,0.0725,,,,
80201,0.0765,,,,
80202,0.0765,,,,
80203,0.0765,,,,
80204,0.0765,,,,
80205,0.0765,,,,
80206,0.0765,,,,
80207,0.0765,,,,
80208,0.0765,,,,
80209,0.0765,,,,
80210,0.0765,,,,
80211,0.0765,,,,
