ZipCode,EstimatedCombinedRate,,,,
06001,0.0635,,,,
06002,0.0635,,,,
06006,0.0635,,,,
06010,0.0635,,,,
06011,0.0635,,,,
06013,0.0635,,,,
06016,0.0635,,,,
06018,0.0635,,,,
06019,0.0635,,,,
06020,0.0635,,,,
06021,0.0635,,,,
06022,0.0635,,,,
06023,0.0635,,,,
06024,0.0635,,,,
06025,0.0635,,,,
06026,0.0635,,,,
06027,0.0635,,,,
06028,0.0635,,,,
06029,0.0635,,,,
06030,0.0635,,,,
06031,0.0635,,,,
06032,0.0635,,,,
06033,0.0635,,,,
06034,0.0635,,,,
06035,0.0635,,,,
06037,0.0635,,,,
06039,0.0635,,,,
06040,0.0635,,,,
06041,0.0635,,,,
06042,0.0635,,,,
06043,0.0635,,,,
06045,0.0635,,,,
06050,0.0635,,,,
06051,0.0635,,,,
06052,0.0635,,,,
06053,0.0635,,,,
06057,0.0635,,,,
06058,0.0635,,,,
06059,0.0635,,,,
06060,0.0635,,,,
06061,0.0635,,,,
06062,0.0635,,,,
06063,0.0635,,,,
06064,0.0635,,,,
06065,0.0635,,,,
06066,0.0635,,,,
06067,0.0635,,,,
06068,0.0635,,,,
06069,0.0635,,,,
06070,0.0635,,,,
06071,0.0635,,,,
06072,0.0635,,,,
06073,0.0635,,,,
06074,0.0635,,,,
06075,0.0635,,,,
06076,0.0635,,,,
06077,0.0635,,,,
06078,0.0635,,,,
06079,0.0635,,,,
06080,0.0635,,,,
06081,0.0635,,,,
06082,0.0635,,,,
06083,0.0635,,,,
06084,0.0635,,,,
06085,0.0635,,,,
06088,0.0635,,,,
06089,0.0635,,,,
06090,0.0635,,,,
06091,0.0635,,,,
06092,0.0635,,,,
06093,0.0635,,,,
06094,0.0635,,,,
06095,0.0635,,,,
06096,0.0635,,,,
06098,0.0635,,,,
06101,0.0635,,,,
06102,0.0635,,,,
06103,0.0635,,,,
06104,0.0635,,,,
06105,0.0635,,,,
06106,0.0635,,,,
06107,0.0635,,,,
06108,0.0635,,,,
06109,0.0635,,,,
06110,0.0635,,,,
06111,0.0635,,,,
06112,0.0635,,,,
06114,0.0635,,,,
06115,0.0635,,,,
06117,0.0635,,,,
06118,0.0635,,,,
06119,0.0635,,,,
06120,0.0635,,,,
06123,0.0635,,,,
06126,0.0635,,,,
06127,0.0635,,,,
06128,0.0635,,,,
06129,0.0635,,,,
06131,0.0635,,,,
06132,0.0635,,,,
06133,0.0635,,,,
06134,0.0635,,,,
06137,0.0635,,,,
06138,0.0635,,,,
06140,0.0635,,,,
06141,0.0635,,,,
06142,0.0635,,,,
06143,0.0635,,,,
06144,0.0635,,,,
06145,0.0635,,,,
06146,0.0635,,,,
06147,0.0635,,,,
06150,0.0635,,,,
06151,0.0635,,,,
06152,0.0635,,,,
06153,0.0635,,,,
06154,0.0635,,,,
06155,0.0635,,,,
06156,0.0635,,,,
06160,0.0635,,,,
06161,0.0635,,,,
06167,0.0635,,,,
06176,0.0635,,,,
06180,0.0635,,,,
06183,0.0635,,,,
06199,0.0635,,,,
06226,0.0635,,,,
06230,0.0635,,,,
06231,0.0635,,,,
06232,0.0635,,,,
06233,0.0635,,,,
06234,0.0635,,,,
06235,0.0635,,,,
06237,0.0635,,,,
06238,0.0635,,,,
06239,0.0635,,,,
06241,0.0635,,,,
06242,0.0635,,,,
06243,0.0635,,,,
06244,0.0635,,,,
06245,0.0635,,,,
06246,0.0635,,,,
06247,0.0635,,,,
06248,0.0635,,,,
06249,0.0635,,,,
06250,0.0635,,,,
06251,0.0635,,,,
06254,0.0635,,,,
06255,0.0635,,,,
06256,0.0635,,,,
06258,0.0635,,,,
06259,0.0635,,,,
06260,0.0635,,,,
06262,0.0635,,,,
06263,0.0635,,,,
06264,0.0635,,,,
06265,0.0635,,,,
06266,0.0635,,,,
06267,0.0635,,,,
06268,0.0635,,,,
06269,0.0635,,,,
06277,0.0635,,,,
06278,0.0635,,,,
06279,0.0635,,,,
06280,0.0635,,,,
06281,0.0635,,,,
06282,0.0635,,,,
06320,0.0635,,,,
06330,0.0635,,,,
06331,0.0635,,,,
06332,0.0635,,,,
06333,0.0635,,,,
06334,0.0635,,,,
06335,0.0635,,,,
06336,0.0635,,,,
06338,0.0635,,,,
06339,0.0635,,,,
06340,0.0635,,,,
06349,0.0635,,,,
06350,0.0635,,,,
06351,0.0635,,,,
06353,0.0635,,,,
06354,0.0635,,,,
06355,0.0635,,,,
06357,0.0635,,,,
06359,0.0635,,,,
06360,0.0635,,,,
06365,0.0635,,,,
06370,0.0635,,,,
06371,0.0635,,,,
06372,0.0635,,,,
06373,0.0635,,,,
06374,0.0635,,,,
06375,0.0635,,,,
06376,0.0635,,,,
06377,0.0635,,,,
06378,0.0635,,,,
06379,0.0635,,,,
06380,0.0635,,,,
06382,0.0635,,,,
06383,0.0635,,,,
06384,0.0635,,,,
06385,0.0635,,,,
06387,0.0635,,,,
06388,0.0635,,,,
06389,0.0635,,,,
06401,0.0635,,,,
06403,0.0635,,,,
06404,0.0635,,,,
06405,0.0635,,,,
06408,0.0635,,,,
06409,0.0635,,,,
06410,0.0635,,,,
06411,0.0635,,,,
06412,0.0635,,,,
06413,0.0635,,,,
06414,0.0635,,,,
06415,0.0635,,,,
06416,0.0635,,,,
06417,0.0635,,,,
06418,0.0635,,,,
06419,0.0635,,,,
06420,0.0635,,,,
06422,0.0635,,,,
06423,0.0635,,,,
06424,0.0635,,,,
06426,0.0635,,,,
06437,0.0635,,,,
06438,0.0635,,,,
06439,0.0635,,,,
06440,0.0635,,,,
06441,0.0635,,,,
06442,0.0635,,,,
06443,0.0635,,,,
06444,0.0635,,,,
06447,0.0635,,,,
06450,0.0635,,,,
06451,0.0635,,,,
06455,0.0635,,,,
06456,0.0635,,,,
06457,0.0635,,,,
06459,0.0635,,,,
06460,0.0635,,,,
06461,0.0635,,,,
06467,0.0635,,,,
06468,0.0635,,,,
06469,0.0635,,,,
06470,0.0635,,,,
06471,0.0635,,,,
06472,0.0635,,,,
06473,0.0635,,,,
06474,0.0635,,,,
06475,0.0635,,,,
06477,0.0635,,,,
06478,0.0635,,,,
06479,0.0635,,,,
06480,0.0635,,,,
06481,0.0635,,,,
06482,0.0635,,,,
06483,0.0635,,,,
06484,0.0635,,,,
06487,0.0635,,,,
06488,0.0635,,,,
06489,0.0635,,,,
06491,0.0635,,,,
06492,0.0635,,,,
06493,0.0635,,,,
06494,0.0635,,,,
06495,0.0635,,,,
06498,0.0635,,,,
06501,0.0635,,,,
06502,0.0635,,,,
06503,0.0635,,,,
06504,0.0635,,,,
06505,0.0635,,,,
06506,0.0635,,,,
06507,0.0635,,,,
06508,0.0635,,,,
06509,0.0635,,,,
06510,0.0635,,,,
06511,0.0635,,,,
06512,0.0635,,,,
06513,0.0635,,,,
06514,0.0635,,,,
06515,0.0635,,,,
06516,0.0635,,,,
06517,0.0635,,,,
06518,0.0635,,,,
06519,0.0635,,,,
06520,0.0635,,,,
06521,0.0635,,,,
06524,0.0635,,,,
06525,0.0635,,,,
06530,0.0635,,,,
06531,0.0635,,,,
06532,0.0635,,,,
06533,0.0635,,,,
06534,0.0635,,,,
06535,0.0635,,,,
06536,0.0635,,,,
06537,0.0635,,,,
06538,0.0635,,,,
06540,0.0635,,,,
06601,0.0635,,,,
06602,0.0635,,,,
06604,0.0635,,,,
06605,0.0635,,,,
06606,0.0635,,,,
06607,0.0635,,,,
06608,0.0635,,,,
06610,0.0635,,,,
06611,0.0635,,,,
06612,0.0635,,,,
06614,0.0635,,,,
06615,0.0635,,,,
06650,0.0635,,,,
06673,0.0635,,,,
06699,0.0635,,,,
06701,0.0635,,,,
06702,0.0635,,,,
06703,0.0635,,,,
06704,0.0635,,,,
06705,0.0635,,,,
06706,0.0635,,,,
06708,0.0635,,,,
06710,0.0635,,,,
06712,0.0635,,,,
06716,0.0635,,,,
06720,0.0635,,,,
06721,0.0635,,,,
06722,0.0635,,,,
06723,0.0635,,,,
06724,0.0635,,,,
06725,0.0635,,,,
06726,0.0635,,,,
06749,0.0635,,,,
06750,0.0635,,,,
06751,0.0635,,,,
06752,0.0635,,,,
06753,0.0635,,,,
06754,0.0635,,,,
06755,0.0635,,,,
06756,0.0635,,,,
06757,0.0635,,,,
06758,0.0635,,,,
06759,0.0635,,,,
06762,0.0635,,,,
06763,0.0635,,,,
06770,0.0635,,,,
06776,0.0635,,,,
06777,0.0635,,,,
06778,0.0635,,,,
06779,0.0635,,,,
06781,0.0635,,,,
06782,0.0635,,,,
06783,0.0635,,,,
06784,0.0635,,,,
06785,0.0635,,,,
06786,0.0635,,,,
06787,0.0635,,,,
06790,0.0635,,,,
06791,0.0635,,,,
06792,0.0635,,,,
06793,0.0635,,,,
06794,0.0635,,,,
06795,0.0635,,,,
06796,0.0635,,,,
06798,0.0635,,,,
06801,0.0635,,,,
06804,0.0635,,,,
06807,0.0635,,,,
06810,0.0635,,,,
06811,0.0635,,,,
06812,0.0635,,,,
06813,0.0635,,,,
06816,0.0635,,,,
06820,0.0635,,,,
06824,0.0635,,,,
06825,0.0635,,,,
06828,0.0635,,,,
06829,0.0635,,,,
06830,0.0635,,,,
06831,0.0635,,,,
06836,0.0635,,,,
06838,0.0635,,,,
06840,0.0635,,,,
06850,0.0635,,,,
06851,0.0635,,,,
06852,0.0635,,,,
06853,0.0635,,,,
06854,0.0635,,,,
06855,0.0635,,,,
06856,0.0635,,,,
06857,0.0635,,,,
06858,0.0635,,,,
06860,0.0635,,,,
06870,0.0635,,,,
06875,0.0635,,,,
06876,0.0635,,,,
06877,0.0635,,,,
06878,0.0635,,,,
06879,0.0635,,,,
06880,0.0635,,,,
06881,0.0635,,,,
06883,0.0635,,,,
06888,0.0635,,,,
06889,0.0635,,,,
06890,0.0635,,,,
06896,0.0635,,,,
06897,0.0635,,,,
06901,0.0635,,,,
06902,0.0635,,,,
06903,0.0635,,,,
06904,0.0635,,,,
06905,0.0635,,,,
06906,0.0635,,,,
06907,0.0635,,,,
06910,0.0635,,,,
06911,0.0635,,,,
06912,0.0635,,,,
06913,0.0635,,,,
06914,0.0635,,,,
06925,0.0635,,,,
06926,0.0635,,,,
06927,0.0635,,,,
