ZipCode,EstimatedCombinedRate,,,,
20001,0.0575,,,,
20002,0.0575,,,,
20003,0.0575,,,,
20004,0.0575,,,,
20005,0.0575,,,,
20006,0.0575,,,,
20007,0.0575,,,,
20008,0.0575,,,,
20009,0.0575,,,,
20010,0.0575,,,,
20011,0.0575,,,,
20012,0.0575,,,,
20013,0.0575,,,,
20015,0.0575,,,,
20016,0.0575,,,,
20017,0.0575,,,,
20018,0.0575,,,,
20019,0.0575,,,,
20020,0.0575,,,,
20022,0.0575,,,,
20023,0.0575,,,,
20024,0.0575,,,,
20026,0.0575,,,,
20027,0.0575,,,,
20029,0.0575,,,,
20030,0.0575,,,,
20032,0.0575,,,,
20033,0.0575,,,,
20035,0.0575,,,,
20036,0.0575,,,,
20037,0.0575,,,,
20038,0.0575,,,,
20039,0.0575,,,,
20040,0.0575,,,,
20041,0.0575,,,,
20042,0.0575,,,,
20043,0.0575,,,,
20044,0.0575,,,,
20045,0.0575,,,,
20047,0.0575,,,,
20049,0.0575,,,,
20051,0.0575,,,,
20052,0.0575,,,,
20053,0.0575,,,,
20055,0.0575,,,,
20056,0.0575,,,,
20057,0.0575,,,,
20058,0.0575,,,,
20059,0.0575,,,,
20060,0.0575,,,,
20061,0.0575,,,,
20062,0.0575,,,,
20063,0.0575,,,,
20064,0.0575,,,,
20065,0.0575,,,,
20066,0.0575,,,,
20067,0.0575,,,,
20068,0.0575,,,,
20069,0.0575,,,,
20070,0.0575,,,,
20071,0.0575,,,,
20073,0.0575,,,,
20074,0.0575,,,,
20075,0.0575,,,,
20076,0.0575,,,,
20077,0.0575,,,,
20078,0.0575,,,,
20080,0.0575,,,,
20082,0.0575,,,,
20088,0.0575,,,,
20090,0.0575,,,,
20091,0.0575,,,,
20097,0.0575,,,,
20098,0.0575,,,,
20201,0.0575,,,,
20202,0.0575,,,,
20203,0.0575,,,,
20204,0.0575,,,,
20206,0.0575,,,,
20207,0.0575,,,,
20208,0.0575,,,,
20210,0.0575,,,,
20211,0.0575,,,,
20212,0.0575,,,,
20213,0.0575,,,,
20214,0.0575,,,,
20215,0.0575,,,,
20216,0.0575,,,,
20217,0.0575,,,,
20218,0.0575,,,,
20219,0.0575,,,,
20220,0.0575,,,,
20221,0.0575,,,,
20222,0.0575,,,,
20223,0.0575,,,,
20224,0.0575,,,,
20226,0.0575,,,,
20227,0.0575,,,,
20228,0.0575,,,,
20229,0.0575,,,,
20230,0.0575,,,,
20232,0.0575,,,,
20233,0.0575,,,,
20235,0.0575,,,,
20237,0.0575,,,,
20238,0.0575,,,,
20239,0.0575,,,,
20240,0.0575,,,,
20241,0.0575,,,,
20242,0.0575,,,,
20244,0.0575,,,,
20245,0.0575,,,,
20250,0.0575,,,,
20252,0.0575,,,,
20254,0.0575,,,,
20260,0.0575,,,,
20261,0.0575,,,,
20262,0.0575,,,,
20265,0.0575,,,,
20266,0.0575,,,,
20268,0.0575,,,,
20270,0.0575,,,,
20277,0.0575,,,,
20289,0.0575,,,,
20299,0.0575,,,,
20301,0.0575,,,,
20303,0.0575,,,,
20306,0.0575,,,,
20307,0.0575,,,,
20310,0.0575,,,,
20314,0.0575,,,,
20317,0.0575,,,,
20318,0.0575,,,,
20319,0.0575,,,,
20330,0.0575,,,,
20340,0.0575,,,,
20350,0.0575,,,,
20355,0.0575,,,,
20370,0.0575,,,,
20372,0.0575,,,,
20373,0.0575,,,,
20374,0.0575,,,,
20375,0.0575,,,,
20376,0.0575,,,,
20380,0.0575,,,,
20388,0.0575,,,,
20389,0.0575,,,,
20390,0.0575,,,,
20391,0.0575,,,,
20392,0.0575,,,,
20393,0.0575,,,,
20394,0.0575,,,,
20395,0.0575,,,,
20398,0.0575,,,,
20401,0.0575,,,,
20402,0.0575,,,,
20403,0.0575,,,,
20404,0.0575,,,,
20405,0.0575,,,,
20406,0.0575,,,,
20407,0.0575,,,,
20408,0.0575,,,,
20409,0.0575,,,,
20410,0.0575,,,,
20411,0.0575,,,,
20412,0.0575,,,,
20413,0.0575,,,,
20414,0.0575,,,,
20415,0.0575,,,,
20416,0.0575,,,,
20417,0.0575,,,,
20418,0.0575,,,,
20419,0.0575,,,,
20420,0.0575,,,,
20421,0.0575,,,,
20422,0.0575,,,,
20423,0.0575,,,,
20424,0.0575,,,,
20425,0.0575,,,,
20426,0.0575,,,,
20427,0.0575,,,,
20428,0.0575,,,,
20429,0.0575,,,,
20431,0.0575,,,,
20433,0.0575,,,,
20434,0.0575,,,,
20435,0.0575,,,,
20436,0.0575,,,,
20437,0.0575,,,,
20439,0.0575,,,,
20440,0.0575,,,,
20441,0.0575,,,,
20442,0.0575,,,,
20444,0.0575,,,,
20447,0.0575,,,,
20451,0.0575,,,,
20453,0.0575,,,,
20456,0.0575,,,,
20460,0.0575,,,,
20463,0.0575,,,,
20468,0.0575,,,,
20469,0.0575,,,,
20470,0.0575,,,,
20472,0.0575,,,,
20500,0.0575,,,,
20501,0.0575,,,,
20502,0.0575,,,,
20503,0.0575,,,,
20504,0.0575,,,,
20505,0.0575,,,,
20506,0.0575,,,,
20507,0.0575,,,,
20508,0.0575,,,,
20509,0.0575,,,,
20510,0.0575,,,,
20511,0.0575,,,,
20515,0.0575,,,,
20520,0.0575,,,,
20521,0.0575,,,,
20522,0.0575,,,,
20523,0.0575,,,,
20524,0.0575,,,,
20525,0.0575,,,,
20526,0.0575,,,,
20527,0.0575,,,,
20528,0.0575,,,,
20529,0.0575,,,,
20530,0.0575,,,,
20531,0.0575,,,,
20533,0.0575,,,,
20534,0.0575,,,,
20535,0.0575,,,,
20536,0.0575,,,,
20537,0.0575,,,,
20538,0.0575,,,,
20539,0.0575,,,,
20540,0.0575,,,,
20541,0.0575,,,,
20542,0.0575,,,,
20543,0.0575,,,,
20544,0.0575,,,,
20546,0.0575,,,,
20547,0.0575,,,,
20548,0.0575,,,,
20549,0.0575,,,,
20551,0.0575,,,,
20552,0.0575,,,,
20553,0.0575,,,,
20554,0.0575,,,,
20555,0.0575,,,,
20557,0.0575,,,,
20558,0.0575,,,,
20559,0.0575,,,,
20560,0.0575,,,,
20565,0.0575,,,,
20566,0.0575,,,,
20570,0.0575,,,,
20571,0.0575,,,,
20572,0.0575,,,,
20573,0.0575,,,,
20575,0.0575,,,,
20576,0.0575,,,,
20577,0.0575,,,,
20578,0.0575,,,,
20579,0.0575,,,,
20580,0.0575,,,,
20581,0.0575,,,,
20585,0.0575,,,,
20586,0.0575,,,,
20590,0.0575,,,,
20591,0.0575,,,,
20593,0.0575,,,,
