ZipCode,EstimatedCombinedRate,,,,
96701,0.045,,,,
96703,0.04,,,,
96704,0.04,,,,
96705,0.04,,,,
96706,0.045,,,,
96707,0.045,,,,
96708,0.04,,,,
96709,0.045,,,,
96710,0.04,,,,
96712,0.045,,,,
96713,0.04,,,,
96714,0.04,,,,
96715,0.04,,,,
96716,0.04,,,,
96717,0.045,,,,
96718,0.04,,,,
96719,0.04,,,,
96720,0.04,,,,
96721,0.04,,,,
96722,0.04,,,,
96725,0.04,,,,
96726,0.04,,,,
96727,0.04,,,,
96728,0.04,,,,
96729,0.04,,,,
96730,0.045,,,,
96731,0.045,,,,
96732,0.04,,,,
96733,0.04,,,,
96734,0.045,,,,
96737,0.04,,,,
96738,0.04,,,,
96739,0.04,,,,
96740,0.04,,,,
96741,0.04,,,,
96742,0.04,,,,
96743,0.04,,,,
96744,0.045,,,,
96745,0.04,,,,
96746,0.04,,,,
96747,0.04,,,,
96748,0.04,,,,
96749,0.04,,,,
96750,0.04,,,,
96751,0.04,,,,
96752,0.04,,,,
96753,0.04,,,,
96754,0.04,,,,
96755,0.04,,,,
96756,0.04,,,,
96757,0.04,,,,
96759,0.045,,,,
96760,0.04,,,,
96761,0.04,,,,
96762,0.045,,,,
96763,0.04,,,,
96764,0.04,,,,
96765,0.04,,,,
96766,0.04,,,,
96767,0.04,,,,
96768,0.04,,,,
96769,0.04,,,,
96770,0.04,,,,
96771,0.04,,,,
96772,0.04,,,,
96773,0.04,,,,
96774,0.04,,,,
96776,0.04,,,,
96777,0.04,,,,
96778,0.04,,,,
96779,0.04,,,,
96780,0.04,,,,
96781,0.04,,,,
96782,0.045,,,,
96783,0.04,,,,
96784,0.04,,,,
96785,0.04,,,,
96786,0.045,,,,
96788,0.04,,,,
96789,0.045,,,,
96790,0.04,,,,
96791,0.045,,,,
96792,0.045,,,,
96793,0.04,,,,
96795,0.045,,,,
96796,0.04,,,,
96797,0.045,,,,
96801,0.045,,,,
96802,0.045,,,,
96803,0.045,,,,
96804,0.045,,,,
96805,0.045,,,,
96806,0.045,,,,
96807,0.045,,,,
96808,0.045,,,,
96809,0.045,,,,
96810,0.045,,,,
96811,0.045,,,,
96812,0.045,,,,
96813,0.045,,,,
96814,0.045,,,,
96815,0.045,,,,
96816,0.045,,,,
96817,0.045,,,,
96818,0.045,,,,
96819,0.045,,,,
96820,0.045,,,,
96821,0.045,,,,
96822,0.045,,,,
96823,0.045,,,,
96824,0.045,,,,
96825,0.045,,,,
96826,0.045,,,,
96828,0.045,,,,
96830,0.045,,,,
96836,0.045,,,,
96837,0.045,,,,
96838,0.045,,,,
96839,0.045,,,,
96840,0.045,,,,
96841,0.045,,,,
96843,0.045,,,,
96844,0.045,,,,
96846,0.045,,,,
96847,0.045,,,,
96848,0.045,,,,
96849,0.045,,,,
96850,0.045,,,,
96853,0.045,,,,
96854,0.045,,,,
96857,0.045,,,,
96858,0.045,,,,
96859,0.045,,,,
96860,0.045,,,,
96861,0.045,,,,
96863,0.045,,,,
96898,0.045,,,,
