ZipCode,EstimatedCombinedRate,,,,
83201,0.06,,,,
83202,0.06,,,,
83203,0.06,,,,
83204,0.06,,,,
83205,0.06,,,,
83206,0.06,,,,
83209,0.06,,,,
83210,0.06,,,,
83211,0.06,,,,
83212,0.06,,,,
83213,0.06,,,,
83214,0.06,,,,
83215,0.06,,,,
83217,0.06,,,,
83218,0.06,,,,
83220,0.06,,,,
83221,0.06,,,,
83223,0.06,,,,
83226,0.06,,,,
83227,0.06,,,,
83228,0.06,,,,
83232,0.06,,,,
83233,0.06,,,,
83234,0.06,,,,
83235,0.06,,,,
83236,0.06,,,,
83237,0.06,,,,
83238,0.06,,,,
83239,0.06,,,,
83241,0.06,,,,
83243,0.06,,,,
83244,0.06,,,,
83245,0.06,,,,
83246,0.06,,,,
83250,0.06,,,,
83251,0.06,,,,
83252,0.06,,,,
83253,0.06,,,,
83254,0.06,,,,
83255,0.06,,,,
83256,0.06,,,,
83261,0.06,,,,
83262,0.06,,,,
83263,0.06,,,,
83271,0.06,,,,
83272,0.06,,,,
83274,0.06,,,,
83276,0.06,,,,
83277,0.06,,,,
83278,0.085,,,,
83281,0.06,,,,
83283,0.06,,,,
83285,0.06,,,,
83286,0.06,,,,
83287,0.06,,,,
83301,0.06,,,,
83302,0.06,,,,
83303,0.06,,,,
83311,0.06,,,,
83312,0.06,,,,
83313,0.06,,,,
83314,0.06,,,,
83316,0.06,,,,
83318,0.06,,,,
83320,0.06,,,,
83321,0.06,,,,
83322,0.06,,,,
83323,0.06,,,,
83324,0.06,,,,
83325,0.06,,,,
83327,0.06,,,,
83328,0.06,,,,
83330,0.06,,,,
83332,0.06,,,,
83333,0.06,,,,
83334,0.06,,,,
83335,0.06,,,,
83336,0.06,,,,
83337,0.06,,,,
83338,0.06,,,,
83340,0.08,,,,
83341,0.06,,,,
83342,0.06,,,,
83343,0.06,,,,
83344,0.06,,,,
83346,0.06,,,,
83347,0.06,,,,
83348,0.06,,,,
83349,0.06,,,,
83350,0.06,,,,
83352,0.06,,,,
83353,0.09,,,,
83354,0.09,,,,
83355,0.06,,,,
83401,0.06,,,,
83402,0.06,,,,
83403,0.06,,,,
83404,0.06,,,,
83405,0.06,,,,
83406,0.06,,,,
83415,0.06,,,,
83420,0.06,,,,
83421,0.06,,,,
83422,0.06,,,,
83423,0.06,,,,
83424,0.06,,,,
83425,0.06,,,,
83427,0.06,,,,
83428,0.06,,,,
83429,0.06,,,,
83431,0.06,,,,
83433,0.06,,,,
83434,0.06,,,,
83435,0.06,,,,
83436,0.06,,,,
83438,0.06,,,,
83440,0.06,,,,
83441,0.06,,,,
83442,0.06,,,,
83443,0.06,,,,
83444,0.06,,,,
83445,0.06,,,,
83446,0.06,,,,
83448,0.06,,,,
83449,0.06,,,,
83450,0.06,,,,
83451,0.06,,,,
83452,0.06,,,,
83454,0.06,,,,
83455,0.06,,,,
83460,0.06,,,,
83462,0.06,,,,
83463,0.06,,,,
83464,0.06,,,,
83465,0.06,,,,
83466,0.06,,,,
83467,0.06,,,,
83468,0.06,,,,
83469,0.06,,,,
83501,0.06,,,,
83520,0.06,,,,
83522,0.06,,,,
83523,0.06,,,,
83524,0.06,,,,
83525,0.06,,,,
83526,0.06,,,,
83530,0.06,,,,
83531,0.06,,,,
83533,0.06,,,,
83535,0.06,,,,
83536,0.06,,,,
83537,0.06,,,,
83539,0.06,,,,
83540,0.06,,,,
83541,0.06,,,,
83542,0.06,,,,
83543,0.06,,,,
83544,0.06,,,,
83545,0.06,,,,
83546,0.06,,,,
83547,0.06,,,,
83548,0.06,,,,
83549,0.06,,,,
83552,0.06,,,,
83553,0.06,,,,
83554,0.06,,,,
83555,0.06,,,,
83601,0.06,,,,
83602,0.06,,,,
83604,0.06,,,,
83605,0.06,,,,
83606,0.06,,,,
83607,0.06,,,,
83610,0.06,,,,
83611,0.06,,,,
83612,0.06,,,,
83615,0.06,,,,
83616,0.06,,,,
83617,0.06,,,,
83619,0.06,,,,
83622,0.06,,,,
83623,0.06,,,,
83624,0.06,,,,
83626,0.06,,,,
83627,0.06,,,,
83628,0.06,,,,
83629,0.06,,,,
83630,0.06,,,,
83631,0.06,,,,
83632,0.06,,,,
83633,0.06,,,,
83634,0.06,,,,
83635,0.06,,,,
