ZipCode,EstimatedCombinedRate,,,,
60002,0.07,,,,
60004,0.1,,,,
60005,0.1,,,,
60006,0.1,,,,
60007,0.1,,,,
60008,0.1,,,,
60009,0.1,,,,
60010,0.07,,,,
60011,0.09,,,,
60012,0.07,,,,
60013,0.07,,,,
60014,0.0775,,,,
60015,0.08,,,,
60016,0.1,,,,
60017,0.1,,,,
60018,0.1,,,,
60019,0.1,,,,
60020,0.07,,,,
60021,0.07,,,,
60022,0.09,,,,
60025,0.0975,,,,
60026,0.0975,,,,
60029,0.09,,,,
60030,0.07,,,,
60031,0.08,,,,
60033,0.07,,,,
60034,0.07,,,,
60035,0.08,,,,
60037,0.075,,,,
60038,0.1,,,,
60039,0.0775,,,,
60040,0.0875,,,,
60041,0.07,,,,
60042,0.07,,,,
60043,0.09,,,,
60044,0.08,,,,
60045,0.075,,,,
60046,0.07,,,,
60047,0.075,,,,
60048,0.07,,,,
60050,0.075,,,,
60051,0.07,,,,
60053,0.1025,,,,
60055,0.1,,,,
60056,0.1,,,,
60060,0.08,,,,
60061,0.0725,,,,
60062,0.0975,,,,
60064,0.07,,,,
60065,0.0975,,,,
60067,0.1,,,,
60068,0.1,,,,
60069,0.08,,,,
60070,0.095,,,,
60071,0.07,,,,
60072,0.07,,,,
60073,0.075,,,,
60074,0.1,,,,
60075,0.07,,,,
60076,0.1025,,,,
60077,0.1025,,,,
60078,0.1,,,,
60079,0.0825,,,,
60081,0.07,,,,
60082,0.0975,,,,
60083,0.08,,,,
60084,0.07,,,,
60085,0.0825,,,,
60086,0.07,,,,
60087,0.0825,,,,
60088,0.07,,,,
60089,0.08,,,,
60090,0.1,,,,
60091,0.1,,,,
60093,0.09,,,,
60094,0.1,,,,
60095,0.1,,,,
60096,0.07,,,,
60097,0.07,,,,
60098,0.08,,,,
60099,0.07,,,,
60101,0.08,,,,
60102,0.0775,,,,
60103,0.09,,,,
60104,0.105,,,,
60105,0.08,,,,
60106,0.08,,,,
60107,0.1,,,,
60108,0.075,,,,
60109,0.07,,,,
60110,0.09,,,,
60111,0.0625,,,,
60112,0.0725,,,,
60113,0.0625,,,,
60115,0.08,,,,
60116,0.0775,,,,
60117,0.075,,,,
60118,0.085,,,,
60119,0.07,,,,
60120,0.0825,,,,
60121,0.0825,,,,
60122,0.0775,,,,
60123,0.0825,,,,
60124,0.07,,,,
60126,0.08,,,,
60128,0.0775,,,,
60129,0.0625,,,,
60130,0.1,,,,
60131,0.1,,,,
60132,0.0775,,,,
