ZipCode,EstimatedCombinedRate,,,,
46001,0.07,,,,
46011,0.07,,,,
46012,0.07,,,,
46013,0.07,,,,
46014,0.07,,,,
46015,0.07,,,,
46016,0.07,,,,
46017,0.07,,,,
46018,0.07,,,,
46030,0.07,,,,
46031,0.07,,,,
46032,0.07,,,,
46033,0.07,,,,
46034,0.07,,,,
46035,0.07,,,,
46036,0.07,,,,
46037,0.07,,,,
46038,0.07,,,,
46039,0.07,,,,
46040,0.07,,,,
46041,0.07,,,,
46044,0.07,,,,
46045,0.07,,,,
46047,0.07,,,,
46048,0.07,,,,
46049,0.07,,,,
46050,0.07,,,,
46051,0.07,,,,
46052,0.07,,,,
46055,0.07,,,,
46056,0.07,,,,
46057,0.07,,,,
46058,0.07,,,,
46060,0.07,,,,
46061,0.07,,,,
46062,0.07,,,,
46063,0.07,,,,
46064,0.07,,,,
46065,0.07,,,,
46067,0.07,,,,
46068,0.07,,,,
46069,0.07,,,,
46070,0.07,,,,
46071,0.07,,,,
46072,0.07,,,,
46074,0.07,,,,
46075,0.07,,,,
46076,0.07,,,,
46077,0.07,,,,
46082,0.07,,,,
46085,0.07,,,,
46102,0.07,,,,
46103,0.07,,,,
46104,0.07,,,,
46105,0.07,,,,
46106,0.07,,,,
46107,0.07,,,,
46110,0.07,,,,
46111,0.07,,,,
46112,0.07,,,,
46113,0.07,,,,
46115,0.07,,,,
46117,0.07,,,,
46118,0.07,,,,
46120,0.07,,,,
46121,0.07,,,,
46122,0.07,,,,
46123,0.07,,,,
46124,0.07,,,,
46125,0.07,,,,
46126,0.07,,,,
46127,0.07,,,,
46128,0.07,,,,
46130,0.07,,,,
46131,0.07,,,,
46133,0.07,,,,
46135,0.07,,,,
46140,0.07,,,,
46142,0.07,,,,
46143,0.07,,,,
46144,0.07,,,,
46146,0.07,,,,
46147,0.07,,,,
46148,0.07,,,,
46149,0.07,,,,
46150,0.07,,,,
46151,0.07,,,,
46154,0.07,,,,
46155,0.07,,,,
46156,0.07,,,,
46157,0.07,,,,
46158,0.07,,,,
46160,0.07,,,,
46161,0.07,,,,
46162,0.07,,,,
46163,0.07,,,,
46164,0.07,,,,
46165,0.07,,,,
46166,0.07,,,,
46167,0.07,,,,
46168,0.07,,,,
46170,0.07,,,,
46171,0.07,,,,
46172,0.07,,,,
46173,0.07,,,,
46175,0.07,,,,
46176,0.07,,,,
46180,0.07,,,,
46181,0.07,,,,
46182,0.07,,,,
46183,0.07,,,,
46184,0.07,,,,
46186,0.07,,,,
46201,0.07,,,,
46202,0.07,,,,
46203,0.07,,,,
46204,0.07,,,,
46205,0.07,,,,
46206,0.07,,,,
46207,0.07,,,,
46208,0.07,,,,
46209,0.07,,,,
46210,0.07,,,,
46213,0.07,,,,
46214,0.07,,,,
46216,0.07,,,,
46217,0.07,,,,
46218,0.07,,,,
46219,0.07,,,,
46220,0.07,,,,
46221,0.07,,,,
46222,0.07,,,,
46224,0.07,,,,
46225,0.07,,,,
46226,0.07,,,,
46227,0.07,,,,
46228,0.07,,,,
46229,0.07,,,,
46230,0.07,,,,
46231,0.07,,,,
46234,0.07,,,,
46235,0.07,,,,
46236,0.07,,,,
46237,0.07,,,,
46239,0.07,,,,
46240,0.07,,,,
46241,0.07,,,,
46242,0.07,,,,
46244,0.07,,,,
46247,0.07,,,,
46249,0.07,,,,
46250,0.07,,,,
46251,0.07,,,,
46253,0.07,,,,
46254,0.07,,,,
46255,0.07,,,,
46256,0.07,,,,
46259,0.07,,,,
46260,0.07,,,,
46262,0.07,,,,
46268,0.07,,,,
46277,0.07,,,,
46278,0.07,,,,
46280,0.07,,,,
46282,0.07,,,,
46283,0.07,,,,
46285,0.07,,,,
46290,0.07,,,,
46298,0.07,,,,
46301,0.07,,,,
46302,0.07,,,,
46303,0.07,,,,
46304,0.07,,,,
46307,0.07,,,,
46308,0.07,,,,
46310,0.07,,,,
46311,0.07,,,,
46312,0.07,,,,
46319,0.07,,,,
46320,0.07,,,,
46321,0.07,,,,
46322,0.07,,,,
46323,0.07,,,,
46324,0.07,,,,
46325,0.07,,,,
46327,0.07,,,,
46340,0.07,,,,
46341,0.07,,,,
46342,0.07,,,,
46345,0.07,,,,
46346,0.07,,,,
46347,0.07,,,,
46348,0.07,,,,
46349,0.07,,,,
46350,0.07,,,,
46352,0.07,,,,
46355,0.07,,,,
46356,0.07,,,,
46360,0.07,,,,
46361,0.07,,,,
46365,0.07,,,,
46366,0.07,,,,
46368,0.07,,,,
46371,0.07,,,,
46372,0.07,,,,
46373,0.07,,,,
46374,0.07,,,,
46375,0.07,,,,
46376,0.07,,,,
46377,0.07,,,,
46379,0.07,,,,
46380,0.07,,,,
46381,0.07,,,,
46382,0.07,,,,
46383,0.07,,,,
46384,0.07,,,,
46385,0.07,,,,
46390,0.07,,,,
46391,0.07,,,,
46392,0.07,,,,
46393,0.07,,,,
46394,0.07,,,,
46401,0.07,,,,
46402,0.07,,,,
46403,0.07,,,,
46404,0.07,,,,
46405,0.07,,,,
46406,0.07,,,,
46407,0.07,,,,
46408,0.07,,,,
46409,0.07,,,,
46410,0.07,,,,
46411,0.07,,,,
46501,0.07,,,,
46502,0.07,,,,
46504,0.07,,,,
46506,0.07,,,,
46507,0.07,,,,
46508,0.07,,,,
46510,0.07,,,,
46511,0.07,,,,
46513,0.07,,,,
46514,0.07,,,,
46515,0.07,,,,
46516,0.07,,,,
46517,0.07,,,,
46524,0.07,,,,
46526,0.07,,,,
46527,0.07,,,,
46528,0.07,,,,
46530,0.07,,,,
46531,0.07,,,,
46532,0.07,,,,
46534,0.07,,,,
46536,0.07,,,,
46537,0.07,,,,
46538,0.07,,,,
46539,0.07,,,,
46540,0.07,,,,
46542,0.07,,,,
46543,0.07,,,,
46544,0.07,,,,
46545,0.07,,,,
46546,0.07,,,,
46550,0.07,,,,
46552,0.07,,,,
46553,0.07,,,,
46554,0.07,,,,
46555,0.07,,,,
46556,0.07,,,,
46561,0.07,,,,
46562,0.07,,,,
46563,0.07,,,,
46565,0.07,,,,
46567,0.07,,,,
46570,0.07,,,,
46571,0.07,,,,
46572,0.07,,,,
46573,0.07,,,,
46574,0.07,,,,
46580,0.07,,,,
46581,0.07,,,,
46582,0.07,,,,
46590,0.07,,,,
46595,0.07,,,,
46601,0.07,,,,
46613,0.07,,,,
46614,0.07,,,,
46615,0.07,,,,
46616,0.07,,,,
46617,0.07,,,,
46619,0.07,,,,
46624,0.07,,,,
46626,0.07,,,,
46628,0.07,,,,
46634,0.07,,,,
46635,0.07,,,,
46637,0.07,,,,
46660,0.07,,,,
46680,0.07,,,,
46699,0.07,,,,
46701,0.07,,,,
46702,0.07,,,,
46703,0.07,,,,
46704,0.07,,,,
46705,0.07,,,,
46706,0.07,,,,
46710,0.07,,,,
46711,0.07,,,,
46713,0.07,,,,
46714,0.07,,,,
46721,0.07,,,,
46723,0.07,,,,
46725,0.07,,,,
46730,0.07,,,,
46731,0.07,,,,
46732,0.07,,,,
46733,0.07,,,,
46737,0.07,,,,
46738,0.07,,,,
46740,0.07,,,,
46741,0.07,,,,
46742,0.07,,,,
46743,0.07,,,,
46745,0.07,,,,
46746,0.07,,,,
46747,0.07,,,,
46748,0.07,,,,
46750,0.07,,,,
46755,0.07,,,,
46759,0.07,,,,
46760,0.07,,,,
46761,0.07,,,,
46763,0.07,,,,
46764,0.07,,,,
46765,0.07,,,,
46766,0.07,,,,
46767,0.07,,,,
46769,0.07,,,,
46770,0.07,,,,
46771,0.07,,,,
46772,0.07,,,,
46773,0.07,,,,
46774,0.07,,,,
46776,0.07,,,,
46777,0.07,,,,
46778,0.07,,,,
46779,0.07,,,,
46780,0.07,,,,
46781,0.07,,,,
46782,0.07,,,,
46783,0.07,,,,
46784,0.07,,,,
46785,0.07,,,,
46786,0.07,,,,
46787,0.07,,,,
46788,0.07,,,,
46789,0.07,,,,
46791,0.07,,,,
46792,0.07,,,,
46793,0.07,,,,
46794,0.07,,,,
46795,0.07,,,,
46796,0.07,,,,
46797,0.07,,,,
46798,0.07,,,,
46799,0.07,,,,
46801,0.07,,,,
46802,0.07,,,,
46803,0.07,,,,
46804,0.07,,,,
46805,0.07,,,,
46806,0.07,,,,
46807,0.07,,,,
46808,0.07,,,,
46809,0.07,,,,
46814,0.07,,,,
46815,0.07,,,,
46816,0.07,,,,
46818,0.07,,,,
46819,0.07,,,,
46825,0.07,,,,
46835,0.07,,,,
46845,0.07,,,,
46850,0.07,,,,
46851,0.07,,,,
46852,0.07,,,,
46853,0.07,,,,
46854,0.07,,,,
46855,0.07,,,,
46856,0.07,,,,
46857,0.07,,,,
46858,0.07,,,,
46859,0.07,,,,
46860,0.07,,,,
46861,0.07,,,,
46862,0.07,,,,
46863,0.07,,,,
46864,0.07,,,,
46865,0.07,,,,
46866,0.07,,,,
46867,0.07,,,,
46868,0.07,,,,
46869,0.07,,,,
46885,0.07,,,,
46895,0.07,,,,
46896,0.07,,,,
46897,0.07,,,,
46898,0.07,,,,
46899,0.07,,,,
46901,0.07,,,,
46902,0.07,,,,
46903,0.07,,,,
46904,0.07,,,,
46910,0.07,,,,
46911,0.07,,,,
46912,0.07,,,,
46913,0.07,,,,
46914,0.07,,,,
46915,0.07,,,,
46916,0.07,,,,
46917,0.07,,,,
46919,0.07,,,,
46920,0.07,,,,
46921,0.07,,,,
46922,0.07,,,,
46923,0.07,,,,
46926,0.07,,,,
46928,0.07,,,,
46929,0.07,,,,
46930,0.07,,,,
46931,0.07,,,,
46932,0.07,,,,
46933,0.07,,,,
46935,0.07,,,,
46936,0.07,,,,
46937,0.07,,,,
46938,0.07,,,,
46939,0.07,,,,
46940,0.07,,,,
46941,0.07,,,,
46942,0.07,,,,
46943,0.07,,,,
46945,0.07,,,,
46946,0.07,,,,
46947,0.07,,,,
46950,0.07,,,,
46951,0.07,,,,
46952,0.07,,,,
46953,0.07,,,,
46957,0.07,,,,
46958,0.07,,,,
46959,0.07,,,,
46960,0.07,,,,
46961,0.07,,,,
46962,0.07,,,,
46965,0.07,,,,
46967,0.07,,,,
46968,0.07,,,,
46970,0.07,,,,
46971,0.07,,,,
46974,0.07,,,,
46975,0.07,,,,
46977,0.07,,,,
46978,0.07,,,,
46979,0.07,,,,
46980,0.07,,,,
46982,0.07,,,,
46984,0.07,,,,
46985,0.07,,,,
46986,0.07,,,,
46987,0.07,,,,
46988,0.07,,,,
46989,0.07,,,,
