ZipCode,EstimatedCombinedRate,,,,
50001,0.06,,,,
50002,0.07,,,,
50003,0.06,,,,
50005,0.07,,,,
50006,0.07,,,,
50007,0.06,,,,
50008,0.07,,,,
50009,0.06,,,,
50010,0.07,,,,
50011,0.07,,,,
50012,0.07,,,,
50013,0.07,,,,
50014,0.07,,,,
50020,0.07,,,,
50021,0.06,,,,
50022,0.07,,,,
50023,0.06,,,,
50025,0.07,,,,
50026,0.07,,,,
50027,0.07,,,,
50028,0.07,,,,
50029,0.07,,,,
50031,0.07,,,,
50032,0.06,,,,
50033,0.07,,,,
50034,0.07,,,,
50035,0.06,,,,
50036,0.07,,,,
50037,0.07,,,,
50038,0.06,,,,
50039,0.06,,,,
50040,0.07,,,,
50041,0.07,,,,
50042,0.07,,,,
50044,0.07,,,,
50046,0.07,,,,
50047,0.07,,,,
50048,0.07,,,,
50049,0.07,,,,
50050,0.07,,,,
50051,0.07,,,,
50052,0.07,,,,
50054,0.07,,,,
50055,0.07,,,,
50056,0.07,,,,
50057,0.07,,,,
50058,0.07,,,,
50059,0.07,,,,
50060,0.07,,,,
50061,0.07,,,,
50062,0.07,,,,
50063,0.06,,,,
50064,0.07,,,,
50065,0.07,,,,
50066,0.06,,,,
50067,0.07,,,,
50068,0.07,,,,
50069,0.06,,,,
50070,0.06,,,,
50071,0.07,,,,
50072,0.07,,,,
50073,0.06,,,,
50074,0.07,,,,
50075,0.07,,,,
50076,0.07,,,,
50078,0.07,,,,
50099,0.07,,,,
50101,0.07,,,,
50102,0.07,,,,
50103,0.07,,,,
50104,0.07,,,,
50105,0.07,,,,
50106,0.07,,,,
50107,0.07,,,,
50108,0.07,,,,
50109,0.06,,,,
50110,0.07,,,,
50111,0.06,,,,
50112,0.07,,,,
50115,0.07,,,,
50116,0.07,,,,
50117,0.07,,,,
50118,0.07,,,,
50119,0.07,,,,
50120,0.07,,,,
50122,0.07,,,,
50123,0.07,,,,
50124,0.07,,,,
50125,0.07,,,,
50126,0.07,,,,
50127,0.07,,,,
50128,0.07,,,,
50129,0.07,,,,
50130,0.07,,,,
50131,0.06,,,,
50132,0.07,,,,
50133,0.07,,,,
50134,0.07,,,,
50135,0.07,,,,
50136,0.07,,,,
50137,0.07,,,,
50138,0.07,,,,
50139,0.06,,,,
50140,0.07,,,,
50141,0.07,,,,
50142,0.07,,,,
50143,0.07,,,,
50144,0.07,,,,
50145,0.06,,,,
50146,0.06,,,,
50147,0.07,,,,
50148,0.07,,,,
50149,0.07,,,,
50150,0.07,,,,
50151,0.07,,,,
50152,0.07,,,,
50153,0.07,,,,
50154,0.07,,,,
50155,0.07,,,,
50156,0.07,,,,
50157,0.07,,,,
