ZipCode,EstimatedCombinedRate,,,,
66002,0.0875,,,,
66006,0.0875,,,,
66007,0.085,,,,
66008,0.075,,,,
66010,0.065,,,,
66012,0.0925,,,,
66013,0.08,,,,
66014,0.065,,,,
66015,0.08,,,,
66016,0.0775,,,,
66017,0.075,,,,
66018,0.09725,,,,
66020,0.075,,,,
66021,0.08975,,,,
66023,0.0775,,,,
66024,0.085,,,,
66025,0.0925,,,,
66026,0.08,,,,
66027,0.095,,,,
66030,0.09475,,,,
66031,0.07975,,,,
66032,0.08,,,,
66033,0.08,,,,
66035,0.085,,,,
66036,0.08,,,,
66039,0.08,,,,
66040,0.065,,,,
66041,0.0775,,,,
66042,0.08,,,,
66043,0.0895,,,,
66044,0.0905,,,,
66045,0.0905,,,,
66046,0.0905,,,,
66047,0.0905,,,,
66048,0.095,,,,
66049,0.0905,,,,
66050,0.075,,,,
66051,0.09475,,,,
66052,0.075,,,,
66053,0.08,,,,
66054,0.075,,,,
66056,0.065,,,,
66058,0.0775,,,,
66060,0.075,,,,
66061,0.09475,,,,
66062,0.09475,,,,
66063,0.09475,,,,
66064,0.08,,,,
66066,0.075,,,,
66067,0.096,,,,
66070,0.075,,,,
66071,0.08,,,,
66072,0.065,,,,
66073,0.075,,,,
66075,0.065,,,,
66076,0.08,,,,
66078,0.08,,,,
66079,0.08,,,,
66080,0.08,,,,
66083,0.08,,,,
66085,0.07975,,,,
66086,0.075,,,,
66087,0.075,,,,
66088,0.075,,,,
66090,0.085,,,,
66091,0.08,,,,
66092,0.08,,,,
66093,0.08,,,,
66094,0.075,,,,
66095,0.08,,,,
66097,0.075,,,,
66101,0.09125,,,,
66102,0.09125,,,,
66103,0.09125,,,,
66104,0.09125,,,,
66105,0.09125,,,,
66106,0.09125,,,,
66109,0.09125,,,,
66110,0.09125,,,,
66111,0.09125,,,,
66112,0.09125,,,,
66113,0.09,,,,
66115,0.09125,,,,
66117,0.09125,,,,
66118,0.09125,,,,
66119,0.09125,,,,
66160,0.09125,,,,
66201,0.096,,,,
66202,0.096,,,,
66203,0.096,,,,
66204,0.091,,,,
66205,0.09225,,,,
66206,0.091,,,,
66207,0.091,,,,
66208,0.08975,,,,
66209,0.091,,,,
66210,0.091,,,,
66211,0.091,,,,
66212,0.091,,,,
66213,0.091,,,,
66214,0.091,,,,
66215,0.0935,,,,
66216,0.096,,,,
66217,0.096,,,,
66218,0.096,,,,
66219,0.0935,,,,
66220,0.0935,,,,
66221,0.091,,,,
66222,0.096,,,,
66223,0.091,,,,
66224,0.091,,,,
66225,0.091,,,,
66226,0.096,,,,
66227,0.0935,,,,
66250,0.0935,,,,
66251,0.091,,,,
66276,0.106,,,,
66282,0.091,,,,
66283,0.091,,,,
66285,0.0935,,,,
66286,0.096,,,,
66401,0.08,,,,
66402,0.0765,,,,
66403,0.075,,,,
66404,0.08,,,,
66406,0.065,,,,
66407,0.075,,,,
66408,0.08,,,,
66409,0.0765,,,,
66411,0.08,,,,
66412,0.065,,,,
66413,0.075,,,,
66414,0.075,,,,
66415,0.08,,,,
66416,0.079,,,,
66417,0.08,,,,
