ZipCode,EstimatedCombinedRate,,,,
40003,0.06,,,,
40004,0.06,,,,
40006,0.06,,,,
40007,0.06,,,,
40008,0.06,,,,
40009,0.06,,,,
40010,0.06,,,,
40011,0.06,,,,
40012,0.06,,,,
40013,0.06,,,,
40014,0.06,,,,
40018,0.06,,,,
40019,0.06,,,,
40020,0.06,,,,
40022,0.06,,,,
40023,0.06,,,,
40025,0.06,,,,
40026,0.06,,,,
40027,0.06,,,,
40031,0.06,,,,
40032,0.06,,,,
40033,0.06,,,,
40036,0.06,,,,
40037,0.06,,,,
40040,0.06,,,,
40041,0.06,,,,
40045,0.06,,,,
40046,0.06,,,,
40047,0.06,,,,
40048,0.06,,,,
40049,0.06,,,,
40050,0.06,,,,
40051,0.06,,,,
40052,0.06,,,,
40055,0.06,,,,
40056,0.06,,,,
40057,0.06,,,,
40058,0.06,,,,
40059,0.06,,,,
40060,0.06,,,,
40061,0.06,,,,
40062,0.06,,,,
40063,0.06,,,,
40065,0.06,,,,
40066,0.06,,,,
40067,0.06,,,,
40068,0.06,,,,
40069,0.06,,,,
40070,0.06,,,,
40071,0.06,,,,
40075,0.06,,,,
40076,0.06,,,,
40077,0.06,,,,
40078,0.06,,,,
40104,0.06,,,,
40107,0.06,,,,
40108,0.06,,,,
40109,0.06,,,,
40110,0.06,,,,
40111,0.06,,,,
40115,0.06,,,,
40117,0.06,,,,
40118,0.06,,,,
40119,0.06,,,,
40121,0.06,,,,
40122,0.06,,,,
40129,0.06,,,,
40140,0.06,,,,
40142,0.06,,,,
40143,0.06,,,,
40144,0.06,,,,
40145,0.06,,,,
40146,0.06,,,,
40150,0.06,,,,
40152,0.06,,,,
40153,0.06,,,,
40155,0.06,,,,
40157,0.06,,,,
40159,0.06,,,,
40160,0.06,,,,
40161,0.06,,,,
40162,0.06,,,,
40165,0.06,,,,
40166,0.06,,,,
40170,0.06,,,,
40171,0.06,,,,
40175,0.06,,,,
40176,0.06,,,,
40177,0.06,,,,
40178,0.06,,,,
40201,0.06,,,,
40202,0.06,,,,
40203,0.06,,,,
40204,0.06,,,,
40205,0.06,,,,
40206,0.06,,,,
40207,0.06,,,,
40208,0.06,,,,
40209,0.06,,,,
40210,0.06,,,,
40211,0.06,,,,
40212,0.06,,,,
40213,0.06,,,,
40214,0.06,,,,
40215,0.06,,,,
40216,0.06,,,,
40217,0.06,,,,
40218,0.06,,,,
40219,0.06,,,,
40220,0.06,,,,
40221,0.06,,,,
40222,0.06,,,,
40223,0.06,,,,
40224,0.06,,,,
40225,0.06,,,,
40228,0.06,,,,
40229,0.06,,,,
40231,0.06,,,,
40232,0.06,,,,
40233,0.06,,,,
40241,0.06,,,,
40242,0.06,,,,
40243,0.06,,,,
40245,0.06,,,,
40250,0.06,,,,
40251,0.06,,,,
40252,0.06,,,,
40253,0.06,,,,
40255,0.06,,,,
40256,0.06,,,,
40257,0.06,,,,
40258,0.06,,,,
40259,0.06,,,,
40261,0.06,,,,
40266,0.06,,,,
40268,0.06,,,,
40269,0.06,,,,
40270,0.06,,,,
40272,0.06,,,,
40280,0.06,,,,
40281,0.06,,,,
40282,0.06,,,,
40283,0.06,,,,
40285,0.06,,,,
40287,0.06,,,,
40289,0.06,,,,
40290,0.06,,,,
40291,0.06,,,,
40292,0.06,,,,
40293,0.06,,,,
40294,0.06,,,,
40295,0.06,,,,
40296,0.06,,,,
40297,0.06,,,,
40298,0.06,,,,
40299,0.06,,,,
40310,0.06,,,,
40311,0.06,,,,
40312,0.06,,,,
40313,0.06,,,,
40316,0.06,,,,
40317,0.06,,,,
40319,0.06,,,,
40322,0.06,,,,
40324,0.06,,,,
40328,0.06,,,,
40330,0.06,,,,
40334,0.06,,,,
40336,0.06,,,,
40337,0.06,,,,
40339,0.06,,,,
40340,0.06,,,,
40342,0.06,,,,
40346,0.06,,,,
40347,0.06,,,,
40348,0.06,,,,
40350,0.06,,,,
40351,0.06,,,,
40353,0.06,,,,
40355,0.06,,,,
