ZipCode,EstimatedCombinedRate
70001,0.0975
70002,0.0975
70003,0.0975
70004,0.0975
70005,0.0975
70006,0.0975
70009,0.0975
70010,0.0975
70011,0.0975
70030,0.1
70031,0.1
70032,0.1
70033,0.0975
70036,0.0975
70037,0.095
70038,0.095
70039,0.1
70040,0.095
70041,0.095
70043,0.1
70044,0.1
70047,0.1
70049,0.1025
70050,0.095
70051,0.1025
70052,0.085
70053,0.0975
70054,0.0975
70055,0.0975
70056,0.0975
70057,0.1
70058,0.0975
70059,0.0975
70060,0.0975
70062,0.0975
70063,0.0975
70064,0.0975
70065,0.0975
70067,0.0975
70068,0.1025
70069,0.1025
70070,0.1
70071,0.085
70072,0.0975
70073,0.0975
70075,0.1
70076,0.1025
70078,0.1
70079,0.1
70080,0.1
70081,0.095
70082,0.095
70083,0.095
70084,0.1025
70085,0.1
70086,0.085
70087,0.1
70090,0.085
70091,0.095
70092,0.1
70093,0.095
70094,0.0975
70096,0.0975
70097,0.0975
70112,0.1
70113,0.1
70114,0.1
70115,0.1
70116,0.1
70117,0.1
70118,0.1
70119,0.1
70121,0.0975
70122,0.1
70123,0.0975
70124,0.1
70125,0.1
70126,0.1
70127,0.1
70128,0.1
70129,0.1
70130,0.1
70131,0.1
70139,0.1
70141,0.0975
70142,0.1
70143,0.1
70145,0.1
70146,0.1
70148,0.1
70150,0.1
70151,0.1
70152,0.1
70153,0.1
70154,0.1
70156,0.1
70157,0.1
70158,0.1
70159,0.1
70160,0.1
70161,0.1
70162,0.1
70163,0.1
70164,0.1
70165,0.1
70166,0.1
70167,0.1
70170,0.1
70172,0.1
70174,0.1
70175,0.1
70176,0.1
70177,0.1
70178,0.1
70179,0.1
70181,0.1
70182,0.1
70183,0.0975
70184,0.1
70185,0.1
70186,0.1
70187,0.1
70189,0.1
70190,0.1
70195,0.1
70301,0.0995
70302,0.0995
70310,0.0995
70339,0.1
70340,0.105
70341,0.1
70342,0.09
70343,0.105
70344,0.105
70345,0.104
70346,0.1
70352,0.105
70353,0.105
70354,0.104
70355,0.1015
70356,0.105
70357,0.104
70358,0.0975
70359,0.105
70360,0.105
70361,0.105
70363,0.105
70364,0.105
70371,0.1015
70372,0.1
70373,0.104
70374,0.1015
70375,0.1015
70377,0.105
70380,0.093
70381,0.093
70390,0.1
70391,0.1
70392,0.09
70393,0.1
70394,0.1015
70395,0.105
70397,0.105
70401,0.1
70402,0.1
70403,0.08
70404,0.1
70420,0.0975
70421,0.08
70422,0.08
70426,0.0983
70427,0.10493
70429,0.10493
70431,0.0975
70433,0.0975
70434,0.0975
70435,0.0975
70436,0.085
70437,0.0975
70438,0.0983
70441,0.1
70442,0.08
70443,0.08
70444,0.08
70445,0.0975
70446,0.08
70447,0.0975
70448,0.0975
70449,0.1
70450,0.0983
70451,0.08
70452,0.0975
70453,0.1
70454,0.08
70455,0.08
70456,0.085
70457,0.0975
70458,0.0975
70459,0.0975
70460,0.0975
70461,0.0975
70462,0.09
70463,0.1025
70464,0.0975
70465,0.1
70466,0.08
70467,0.0983
70469,0.0975
70470,0.1025
70471,0.0975
70501,0.09
70502,0.09
70503,0.09
70504,0.09
70505,0.09
70506,0.09
70507,0.09
70508,0.09
70509,0.09
70510,0.105
70511,0.105
70512,0.1055
70513,0.0825
70514,0.09
70515,0.0925
70516,0.0925
70517,0.085
70518,0.085
70519,0.085
70520,0.09
70521,0.085
70522,0.09
70523,0.09
70524,0.1
70525,0.0925
70526,0.105
70527,0.105
70528,0.1025
70529,0.09
70531,0.0925
70532,0.1
70533,0.0925
70534,0.0925
70535,0.1075
70537,0.0925
70538,0.09
70540,0.09
70541,0.1055
70542,0.0875
70543,0.0925
70544,0.095
70546,0.105
70548,0.0975
70549,0.105
70550,0.1055
70551,0.0855
70552,0.0825
70554,0.1
70555,0.0925
70556,0.0925
70558,0.09
70559,0.0925
70560,0.1
70562,0.1
70563,0.0825
70569,0.0825
70570,0.1075
70571,0.1075
70575,0.0925
70576,0.1
70577,0.1055
70578,0.1
70580,0.1
70581,0.1
70582,0.095
70583,0.09
70584,0.1055
70585,0.1
70586,0.1
70589,0.1055
70591,0.1
70592,0.105
70593,0.09
70596,0.09
70598,0.09
70601,0.1075
70602,0.1075
70605,0.1075
70606,0.1075
70607,0.1075
70609,0.1075
70611,0.1075
70612,0.1075
70615,0.1075
70616,0.1075
70629,0.1075
70630,0.1075
70631,0.05
70632,0.05
70633,0.1075
70634,0.1
70637,0.0975
70638,0.11
70639,0.09
70640,0.1
70643,0.05
70644,0.097
70645,0.05
70646,0.1075
70647,0.1075
70648,0.097
70650,0.1
70651,0.097
70652,0.0975
70653,0.0975
70654,0.097
70655,0.097
70656,0.09
70657,0.0975
70658,0.097
70659,0.105
70660,0.0975
70661,0.1075
70662,0.0975
70663,0.1075
70664,0.1075
70665,0.1075
70668,0.1075
70669,0.1075
70704,0.105
70706,0.105
70707,0.095
70710,0.1
70711,0.09
70712,0.1
70714,0.105
70715,0.09
70718,0.095
70719,0.1
70721,0.10666
70722,0.1
70723,0.085
70725,0.095
70726,0.095
70727,0.105
70728,0.095
70729,0.1
70730,0.1
70732,0.1
70733,0.09
70734,0.095
70736,0.09
70737,0.095
70738,0.095
70739,0.105
70740,0.1
70743,0.085
70744,0.09
70747,0.09
70748,0.1
70749,0.09
70750,0.1055
70752,0.09
70753,0.09
70754,0.09
70755,0.1
70756,0.09
70757,0.1
70759,0.09
70760,0.1
70761,0.1
70762,0.09
70763,0.085
70764,0.1
70765,0.1
70767,0.1
70769,0.095
70770,0.1
70772,0.1
70773,0.09
70774,0.095
70775,0.1
70776,0.10666
70777,0.1
70778,0.095
70780,0.10666
70782,0.1
70783,0.09
70784,0.1
70785,0.105
70786,0.105
70787,0.1
70788,0.1
70789,0.1
70791,0.1
70792,0.085
70801,0.1
70802,0.1
70803,0.1
70804,0.1
70805,0.1
70806,0.1
70807,0.1
70808,0.1
70809,0.1
70810,0.1
70811,0.1
70812,0.1
70814,0.1
70815,0.1
70816,0.1
70817,0.1
70818,0.105
70819,0.1
70820,0.1
70821,0.1
70822,0.1
70825,0.1
70826,0.1
70827,0.1
70831,0.1
70833,0.1
70835,0.1
70836,0.1
70837,0.105
70873,0.1
70874,0.1
70879,0.1
70884,0.1
70891,0.1
70892,0.1
70893,0.1
70894,0.1
70895,0.1
70896,0.1
70898,0.1
71001,0.105
71002,0.09
71003,0.08625
71004,0.0935
71006,0.0925
71007,0.0835
71008,0.08
71009,0.1035
71016,0.08
71018,0.08
71019,0.095
71021,0.105
71023,0.08
71024,0.08
71027,0.09
71028,0.08
71029,0.0935
71030,0.09
71031,0.09
71032,0.09
71033,0.0935
71034,0.105
71037,0.0925
71038,0.09625
71039,0.08
71040,0.08625
71043,0.0935
71044,0.0935
71045,0.08
71046,0.09
71047,0.0835
71048,0.08625
71049,0.09
71050,0.1
71051,0.0925
71052,0.09
71055,0.105
71058,0.105
71060,0.0935
71061,0.0935
71063,0.09
71064,0.0925
71065,0.09625
71066,0.09
71067,0.0925
71068,0.08
71069,0.0935
71070,0.09
71071,0.08
71072,0.08
71073,0.105
71075,0.105
71078,0.09
71079,0.08625
71080,0.08
71082,0.1035
71101,0.096
71102,0.096
