ZipCode,EstimatedCombinedRate
03901,0.055
03902,0.055
03903,0.055
03904,0.055
03905,0.055
03906,0.055
03907,0.055
03908,0.055
03909,0.055
03910,0.055
03911,0.055
04001,0.055
04002,0.055
04003,0.055
04004,0.055
04005,0.055
04006,0.055
04007,0.055
04008,0.055
04009,0.055
04010,0.055
04011,0.055
04013,0.055
04014,0.055
04015,0.055
04016,0.055
04017,0.055
04019,0.055
04020,0.055
04021,0.055
04022,0.055
04024,0.055
04027,0.055
04028,0.055
04029,0.055
04030,0.055
04032,0.055
04033,0.055
04034,0.055
04037,0.055
04038,0.055
04039,0.055
04040,0.055
04041,0.055
04042,0.055
04043,0.055
04046,0.055
04047,0.055
04048,0.055
04049,0.055
04050,0.055
04051,0.055
04054,0.055
04055,0.055
04056,0.055
04057,0.055
04061,0.055
04062,0.055
04063,0.055
04064,0.055
04066,0.055
04068,0.055
04069,0.055
04070,0.055
04071,0.055
04072,0.055
04073,0.055
04074,0.055
04076,0.055
04077,0.055
04078,0.055
04079,0.055
04082,0.055
04083,0.055
04084,0.055
04085,0.055
04086,0.055
04087,0.055
04088,0.055
04090,0.055
04091,0.055
04092,0.055
04093,0.055
04094,0.055
04095,0.055
04096,0.055
04097,0.055
04098,0.055
04101,0.055
04102,0.055
04103,0.055
04104,0.055
04105,0.055
04106,0.055
04107,0.055
04108,0.055
04109,0.055
04110,0.055
04112,0.055
04116,0.055
04122,0.055
04123,0.055
04124,0.055
04210,0.055
04211,0.055
04212,0.055
04216,0.055
04217,0.055
04219,0.055
04220,0.055
04221,0.055
04222,0.055
04223,0.055
04224,0.055
04225,0.055
04226,0.055
04227,0.055
04228,0.055
04230,0.055
04231,0.055
04234,0.055
04236,0.055
04237,0.055
04238,0.055
04239,0.055
04240,0.055
04241,0.055
04243,0.055
04250,0.055
04252,0.055
04253,0.055
04254,0.055
04255,0.055
04256,0.055
04257,0.055
04258,0.055
04259,0.055
04260,0.055
04261,0.055
04262,0.055
04263,0.055
04265,0.055
04266,0.055
04267,0.055
04268,0.055
04270,0.055
04271,0.055
04274,0.055
04275,0.055
04276,0.055
04280,0.055
04281,0.055
04282,0.055
04284,0.055
04285,0.055
04286,0.055
04287,0.055
04288,0.055
04289,0.055
04290,0.055
04291,0.055
04292,0.055
04294,0.055
04330,0.055
04332,0.055
04333,0.055
04336,0.055
04338,0.055
04341,0.055
04342,0.055
04343,0.055
04344,0.055
04345,0.055
04346,0.055
04347,0.055
04348,0.055
04349,0.055
04350,0.055
04351,0.055
04352,0.055
04353,0.055
04354,0.055
04355,0.055
04357,0.055
04358,0.055
04359,0.055
04360,0.055
04363,0.055
04364,0.055
04401,0.055
04402,0.055
04406,0.055
04408,0.055
04410,0.055
04411,0.055
04412,0.055
04413,0.055
04414,0.055
04415,0.055
04416,0.055
04417,0.055
04418,0.055
04419,0.055
04420,0.055
04421,0.055
04422,0.055
04424,0.055
04426,0.055
04427,0.055
04428,0.055
04429,0.055
04430,0.055
04431,0.055
04434,0.055
04435,0.055
04438,0.055
04441,0.055
04442,0.055
04443,0.055
04444,0.055
04448,0.055
04449,0.055
04450,0.055
04451,0.055
04453,0.055
04454,0.055
04455,0.055
04456,0.055
04457,0.055
04459,0.055
04460,0.055
04461,0.055
04462,0.055
04463,0.055
04464,0.055
04468,0.055
04469,0.055
04471,0.055
04472,0.055
04473,0.055
04474,0.055
04475,0.055
04476,0.055
04478,0.055
04479,0.055
04481,0.055
04485,0.055
04487,0.055
04488,0.055
04489,0.055
04490,0.055
04491,0.055
04492,0.055
04493,0.055
04495,0.055
04496,0.055
04497,0.055
04530,0.055
04535,0.055
04537,0.055
04538,0.055
04539,0.055
04541,0.055
04543,0.055
04544,0.055
04547,0.055
04548,0.055
04549,0.055
04551,0.055
04553,0.055
04554,0.055
04555,0.055
04556,0.055
04558,0.055
04562,0.055
04563,0.055
04564,0.055
04565,0.055
04568,0.055
04570,0.055
04571,0.055
04572,0.055
04573,0.055
