ZipCode,EstimatedCombinedRate
20601,0.06
20602,0.06
20603,0.06
20604,0.06
20606,0.06
20607,0.06
20608,0.06
20609,0.06
20610,0.06
20611,0.06
20612,0.06
20613,0.06
20615,0.06
20616,0.06
20617,0.06
20618,0.06
20619,0.06
20620,0.06
20621,0.06
20622,0.06
20623,0.06
20624,0.06
20625,0.06
20626,0.06
20627,0.06
20628,0.06
20629,0.06
20630,0.06
20632,0.06
20634,0.06
20635,0.06
20636,0.06
20637,0.06
20639,0.06
20640,0.06
20643,0.06
20645,0.06
20646,0.06
20650,0.06
20653,0.06
20656,0.06
20657,0.06
20658,0.06
20659,0.06
20660,0.06
20661,0.06
20662,0.06
20664,0.06
20667,0.06
20670,0.06
20674,0.06
20675,0.06
20676,0.06
20677,0.06
20678,0.06
20680,0.06
20682,0.06
20684,0.06
20685,0.06
20686,0.06
20687,0.06
20688,0.06
20689,0.06
20690,0.06
20692,0.06
20693,0.06
20695,0.06
20697,0.06
20701,0.06
20703,0.06
20704,0.06
20705,0.06
20706,0.06
20707,0.06
20708,0.06
20709,0.06
20710,0.06
20711,0.06
20712,0.06
20714,0.06
20715,0.06
20716,0.06
20717,0.06
20718,0.06
20719,0.06
20720,0.06
20721,0.06
20722,0.06
20723,0.06
20724,0.06
20725,0.06
20726,0.06
20731,0.06
20732,0.06
20733,0.06
20735,0.06
20736,0.06
20737,0.06
20738,0.06
20740,0.06
20741,0.06
20742,0.06
20743,0.06
20744,0.06
20745,0.06
20746,0.06
20747,0.06
20748,0.06
20749,0.06
20750,0.06
20751,0.06
20752,0.06
20753,0.06
20754,0.06
20755,0.06
20757,0.06
20758,0.06
20759,0.06
20762,0.06
20763,0.06
20764,0.06
20765,0.06
20768,0.06
20769,0.06
20770,0.06
20771,0.06
20772,0.06
20773,0.06
20774,0.06
20775,0.06
20776,0.06
20777,0.06
20778,0.06
20779,0.06
20781,0.06
20782,0.06
20783,0.06
20784,0.06
20785,0.06
20787,0.06
20788,0.06
20790,0.06
20791,0.06
20792,0.06
20794,0.06
20797,0.06
20799,0.06
20810,0.06
20811,0.06
20812,0.06
20814,0.06
20815,0.06
20816,0.06
20817,0.06
20818,0.06
20824,0.06
20825,0.06
20827,0.06
20830,0.06
20832,0.06
20833,0.06
20837,0.06
20838,0.06
20839,0.06
20841,0.06
20842,0.06
20847,0.06
20848,0.06
20849,0.06
20850,0.06
20851,0.06
20852,0.06
20853,0.06
20854,0.06
20855,0.06
20857,0.06
20859,0.06
20860,0.06
20861,0.06
20862,0.06
20866,0.06
20868,0.06
20871,0.06
20872,0.06
20874,0.06
20875,0.06
20876,0.06
20877,0.06
20878,0.06
20879,0.06
20880,0.06
20882,0.06
20883,0.06
20884,0.06
20885,0.06
20886,0.06
20889,0.06
20891,0.06
20892,0.06
20894,0.06
20895,0.06
20896,0.06
20897,0.06
20898,0.06
20899,0.06
20901,0.06
20902,0.06
20903,0.06
20904,0.06
20905,0.06
20906,0.06
20907,0.06
20908,0.06
20910,0.06
20911,0.06
20912,0.06
20913,0.06
20914,0.06
20915,0.06
20916,0.06
20918,0.06
20993,0.06
20997,0.06
21001,0.06
21005,0.06
21009,0.06
21010,0.06
21012,0.06
21013,0.06
21014,0.06
21015,0.06
21017,0.06
21018,0.06
21020,0.06
21022,0.06
21023,0.06
21027,0.06
21028,0.06
21029,0.06
21030,0.06
21031,0.06
21032,0.06
21034,0.06
21035,0.06
21036,0.06
21037,0.06
21040,0.06
21041,0.06
21042,0.06
21043,0.06
21044,0.06
21045,0.06
21046,0.06
21047,0.06
21048,0.06
21050,0.06
21051,0.06
21052,0.06
21053,0.06
21054,0.06
21056,0.06
21057,0.06
21060,0.06
21061,0.06
21062,0.06
21065,0.06
21071,0.06
21074,0.06
21075,0.06
21076,0.06
21077,0.06
21078,0.06
21082,0.06
21084,0.06
21085,0.06
21087,0.06
21090,0.06
21092,0.06
21093,0.06
21094,0.06
21102,0.06
21104,0.06
21105,0.06
21106,0.06
21108,0.06
21111,0.06
21113,0.06
21114,0.06
21117,0.06
21120,0.06
21122,0.06
21123,0.06
21128,0.06
21130,0.06
21131,0.06
21132,0.06
21133,0.06
21136,0.06
21139,0.06
21140,0.06
21144,0.06
21146,0.06
21150,0.06
21152,0.06
21153,0.06
21154,0.06
21155,0.06
21156,0.06
21157,0.06
21158,0.06
21160,0.06
21161,0.06
21162,0.06
21163,0.06
21201,0.06
21202,0.06
21203,0.06
21204,0.06
21205,0.06
21206,0.06
21207,0.06
21208,0.06
21209,0.06
21210,0.06
21211,0.06
21212,0.06
21213,0.06
21214,0.06
21215,0.06
21216,0.06
21217,0.06
21218,0.06
21219,0.06
21220,0.06
21221,0.06
21222,0.06
21223,0.06
21224,0.06
21225,0.06
21226,0.06
21227,0.06
21228,0.06
21229,0.06
21230,0.06
21231,0.06
21233,0.06
21234,0.06
21235,0.06
21236,0.06
21237,0.06
21239,0.06
21240,0.06
21241,0.06
21244,0.06
21250,0.06
21251,0.06
21252,0.06
21263,0.06
21264,0.06
21270,0.06
21273,0.06
21275,0.06
21278,0.06
21279,0.06
21281,0.06
21282,0.06
21284,0.06
21285,0.06
21286,0.06
21287,0.06
21289,0.06
21290,0.06
21297,0.06
21298,0.06
21401,0.06
21402,0.06
21403,0.06
21404,0.06
21405,0.06
21409,0.06
21411,0.06
21412,0.06
21501,0.06
21502,0.06
21503,0.06
21504,0.06
21505,0.06
21520,0.06
21521,0.06
21522,0.06
21523,0.06
21524,0.06
21528,0.06
21529,0.06
21530,0.06
21531,0.06
21532,0.06
21536,0.06
21538,0.06
21539,0.06
21540,0.06
21541,0.06
21542,0.06
21543,0.06
21545,0.06
21550,0.06
21555,0.06
21556,0.06
21557,0.06
21560,0.06
21561,0.06
21562,0.06
21601,0.06
21607,0.06
21609,0.06
21610,0.06
21612,0.06
21613,0.06
21617,0.06
21619,0.06
21620,0.06
21622,0.06
21623,0.06
21624,0.06
21625,0.06
21626,0.06
21627,0.06
21628,0.06
21629,0.06
21631,0.06
21632,0.06
21634,0.06
21635,0.06
21636,0.06
21638,0.06
21639,0.06
21640,0.06
21641,0.06
21643,0.06
21644,0.06
21645,0.06
21647,0.06
21648,0.06
21649,0.06
21650,0.06
21651,0.06
21652,0.06
21653,0.06
21654,0.06
21655,0.06
21656,0.06
21657,0.06
21658,0.06
21659,0.06
21660,0.06
21661,0.06
21662,0.06
21663,0.06
21664,0.06
21665,0.06
21666,0.06
21667,0.06
21668,0.06
21669,0.06
21670,0.06
21671,0.06
21672,0.06
21673,0.06
21675,0.06
21676,0.06
21677,0.06
21678,0.06
21679,0.06
21690,0.06
21701,0.06
21702,0.06
21703,0.06
21704,0.06
21705,0.06
21709,0.06
21710,0.06
21711,0.06
21713,0.06
21714,0.06
21715,0.06
21716,0.06
21717,0.06
21718,0.06
21719,0.06
21720,0.06
21721,0.06
21722,0.06
21723,0.06
21727,0.06
21733,0.06
21734,0.06
21737,0.06
21738,0.06
21740,0.06
21741,0.06
21742,0.06
21746,0.06
21747,0.06
21749,0.06
21750,0.06
21754,0.06
21755,0.06
21756,0.06
21757,0.06
21758,0.06
21759,0.06
21762,0.06
21765,0.06
21766,0.06
21767,0.06
21769,0.06
21770,0.06
21771,0.06
21773,0.06
21774,0.06
21775,0.06
21776,0.06
21777,0.06
21778,0.06
21779,0.06
21780,0.06
21781,0.06
21782,0.06
21783,0.06
21784,0.06
21787,0.06
21788,0.06
21790,0.06
21791,0.06
21792,0.06
21793,0.06
21794,0.06
21795,0.06
21797,0.06
21798,0.06
21801,0.06
21802,0.06
21803,0.06
21804,0.06
21810,0.06
21811,0.06
21813,0.06
21814,0.06
21817,0.06
21821,0.06
21822,0.06
21824,0.06
21826,0.06
21829,0.06
21830,0.06
21835,0.06
21836,0.06
21837,0.06
21838,0.06
21840,0.06
21841,0.06
21842,0.06
21843,0.06
21849,0.06
21850,0.06
21851,0.06
21852,0.06
21853,0.06
21856,0.06
21857,0.06
21861,0.06
21862,0.06
21863,0.06
21864,0.06
21865,0.06
21866,0.06
21867,0.06
21869,0.06
21871,0.06
21872,0.06
21874,0.06
21875,0.06
21890,0.06
21901,0.06
21902,0.06
21903,0.06
21904,0.06
21911,0.06
21912,0.06
21913,0.06
21914,0.06
21915,0.06
21916,0.06
21917,0.06
21918,0.06
21919,0.06
21920,0.06
21921,0.06
21922,0.06
21930,0.06
