ZipCode,EstimatedCombinedRate
48001,0.06
48002,0.06
48003,0.06
48004,0.06
48005,0.06
48006,0.06
48007,0.06
48009,0.06
48012,0.06
48014,0.06
48015,0.06
48017,0.06
48021,0.06
48022,0.06
48023,0.06
48025,0.06
48026,0.06
48027,0.06
48028,0.06
48030,0.06
48032,0.06
48033,0.06
48034,0.06
48035,0.06
48036,0.06
48037,0.06
48038,0.06
48039,0.06
48040,0.06
48041,0.06
48042,0.06
48043,0.06
48044,0.06
48045,0.06
48046,0.06
48047,0.06
48048,0.06
48049,0.06
48050,0.06
48051,0.06
48054,0.06
48059,0.06
48060,0.06
48061,0.06
48062,0.06
48063,0.06
48064,0.06
48065,0.06
48066,0.06
48067,0.06
48068,0.06
48069,0.06
48070,0.06
48071,0.06
48072,0.06
48073,0.06
48074,0.06
48075,0.06
48076,0.06
48079,0.06
48080,0.06
48081,0.06
48082,0.06
48083,0.06
48084,0.06
48085,0.06
48086,0.06
48088,0.06
48089,0.06
48090,0.06
48091,0.06
48092,0.06
48093,0.06
48094,0.06
48095,0.06
48096,0.06
48097,0.06
48098,0.06
48099,0.06
48101,0.06
48103,0.06
48104,0.06
48105,0.06
48106,0.06
48107,0.06
48108,0.06
48109,0.06
48110,0.06
48111,0.06
48112,0.06
48113,0.06
48114,0.06
48115,0.06
48116,0.06
48117,0.06
48118,0.06
48120,0.06
48121,0.06
48122,0.06
48123,0.06
48124,0.06
48125,0.06
48126,0.06
48127,0.06
48128,0.06
48130,0.06
48131,0.06
48133,0.06
48134,0.06
48135,0.06
48136,0.06
48137,0.06
48138,0.06
48139,0.06
48140,0.06
48141,0.06
48143,0.06
48144,0.06
48145,0.06
48146,0.06
48150,0.06
48151,0.06
48152,0.06
48153,0.06
48154,0.06
48157,0.06
48158,0.06
48159,0.06
48160,0.06
48161,0.06
48162,0.06
48164,0.06
48165,0.06
48166,0.06
48167,0.06
48168,0.06
48169,0.06
48170,0.06
48173,0.06
48174,0.06
48175,0.06
48176,0.06
48177,0.06
48178,0.06
48179,0.06
48180,0.06
48182,0.06
48183,0.06
48184,0.06
48185,0.06
48186,0.06
48187,0.06
48188,0.06
48189,0.06
48190,0.06
48191,0.06
48192,0.06
48193,0.06
48195,0.06
48197,0.06
48198,0.06
48201,0.06
48202,0.06
48203,0.06
48204,0.06
48205,0.06
48206,0.06
48207,0.06
48208,0.06
48209,0.06
48210,0.06
48211,0.06
48212,0.06
48213,0.06
48214,0.06
48215,0.06
48216,0.06
48217,0.06
48218,0.06
48219,0.06
48220,0.06
48221,0.06
48222,0.06
48223,0.06
48224,0.06
48225,0.06
48226,0.06
48227,0.06
48228,0.06
48229,0.06
48230,0.06
48231,0.06
48232,0.06
48233,0.06
48234,0.06
48235,0.06
48236,0.06
48237,0.06
48238,0.06
48239,0.06
48240,0.06
48242,0.06
48243,0.06
48244,0.06
48255,0.06
48260,0.06
48264,0.06
48265,0.06
48266,0.06
48267,0.06
48268,0.06
48269,0.06
48272,0.06
48275,0.06
48277,0.06
48278,0.06
48279,0.06
48288,0.06
48301,0.06
48302,0.06
48303,0.06
48304,0.06
48306,0.06
48307,0.06
48308,0.06
48309,0.06
48310,0.06
48311,0.06
48312,0.06
48313,0.06
48314,0.06
48315,0.06
48316,0.06
48317,0.06
48318,0.06
48320,0.06
48321,0.06
48322,0.06
48323,0.06
48324,0.06
48325,0.06
48326,0.06
48327,0.06
48328,0.06
48329,0.06
48330,0.06
48331,0.06
48332,0.06
48333,0.06
48334,0.06
48335,0.06
48336,0.06
48340,0.06
48341,0.06
48342,0.06
48343,0.06
48346,0.06
48347,0.06
48348,0.06
48350,0.06
48353,0.06
48356,0.06
48357,0.06
48359,0.06
48360,0.06
48361,0.06
48362,0.06
48363,0.06
48366,0.06
48367,0.06
48370,0.06
48371,0.06
48374,0.06
48375,0.06
48376,0.06
48377,0.06
48380,0.06
48381,0.06
48382,0.06
48383,0.06
48386,0.06
48387,0.06
48390,0.06
48393,0.06
48397,0.06
48401,0.06
48410,0.06
48411,0.06
48412,0.06
48413,0.06
48414,0.06
48415,0.06
48416,0.06
48417,0.06
48418,0.06
48419,0.06
48420,0.06
48421,0.06
48422,0.06
48423,0.06
48426,0.06
48427,0.06
48428,0.06
48429,0.06
48430,0.06
48432,0.06
48433,0.06
48434,0.06
48435,0.06
48436,0.06
48437,0.06
48438,0.06
48439,0.06
48440,0.06
48441,0.06
48442,0.06
48444,0.06
48445,0.06
48446,0.06
48449,0.06
48450,0.06
48451,0.06
48453,0.06
48454,0.06
48455,0.06
48456,0.06
48457,0.06
48458,0.06
48460,0.06
48461,0.06
48462,0.06
48463,0.06
48464,0.06
48465,0.06
48466,0.06
48467,0.06
48468,0.06
48469,0.06
48470,0.06
48471,0.06
48472,0.06
48473,0.06
48475,0.06
48476,0.06
48480,0.06
48501,0.06
48502,0.06
48503,0.06
48504,0.06
48505,0.06
48506,0.06
48507,0.06
48509,0.06
48519,0.06
48529,0.06
48531,0.06
48532,0.06
48550,0.06
48551,0.06
48552,0.06
48553,0.06
48554,0.06
48555,0.06
48556,0.06
48557,0.06
48601,0.06
48602,0.06
48603,0.06
48604,0.06
48605,0.06
48606,0.06
48607,0.06
48608,0.06
48609,0.06
48610,0.06
48611,0.06
48612,0.06
48613,0.06
48614,0.06
48615,0.06
48616,0.06
48617,0.06
48618,0.06
48619,0.06
48620,0.06
48621,0.06
48622,0.06
48623,0.06
48624,0.06
48625,0.06
48626,0.06
48627,0.06
48628,0.06
48629,0.06
48630,0.06
48631,0.06
48632,0.06
48633,0.06
48634,0.06
48635,0.06
48636,0.06
48637,0.06
48638,0.06
48640,0.06
48641,0.06
48642,0.06
48647,0.06
48649,0.06
48650,0.06
48651,0.06
48652,0.06
48653,0.06
48654,0.06
48655,0.06
48656,0.06
48657,0.06
48658,0.06
48659,0.06
48661,0.06
48662,0.06
48663,0.06
48667,0.06
48670,0.06
48674,0.06
48686,0.06
48701,0.06
48703,0.06
48705,0.06
48706,0.06
48707,0.06
48708,0.06
48720,0.06
48721,0.06
48722,0.06
48723,0.06
48724,0.06
48725,0.06
48726,0.06
48727,0.06
48728,0.06
48729,0.06
