ZipCode,EstimatedCombinedRate
55001,0.07125
55002,0.07375
55003,0.07125
55005,0.07125
55006,0.06875
55007,0.06875
55008,0.06875
55009,0.06875
55010,0.07125
55011,0.07125
55012,0.07375
55013,0.07375
55014,0.07125
55016,0.07125
55017,0.06875
55018,0.06875
55019,0.07375
55020,0.07375
55021,0.07375
55024,0.07125
55025,0.07125
55026,0.06875
55027,0.06875
55029,0.06875
55030,0.07375
55031,0.07125
55032,0.07375
55033,0.07125
55036,0.07375
55037,0.07375
55038,0.07125
55040,0.06875
55041,0.07375
55042,0.07125
55043,0.07125
55044,0.07125
55045,0.07375
55046,0.07375
55047,0.07125
55049,0.07375
55051,0.06875
55052,0.07375
55053,0.07375
55054,0.07375
55055,0.07125
55056,0.07375
55057,0.07375
55060,0.07375
55063,0.07375
55065,0.07125
55066,0.06875
55067,0.07375
55068,0.07125
55069,0.07375
55070,0.07125
55071,0.07125
55072,0.07375
55073,0.07125
55074,0.07375
55075,0.07125
55076,0.07125
55077,0.07125
55078,0.07375
55079,0.07375
55080,0.06875
55082,0.07125
55083,0.07125
55084,0.07375
55085,0.07125
55087,0.07375
55088,0.07375
55089,0.06875
55090,0.07125
55092,0.07375
55101,0.07875
55102,0.07875
55103,0.07875
55104,0.07875
55105,0.07875
55106,0.07875
55107,0.07875
55108,0.07875
55109,0.07375
55110,0.07375
55111,0.07525
55112,0.07375
55113,0.07375
55114,0.07875
55115,0.07125
55116,0.07875
55117,0.07875
55118,0.07125
55119,0.07875
55120,0.07125
55121,0.07125
55122,0.07125
55123,0.07125
55124,0.07125
55125,0.07125
55126,0.07375
55127,0.07375
55128,0.07125
55129,0.07125
55130,0.07875
55133,0.07125
55144,0.07375
55145,0.07875
55146,0.07875
55150,0.07125
55155,0.07875
55164,0.07125
55165,0.07875
55168,0.07875
55170,0.07125
55301,0.07375
55302,0.07375
55303,0.07125
55304,0.07125
55305,0.07525
55306,0.07125
55307,0.06875
55308,0.06875
55309,0.06875
55310,0.06875
55311,0.07525
55312,0.06875
55313,0.07375
55314,0.06875
55315,0.07375
55316,0.07525
55317,0.07375
55318,0.07375
55319,0.06875
55320,0.07125
55321,0.07375
55322,0.07375
55323,0.07525
55324,0.06875
55325,0.06875
55327,0.07525
55328,0.07375
55329,0.06875
55330,0.06875
55331,0.07525
55332,0.06875
55333,0.06875
55334,0.06875
55335,0.06875
55336,0.06875
55337,0.07125
55338,0.06875
55339,0.07375
55340,0.07525
55341,0.07375
55342,0.06875
55343,0.07525
55344,0.07525
55345,0.07525
55346,0.07525
55347,0.07525
55349,0.07375
55350,0.07375
55352,0.07375
55353,0.07125
55354,0.06875
55355,0.06875
55356,0.07525
55357,0.07525
55358,0.07375
55359,0.07525
55360,0.07375
55361,0.07525
55362,0.07375
55363,0.07375
55364,0.07525
55365,0.07375
55366,0.06875
55367,0.07375
55368,0.07375
55369,0.07525
55370,0.06875
55371,0.07375
55372,0.07375
55373,0.07375
55374,0.07525
55375,0.07525
55376,0.07375
55377,0.07375
55378,0.07375
55379,0.07375
55381,0.06875
55382,0.07125
55384,0.07525
55385,0.06875
55386,0.07375
55387,0.07375
55388,0.07375
55389,0.06875
55390,0.07375
55391,0.07525
55392,0.07525
55395,0.06875
55396,0.06875
55397,0.07375
55398,0.06875
55401,0.08025
55402,0.08025
55403,0.08025
55404,0.08025
55405,0.08025
55406,0.08025
55407,0.08025
55408,0.08025
55409,0.08025
55410,0.08025
55411,0.08025
55412,0.08025
55413,0.08025
55414,0.08025
55415,0.08025
55416,0.07525
55417,0.08025
55418,0.08025
55419,0.08025
55420,0.07525
55421,0.07125
55422,0.07525
55423,0.07525
55424,0.07525
55425,0.07525
55426,0.07525
55427,0.07525
55428,0.07525
55429,0.07525
55430,0.07525
55431,0.07525
55432,0.07125
55433,0.07125
55434,0.07125
55435,0.07525
55436,0.07525
55437,0.07525
55438,0.07525
55439,0.07525
55440,0.08025
55441,0.07525
55442,0.07525
55443,0.07525
55444,0.07525
55445,0.07525
55446,0.07525
55447,0.07525
55448,0.07125
55449,0.07125
55450,0.07525
55454,0.08025
55455,0.08025
55458,0.08025
55459,0.08025
55460,0.08025
55467,0.08025
55470,0.08025
55472,0.08025
55474,0.08025
55478,0.08025
55479,0.08025
55480,0.08025
55483,0.08025
55484,0.08025
55485,0.08025
55486,0.08025
55487,0.08025
55488,0.08025
55565,0.07375
55569,0.07525
55572,0.07375
55575,0.07375
55577,0.07525
55580,0.07375
55581,0.07375
55582,0.07375
55584,0.07375
55585,0.07375
55586,0.07375
55587,0.07375
55588,0.07375
55589,0.07375
55590,0.07375
55591,0.07375
55592,0.07525
55593,0.07525
55599,0.07525
55601,0.08375
55602,0.07375
55603,0.07375
55604,0.08375
55605,0.08375
55606,0.08375
55607,0.07375
55609,0.08375
55612,0.08375
55613,0.08375
55614,0.07375
55615,0.08375
55616,0.07875
55701,0.08375
55702,0.07375
55703,0.07375
55704,0.07375
55705,0.07375
55706,0.07375
55707,0.07375
55708,0.07375
55709,0.06875
55710,0.07375
55711,0.07375
55712,0.07375
55713,0.07375
55716,0.08375
55717,0.07375
55718,0.07375
55719,0.07375
55720,0.07875
55721,0.06875
55722,0.08375
55723,0.07375
55724,0.07375
55725,0.07375
55726,0.07375
55730,0.06875
55731,0.07375
55732,0.07375
55733,0.07375
55734,0.07375
55735,0.07375
55736,0.07375
55738,0.07375
55741,0.07375
55742,0.06875
55744,0.06875
55745,0.06875
55746,0.07375
55748,0.06875
55749,0.07375
55750,0.07375
55751,0.07375
55752,0.06875
55753,0.08375
55756,0.07375
55757,0.07375
55758,0.07375
55760,0.06875
55763,0.07375
55764,0.08375
55765,0.07375
55766,0.07375
55767,0.07875
55768,0.07375
55769,0.06875
55771,0.07375
55772,0.07375
55775,0.06875
55777,0.07375
55779,0.07375
55780,0.07375
55781,0.07375
55782,0.07375
55783,0.07375
55784,0.06875
55785,0.06875
55786,0.08375
55787,0.06875
55790,0.07375
55791,0.08375
55792,0.07375
55793,0.06875
55795,0.07375
55796,0.07375
55797,0.07375
55798,0.07375
55801,0.08375
55802,0.08375
55803,0.08375
