ZipCode,EstimatedCombinedRate
38601,0.07
38602,0.07
38603,0.07
38606,0.07
38609,0.07
38610,0.07
38611,0.07
38614,0.07
38617,0.07
38618,0.07
38619,0.07
38620,0.07
38621,0.07
38622,0.07
38623,0.07
38625,0.07
38626,0.07
38627,0.07
38629,0.07
38631,0.07
38632,0.07
38633,0.07
38634,0.07
38635,0.07
38637,0.07
38638,0.07
38639,0.07
38641,0.07
38642,0.07
38643,0.07
38644,0.07
38645,0.07
38646,0.07
38647,0.07
38649,0.07
38650,0.07
38651,0.07
38652,0.07
38654,0.07
38655,0.07
38658,0.07
38659,0.07
38661,0.07
38663,0.07
38664,0.07
38665,0.07
38666,0.07
38668,0.07
38669,0.07
38670,0.07
38671,0.07
38672,0.07
38673,0.07
38674,0.07
38676,0.07
38677,0.07
38679,0.07
38680,0.07
38683,0.07
38685,0.07
38686,0.07
38701,0.07
38702,0.07
38703,0.07
38704,0.07
38720,0.07
38721,0.07
38722,0.07
38723,0.07
38725,0.07
38726,0.07
38730,0.07
38731,0.07
38732,0.07
38733,0.07
38736,0.07
38737,0.07
38738,0.07
38739,0.07
38740,0.07
38744,0.07
38745,0.07
38746,0.07
38748,0.07
38749,0.07
38751,0.07
38753,0.07
38754,0.07
38756,0.07
38759,0.07
38760,0.07
38761,0.07
38762,0.07
38764,0.07
38765,0.07
38767,0.07
38768,0.07
38769,0.07
38771,0.07
38772,0.07
38773,0.07
38774,0.07
38776,0.07
38778,0.07
38780,0.07
38781,0.07
38782,0.07
38801,0.0725
38802,0.0725
38803,0.0725
38804,0.0725
38820,0.07
38821,0.07
38824,0.07
38825,0.0725
38826,0.0725
38827,0.07
38828,0.07
38829,0.07
38833,0.07
38834,0.07
38835,0.07
38838,0.07
38839,0.0725
38841,0.07
38843,0.07
38844,0.07
38846,0.07
38847,0.07
38848,0.07
38849,0.07
38850,0.07
38851,0.07
38852,0.07
38855,0.07
38856,0.07
38857,0.07
38858,0.07
38859,0.07
38860,0.07
38862,0.07
38863,0.07
38864,0.07
38865,0.07
38866,0.07
38868,0.07
38869,0.07
38870,0.07
38871,0.07
38873,0.07
38874,0.07
38875,0.07
38876,0.07
38877,0.0725
38878,0.07
38879,0.0725
38880,0.0725
38901,0.07
38902,0.07
38913,0.07
38914,0.07
38915,0.07
38916,0.07
38917,0.07
38920,0.07
38921,0.07
38922,0.07
38923,0.07
38924,0.07
38925,0.07
38927,0.07
38928,0.07
38929,0.07
38930,0.07
38935,0.07
38940,0.07
38941,0.07
38943,0.07
38944,0.07
38945,0.07
38946,0.07
38947,0.07
38948,0.07
38949,0.07
38950,0.07
38951,0.07
38952,0.07
38953,0.07
38954,0.07
38955,0.07
38957,0.07
38958,0.07
38959,0.07
38960,0.07
38961,0.07
38962,0.07
38963,0.07
38964,0.07
38965,0.07
38966,0.07
38967,0.07
39038,0.07
39039,0.07
39040,0.07
39041,0.07
39042,0.07
39043,0.07
39044,0.07
39045,0.07
39046,0.07
39047,0.07
39051,0.07
39054,0.07
39056,0.07
39057,0.07
39058,0.07
39059,0.07
39060,0.07
39061,0.07
39062,0.07
39063,0.07
39066,0.07
39067,0.07
39069,0.07
39071,0.07
39073,0.07
39074,0.07
39077,0.07
39078,0.07
39079,0.07
39080,0.07
39081,0.07
39082,0.07
39083,0.07
39086,0.07
39087,0.07
39088,0.07
39090,0.07
39092,0.07
39094,0.07
39095,0.07
39096,0.07
39097,0.07
39098,0.07
39108,0.07
39109,0.07
39110,0.07
39111,0.07
39113,0.07
39114,0.07
39115,0.07
39116,0.07
39117,0.07
39119,0.07
39120,0.07
39121,0.07
39122,0.07
39130,0.07
39140,0.07
39144,0.07
39145,0.07
39146,0.07
39148,0.07
39149,0.07
39150,0.07
39151,0.07
39152,0.07
39153,0.07
39154,0.07
39156,0.07
39157,0.07
39158,0.07
39159,0.07
39160,0.07
39161,0.07
39162,0.07
39163,0.07
39165,0.07
39166,0.07
39167,0.07
39168,0.07
39169,0.07
39170,0.07
39171,0.07
39173,0.07
39174,0.08
39175,0.07
39176,0.07
39177,0.07
39179,0.07
39180,0.07
39181,0.07
39182,0.07
39183,0.07
39189,0.07
39190,0.07
39191,0.07
39192,0.07
39193,0.07
39194,0.07
39201,0.08
39202,0.08
39203,0.08
39204,0.08
39205,0.08
39206,0.08
39207,0.08
39208,0.07
39209,0.08
39210,0.08
39211,0.08
39212,0.08
39213,0.08
39215,0.08
39216,0.08
39217,0.08
39218,0.07
39225,0.08
39232,0.07
39236,0.08
39250,0.08
39269,0.08
39272,0.07
39282,0.08
39283,0.08
39284,0.08
39286,0.08
39288,0.07
39289,0.08
39296,0.08
39298,0.08
39301,0.07
39302,0.07
39303,0.07
39304,0.07
39305,0.07
39307,0.07
39309,0.07
39320,0.07
39322,0.07
39323,0.07
39324,0.07
39325,0.07
39326,0.07
39327,0.07
39328,0.07
39330,0.07
39332,0.07
39335,0.07
39336,0.07
39337,0.07
39338,0.07
39339,0.07
39341,0.07
39342,0.07
39345,0.07
39346,0.07
39347,0.07
39348,0.07
39350,0.07
39352,0.07
39354,0.07
39355,0.07
39356,0.07
39358,0.07
39359,0.07
39360,0.07
39361,0.07
39362,0.07
39363,0.07
39364,0.07
39365,0.07
39366,0.07
39367,0.07
39401,0.07
39402,0.07
39403,0.07
39404,0.07
39406,0.07
39407,0.07
39421,0.07
39422,0.07
39423,0.07
39425,0.07
39426,0.07
39427,0.07
39428,0.07
39429,0.07
39436,0.07
39437,0.07
39439,0.07
39440,0.07
39441,0.07
39442,0.07
39443,0.07
39451,0.07
39452,0.07
39455,0.07
39456,0.07
39457,0.07
39459,0.07
39460,0.07
39461,0.07
39462,0.07
39463,0.07
39464,0.07
39465,0.07
39466,0.07
39470,0.07
39474,0.07
39475,0.07
39476,0.07
39477,0.07
39478,0.07
39479,0.07
39480,0.07
39481,0.07
39482,0.07
39483,0.07
39501,0.07
39502,0.07
39503,0.07
39505,0.07
39506,0.07
39507,0.07
39520,0.07
39521,0.07
39522,0.07
39525,0.07
39529,0.07
