ZipCode,EstimatedCombinedRate
63005,0.08613
63006,0.08863
63010,0.0835
63011,0.08613
63012,0.071
63013,0.06475
63014,0.06475
63015,0.06475
63016,0.0685
63017,0.08613
63019,0.091
63020,0.0685
63021,0.07613
63022,0.08613
63023,0.0685
63024,0.08863
63025,0.08613
63026,0.07613
63028,0.0685
63030,0.07225
63031,0.08863
63032,0.08863
63033,0.08863
63034,0.07613
63036,0.0635
63037,0.06475
63038,0.08113
63039,0.06475
63040,0.08113
63041,0.06975
63042,0.09613
63043,0.08113
63044,0.08863
63045,0.07613
63047,0.0685
63048,0.0885
63049,0.0735
63050,0.0735
63051,0.0735
63052,0.071
63053,0.086
63055,0.06475
63056,0.06475
63057,0.071
63060,0.06975
63061,0.06975
63065,0.0685
63066,0.0685
63068,0.06475
63069,0.07975
63070,0.0835
63071,0.07225
63072,0.06475
63073,0.06475
63074,0.08863
63077,0.06975
63079,0.06475
63080,0.08475
63084,0.08975
63087,0.0635
63088,0.08613
63089,0.06475
63090,0.0835
63091,0.061
63099,0.08613
63101,0.09179
63102,0.09179
63103,0.09179
63104,0.09179
63105,0.09113
63106,0.09179
63107,0.09179
63108,0.09179
63109,0.09179
63110,0.09179
63111,0.09179
63112,0.09179
63113,0.09179
63114,0.08863
63115,0.09179
63116,0.09179
63117,0.09113
63118,0.09179
63119,0.09113
63120,0.09179
63121,0.09113
63122,0.09113
63123,0.07613
63124,0.08863
63125,0.07613
63126,0.09113
63127,0.08863
63128,0.07613
63129,0.07613
63130,0.09113
63131,0.09113
63132,0.09113
63133,0.08363
63134,0.09613
63135,0.09613
63136,0.07613
63137,0.08113
63138,0.07613
63139,0.09179
63140,0.08863
63141,0.08363
63143,0.09113
63144,0.09113
63145,0.08863
63146,0.07613
63147,0.09179
63150,0.09179
63151,0.07613
63155,0.09179
63156,0.09179
63157,0.09179
63158,0.09179
63160,0.09179
63163,0.09179
63166,0.09179
63167,0.08363
63169,0.09179
63171,0.09179
63177,0.09179
63178,0.09179
63179,0.09179
63180,0.09179
63188,0.09179
63195,0.09179
63197,0.09179
63199,0.09179
63301,0.0795
63302,0.0895
63303,0.0795
63304,0.0595
63330,0.06225
63332,0.0595
63333,0.06475
63334,0.06225
63336,0.06225
63338,0.0895
63339,0.06225
63341,0.0595
63342,0.06225
63343,0.06475
63344,0.06225
63345,0.0785
63346,0.0845
63347,0.06475
63348,0.0595
63349,0.06475
63350,0.06475
63351,0.06225
63352,0.0685
63353,0.08475
63357,0.06225
63359,0.06225
63361,0.07975
63362,0.06475
63363,0.06475
63365,0.0795
63366,0.0795
63367,0.0795
63368,0.0795
63369,0.06475
63373,0.0695
63376,0.0795
63377,0.06475
63378,0.07725
63379,0.06475
63380,0.07725
63381,0.06225
63382,0.0835
63383,0.06225
63384,0.08225
63385,0.0845
63386,0.0695
63387,0.06475
63388,0.05725
63389,0.06475
63390,0.06225
63401,0.0835
63430,0.07725
63431,0.0635
63432,0.05475
63433,0.06225
63434,0.06225
63435,0.08975
63436,0.06725
63437,0.06225
63438,0.0735
63439,0.06225
63440,0.0735
63441,0.06225
63443,0.07225
63445,0.07725
63446,0.06725
63447,0.0735
63448,0.0835
63450,0.06225
63451,0.06225
63452,0.0735
63453,0.06725
63454,0.061
63456,0.08225
63457,0.0735
63458,0.06725
63459,0.06725
63460,0.06725
63461,0.0785
63462,0.06725
63463,0.061
63465,0.06725
63466,0.06725
63467,0.06725
63468,0.07975
63469,0.06225
63471,0.061
63472,0.07725
63473,0.0735
63474,0.07725
63501,0.0835
63530,0.0635
63531,0.06725
63532,0.0635
63533,0.056
63534,0.0635
63535,0.06225
63536,0.06225
63537,0.07725
63538,0.0635
63539,0.0635
63540,0.056
63541,0.06225
63543,0.05475
63544,0.056
63545,0.06975
63546,0.056
63547,0.06725
63548,0.07225
63549,0.0785
63551,0.06225
63552,0.086
63555,0.06475
63556,0.06975
63557,0.06225
63558,0.0635
63559,0.056
63560,0.06975
63561,0.08725
63563,0.06475
63565,0.06225
63566,0.06975
63567,0.06225
63601,0.091
63620,0.06725
63621,0.07975
63622,0.07225
63623,0.06725
63624,0.0785
63625,0.05725
63626,0.07225
63627,0.07225
63628,0.0635
63629,0.05725
63630,0.07225
63631,0.07225
63632,0.05725
63633,0.05725
63636,0.06725
63637,0.0635
63638,0.08725
63640,0.0835
63645,0.06225
63648,0.07225
63650,0.06725
63651,0.0635
63653,0.0735
63654,0.05725
63655,0.06225
63656,0.06725
63660,0.07225
63662,0.0585
63663,0.08725
63664,0.07225
63665,0.05725
63666,0.05725
63670,0.07225
63673,0.07225
63674,0.07225
63675,0.06725
63701,0.07975
63702,0.07975
63703,0.07975
63730,0.054125
63732,0.05225
63735,0.054125
63736,0.05225
63737,0.061
63738,0.054125
63739,0.05225
63740,0.06975
63742,0.05225
63743,0.05225
63744,0.06725
63745,0.06225
63746,0.061
63747,0.05225
63748,0.061
63750,0.0585
63751,0.0585
63752,0.07975
63755,0.07225
63758,0.06225
63760,0.0585
63763,0.05725
63764,0.0785
63766,0.05225
63767,0.07975
63769,0.05225
63770,0.061
63771,0.05225
63774,0.05225
63775,0.061
63776,0.07975
63779,0.05225
63780,0.06975
63781,0.0585
63782,0.0585
63783,0.061
63784,0.07975
63785,0.05225
63801,0.08225
63820,0.05975
63821,0.05725
63822,0.074125
63823,0.07475
63824,0.07975
63825,0.054125
63826,0.06725
63827,0.06725
63828,0.06225
63829,0.05725
63830,0.08725
63833,0.054125
63834,0.07975
63837,0.05725
63839,0.06725
63840,0.06725
63841,0.072875
63845,0.08475
63846,0.054125
63847,0.05725
63848,0.07225
63849,0.05725
63850,0.054125
63851,0.09475
63852,0.05725
63853,0.06725
63855,0.05725
63857,0.08975
63860,0.06225
63862,0.07225
63863,0.07975
63866,0.08725
63867,0.06225
63868,0.07225
63869,0.08725
63870,0.06225
