ZipCode,EstimatedCombinedRate
59001,0
59002,0
59003,0
59004,0
59006,0
59007,0
59008,0
59010,0
59011,0
59012,0
59013,0
59014,0
59015,0
59016,0
59018,0
59019,0
59020,0
59022,0
59024,0
59025,0
59026,0
59027,0
59028,0
59029,0
59030,0
59031,0
59032,0
59033,0
59034,0
59035,0
59036,0
59037,0
59038,0
59039,0
59041,0
59043,0
59044,0
59046,0
59047,0
59050,0
59052,0
59053,0
59054,0
59055,0
59057,0
59058,0
59059,0
59061,0
59062,0
59063,0
59064,0
59065,0
59066,0
59067,0
59068,0
59069,0
59070,0
59071,0
59072,0
59073,0
59074,0
59075,0
59076,0
59077,0
59078,0
59079,0
59081,0
59082,0
59083,0
59084,0
59085,0
59086,0
59087,0
59088,0
59089,0
59101,0
59102,0
59103,0
59104,0
59105,0
59106,0
59107,0
59108,0
59111,0
59112,0
59114,0
59115,0
59116,0
59117,0
59201,0
59211,0
59212,0
59213,0
59214,0
59215,0
59217,0
59218,0
59219,0
59221,0
59222,0
59223,0
59225,0
59226,0
59230,0
59231,0
59240,0
59241,0
59242,0
59243,0
59244,0
59247,0
59248,0
59250,0
59252,0
59253,0
59254,0
59255,0
59256,0
59257,0
59258,0
59259,0
59260,0
59261,0
59262,0
59263,0
59270,0
59273,0
59274,0
59275,0
59276,0
59301,0
59311,0
59312,0
59313,0
59314,0
59315,0
59316,0
59317,0
59318,0
59319,0
59322,0
59323,0
59324,0
59326,0
59327,0
59330,0
59332,0
59333,0
59336,0
59337,0
59338,0
59339,0
59341,0
59343,0
59344,0
59345,0
59347,0
59349,0
59351,0
59353,0
59354,0
59401,0
59402,0
59403,0
59404,0
59405,0
59406,0
59410,0
59411,0
59412,0
59414,0
59416,0
59417,0
59418,0
59419,0
59420,0
59421,0
59422,0
59424,0
59425,0
59427,0
59430,0
59432,0
59433,0
59434,0
59435,0
59436,0
59440,0
59441,0
59442,0
59443,0
59444,0
59446,0
59447,0
59448,0
59450,0
59451,0
59452,0
59453,0
59454,0
59456,0
59457,0
59460,0
59461,0
59462,0
59463,0
59464,0
59465,0
59466,0
59467,0
59468,0
59469,0
59471,0
59472,0
59474,0
59477,0
59479,0
59480,0
59482,0
59483,0
59484,0
59485,0
59486,0
59487,0
59489,0
59501,0
59520,0
59521,0
59522,0
59523,0
59524,0
59525,0
59526,0
59527,0
59528,0
59529,0
59530,0
59531,0
59532,0
59535,0
59537,0
59538,0
59540,0
59542,0
59544,0
59545,0
59546,0
59547,0
59601,0
59602,0
59604,0
59620,0
59623,0
59624,0
59625,0
59626,0
59631,0
59632,0
59633,0
59634,0
59635,0
59636,0
59638,0
59639,0
59640,0
59641,0
59642,0
59643,0
59644,0
59645,0
59647,0
59648,0
59701,0
59702,0
59703,0
59707,0
59710,0
59711,0
59713,0
59714,0
59715,0
59716,0
59717,0
59718,0
59719,0
59720,0
59721,0
59722,0
59724,0
59725,0
59727,0
59728,0
59729,0
59730,0
59731,0
59732,0
59733,0
59735,0
59736,0
59739,0
59740,0
59741,0
59743,0
59745,0
59746,0
59747,0
59748,0
59749,0
59750,0
59751,0
59752,0
59754,0
59755,0
59756,0
59758,0
59759,0
59760,0
59761,0
59762,0
59771,0
59772,0
59801,0
59802,0
59803,0
59804,0
59806,0
59807,0
59808,0
59812,0
59820,0
59821,0
59823,0
59824,0
59825,0
59826,0
59827,0
59828,0
59829,0
59830,0
59831,0
59832,0
59833,0
59834,0
59835,0
59837,0
59840,0
59841,0
59842,0
59843,0
59844,0
59845,0
59846,0
59847,0
59848,0
59851,0
59853,0
59854,0
59855,0
59856,0
59858,0
59859,0
59860,0
59863,0
59864,0
59865,0
59866,0
59867,0
59868,0
59870,0
59871,0
59872,0
59873,0
59874,0
59875,0
59901,0
59903,0
59904,0
59910,0
59911,0
59912,0
59913,0
59914,0
59915,0
59916,0
59917,0
59918,0
59919,0
59920,0
59921,0
59922,0
59923,0
59925,0
59926,0
59927,0
59928,0
59929,0
59930,0
59931,0
59932,0
59933,0
59934,0
59935,0
59936,0
59937,0
