ZipCode,EstimatedCombinedRate
68001,0.07
68002,0.055
68003,0.055
68004,0.07
68005,0.07
68007,0.055
68008,0.07
68009,0.07
68010,0.055
68014,0.055
68015,0.055
68016,0.055
68017,0.055
68018,0.055
68019,0.055
68020,0.065
68022,0.055
68023,0.055
68025,0.07
68026,0.07
68028,0.055
68029,0.055
68030,0.06
68031,0.055
68033,0.055
68034,0.055
68036,0.055
68037,0.055
68038,0.07
68039,0.055
68040,0.055
68041,0.055
68042,0.055
68044,0.055
68045,0.065
68046,0.075
68047,0.065
68048,0.055
68050,0.055
68055,0.055
68056,0.055
68057,0.055
68058,0.055
68059,0.055
68061,0.07
68062,0.055
68063,0.065
68064,0.055
68065,0.055
68066,0.07
68067,0.055
68068,0.055
68069,0.055
68070,0.055
68071,0.055
68072,0.055
68073,0.055
68101,0.07
68102,0.07
68103,0.07
68104,0.07
68105,0.07
68106,0.07
68107,0.07
68108,0.07
68109,0.07
68110,0.07
68111,0.07
68112,0.07
68113,0.055
68114,0.07
68116,0.055
68117,0.07
68118,0.07
68119,0.07
68122,0.055
68123,0.055
68124,0.07
68127,0.07
68128,0.075
68130,0.07
68131,0.07
68132,0.07
68133,0.055
68134,0.07
68135,0.07
68136,0.055
68137,0.07
68138,0.055
68139,0.07
68142,0.055
68144,0.07
68145,0.07
68147,0.07
68152,0.07
68154,0.07
68157,0.07
68164,0.07
68172,0.07
68175,0.07
68176,0.07
68178,0.07
68179,0.07
68180,0.07
68182,0.07
68183,0.07
68197,0.07
68198,0.07
68301,0.055
68303,0.055
68304,0.055
68305,0.065
68307,0.055
68309,0.055
68310,0.07
68313,0.055
68314,0.055
68315,0.055
68316,0.055
68317,0.055
68318,0.055
68319,0.055
68320,0.055
68321,0.065
68322,0.055
68323,0.055
68324,0.055
68325,0.055
68326,0.055
68327,0.065
68328,0.055
68329,0.055
68330,0.065
68331,0.055
68332,0.055
68333,0.075
68335,0.055
68336,0.055
68337,0.055
68338,0.055
68339,0.055
68340,0.055
68341,0.055
68342,0.055
68343,0.055
68344,0.07
68345,0.055
68346,0.055
68347,0.055
68348,0.055
68349,0.055
68350,0.055
68351,0.07
68352,0.075
68354,0.055
68355,0.07
68357,0.055
68358,0.055
68359,0.065
68360,0.055
68361,0.075
68362,0.0725
68364,0.055
68365,0.055
68366,0.055
68367,0.055
68368,0.055
68370,0.065
68371,0.07
68372,0.055
68375,0.055
68376,0.055
68377,0.055
68378,0.055
68379,0.055
68380,0.055
68381,0.055
68382,0.055
68401,0.055
68402,0.055
68403,0.055
68404,0.055
68405,0.065
68406,0.055
68407,0.055
68409,0.055
68410,0.075
68413,0.055
68414,0.055
68415,0.055
68416,0.055
68417,0.055
68418,0.055
68419,0.055
68420,0.075
68421,0.065
68422,0.055
68423,0.055
68424,0.055
68428,0.055
68429,0.055
68430,0.055
68431,0.055
68433,0.055
68434,0.07
68436,0.055
68437,0.055
68438,0.055
68439,0.055
68440,0.055
68441,0.055
68442,0.055
68443,0.065
68444,0.055
68445,0.055
68446,0.065
68447,0.055
68448,0.055
68450,0.07
68452,0.055
68453,0.055
68454,0.055
68455,0.055
68456,0.07
68457,0.055
68458,0.055
68460,0.055
68461,0.055
68462,0.065
68463,0.07
68464,0.055
68465,0.07
68466,0.07
68467,0.075
68501,0.0725
68502,0.0725
68503,0.0725
68504,0.0725
68505,0.0725
68506,0.0725
68507,0.0725
68508,0.0725
68509,0.0725
68510,0.0725
68512,0.0725
68514,0.055
68516,0.0725
68517,0.055
68520,0.055
68521,0.0725
68522,0.0725
68523,0.055
68524,0.0725
68526,0.0725
68527,0.055
68528,0.0725
68529,0.0725
68531,0.055
68532,0.055
68542,0.0725
68544,0.0725
68583,0.0725
68588,0.0725
68601,0.07
68602,0.055
68620,0.07
68621,0.055
68622,0.055
68623,0.055
68624,0.055
68626,0.055
68627,0.055
68628,0.055
68629,0.055
68631,0.055
68632,0.075
68633,0.055
68634,0.07
68635,0.055
68636,0.055
68637,0.055
68638,0.07
68640,0.055
68641,0.055
68642,0.055
68643,0.055
68644,0.055
68647,0.055
68648,0.055
68649,0.07
68651,0.055
68652,0.055
68653,0.055
68654,0.055
68655,0.055
68658,0.055
68659,0.055
68660,0.065
68661,0.07
68662,0.055
68663,0.055
68664,0.055
68665,0.055
68666,0.07
68667,0.055
68669,0.055
68701,0.075
68702,0.075
68710,0.055
68711,0.055
68713,0.07
68714,0.07
68715,0.07
68716,0.055
68717,0.055
68718,0.055
68719,0.055
68720,0.055
68722,0.055
68723,0.055
68724,0.055
68725,0.055
68726,0.07
68727,0.055
68728,0.055
68729,0.055
68730,0.055
68731,0.06
68732,0.055
68733,0.055
68734,0.055
68735,0.055
68736,0.055
68738,0.055
68739,0.055
68740,0.055
68741,0.06
68742,0.055
68743,0.06
68745,0.055
68746,0.055
68747,0.055
68748,0.07
68749,0.055
68751,0.055
68752,0.055
68753,0.055
68755,0.055
68756,0.065
68757,0.055
68758,0.055
68759,0.055
68760,0.065
68761,0.055
68763,0.07
68764,0.055
68765,0.055
68766,0.055
68767,0.065
68768,0.055
68769,0.07
68770,0.07
68771,0.055
68773,0.055
68774,0.055
68776,0.06
68777,0.055
68778,0.065
68779,0.07
68780,0.055
68781,0.055
68783,0.055
68784,0.055
68785,0.055
68786,0.065
68787,0.07
68788,0.07
68789,0.055
68790,0.055
68791,0.055
68792,0.055
68801,0.07
68802,0.07
68803,0.07
68810,0.055
68812,0.055
68813,0.055
68814,0.055
68815,0.055
68816,0.055
68817,0.055
68818,0.055
68820,0.055
68821,0.055
68822,0.07
68823,0.055
68824,0.055
68825,0.065
68826,0.07
68827,0.055
68828,0.055
68831,0.055
68832,0.055
68833,0.055
68834,0.055
68835,0.055
68836,0.055
68837,0.055
68838,0.055
68840,0.055
68841,0.055
68842,0.065
68843,0.055
68844,0.055
68845,0.07
68846,0.055
68847,0.07
68848,0.07
68849,0.07
68850,0.07
68852,0.055
68853,0.07
68854,0.055
68855,0.055
68856,0.055
68858,0.055
68859,0.055
68860,0.065
68861,0.055
68862,0.07
68863,0.055
68864,0.055
68865,0.055
68866,0.055
68869,0.055
68870,0.055
68871,0.055
68872,0.055
68873,0.065
68874,0.07
68875,0.055
68876,0.055
68878,0.055
68879,0.055
68881,0.055
68882,0.055
68883,0.055
68901,0.07
68902,0.07
68920,0.075
68922,0.065
68923,0.055
68924,0.055
68925,0.055
68926,0.065
68927,0.055
68928,0.055
68929,0.055
68930,0.055
68932,0.055
68933,0.065
68934,0.055
68935,0.055
68936,0.055
68937,0.055
68938,0.07
68939,0.065
68940,0.055
68941,0.055
68942,0.055
68943,0.055
68944,0.065
68945,0.055
68946,0.055
68947,0.055
68948,0.055
68949,0.07
68950,0.055
68952,0.055
68954,0.055
68955,0.055
68956,0.055
68957,0.055
68958,0.055
68959,0.075
68960,0.055
68961,0.065
68964,0.055
68966,0.055
68967,0.055
68969,0.055
68970,0.07
68971,0.055
68972,0.055
68973,0.055
68974,0.055
68975,0.055
68976,0.055
68977,0.055
68978,0.065
68979,0.07
68980,0.055
68981,0.055
68982,0.055
69001,0.07
69020,0.055
69021,0.07
69022,0.07
69023,0.055
69024,0.055
69025,0.065
69026,0.055
69027,0.055
69028,0.055
69029,0.055
69030,0.055
69032,0.055
69033,0.065
69034,0.055
69036,0.055
69037,0.055
69038,0.055
69039,0.055
69040,0.055
69041,0.055
69042,0.055
69043,0.055
69044,0.055
69045,0.055
69046,0.055
69101,0.07
69103,0.07
69120,0.065
69121,0.055
69122,0.055
69123,0.055
69125,0.055
69127,0.055
69128,0.055
69129,0.055
69130,0.07
69131,0.055
69132,0.055
69133,0.055
69134,0.055
69135,0.055
69138,0.07
69140,0.065
69141,0.055
69142,0.055
69143,0.055
69144,0.055
69145,0.07
69146,0.055
69147,0.055
69148,0.055
69149,0.055
69150,0.055
69151,0.055
69152,0.055
69153,0.07
69154,0.075
69155,0.055
69156,0.055
69157,0.055
69160,0.075
69161,0.055
69162,0.075
69163,0.055
69165,0.055
69166,0.055
69167,0.055
69168,0.055
69169,0.055
69170,0.055
69171,0.055
69201,0.07
69210,0.07
69211,0.055
69212,0.055
69214,0.055
69216,0.055
69217,0.055
69218,0.055
69219,0.055
69220,0.055
69221,0.07
69301,0.07
69331,0.055
69333,0.055
69334,0.055
69335,0.055
69336,0.055
69337,0.075
69339,0.07
69340,0.055
69341,0.07
69343,0.055
69345,0.055
