ZipCode,EstimatedCombinedRate
88901,0.0825
89001,0.071
89002,0.0825
89003,0.076
89004,0.0825
89005,0.0825
89006,0.0825
89007,0.0825
89008,0.071
89009,0.0825
89010,0.0685
89011,0.0825
89012,0.0825
89013,0.0685
89014,0.0825
89015,0.0825
89016,0.0825
89017,0.071
89018,0.0825
89019,0.0825
89020,0.076
89021,0.0825
89022,0.076
89023,0.076
89024,0.0825
89025,0.0825
89026,0.0825
89027,0.0825
89028,0.0825
89029,0.0825
89030,0.0825
89031,0.0825
89032,0.0825
89033,0.0825
89034,0.0825
89036,0.0825
89037,0.0825
89039,0.0825
89040,0.0825
89041,0.076
89042,0.071
89043,0.071
89044,0.0825
89045,0.076
89046,0.0825
89047,0.0685
89048,0.076
89049,0.076
89052,0.0825
89053,0.0825
89054,0.0825
89060,0.076
89061,0.076
89067,0.0825
89070,0.0825
89074,0.0825
89077,0.0825
89081,0.0825
89084,0.0825
89085,0.0825
89086,0.0825
89087,0.0825
89101,0.0825
89102,0.0825
89103,0.0825
89104,0.0825
89105,0.0825
89106,0.0825
89107,0.0825
89108,0.0825
89109,0.0825
89110,0.0825
89111,0.0825
89112,0.0825
89113,0.0825
89114,0.0825
89115,0.0825
89116,0.0825
89117,0.0825
89118,0.0825
89119,0.0825
89120,0.0825
89121,0.0825
89122,0.0825
89123,0.0825
89124,0.0825
89125,0.0825
89126,0.0825
89127,0.0825
89128,0.0825
89129,0.0825
89130,0.0825
89131,0.0825
89132,0.0825
89133,0.0825
89134,0.0825
89135,0.0825
89136,0.0825
89137,0.0825
89138,0.0825
89139,0.0825
89140,0.0825
89141,0.0825
89142,0.0825
89143,0.0825
89144,0.0825
89145,0.0825
89146,0.0825
89147,0.0825
89148,0.0825
89149,0.0825
89150,0.0825
89151,0.0825
89152,0.0825
89153,0.0825
89154,0.0825
89155,0.0825
89156,0.0825
89157,0.0825
89158,0.0825
89159,0.0825
89160,0.0825
89161,0.0825
89162,0.0825
89163,0.0825
89164,0.0825
89165,0.0825
89166,0.0825
89169,0.0825
89170,0.0825
89173,0.0825
89177,0.0825
89178,0.0825
89179,0.0825
89180,0.0825
89183,0.0825
89185,0.0825
89191,0.0825
89193,0.0825
89195,0.0825
89199,0.0825
89301,0.07725
89310,0.071
89311,0.07725
89314,0.076
89315,0.07725
89316,0.0685
89317,0.07725
89318,0.07725
89319,0.07725
89402,0.08265
89403,0.071
89404,0.0685
89406,0.076
89407,0.076
89408,0.071
89409,0.076
89410,0.071
89411,0.071
89412,0.08265
89413,0.071
89414,0.0685
89415,0.0685
89418,0.071
89419,0.071
89420,0.0685
89422,0.0685
89423,0.071
89424,0.08265
89425,0.0685
89426,0.0685
89427,0.0685
89428,0.071
89429,0.071
89430,0.071
89431,0.08265
89432,0.08265
89433,0.08265
89434,0.08265
89435,0.08265
89436,0.08265
89438,0.0685
89439,0.08265
89440,0.076
89441,0.08265
89442,0.08265
89444,0.071
89445,0.0685
89446,0.0685
89447,0.071
89448,0.071
89449,0.071
89450,0.08265
89451,0.08265
89452,0.08265
89460,0.071
89496,0.076
89501,0.08265
89502,0.08265
89503,0.08265
89504,0.08265
89505,0.08265
89506,0.08265
89507,0.08265
89508,0.08265
89509,0.08265
89510,0.08265
89511,0.08265
89512,0.08265
89513,0.08265
89515,0.08265
89519,0.08265
89520,0.08265
89521,0.08265
89523,0.08265
89533,0.08265
89555,0.08265
89557,0.08265
89570,0.08265
89595,0.08265
89599,0.08265
89701,0.076
89702,0.076
89703,0.076
89704,0.08265
89705,0.071
89706,0.076
89711,0.076
89712,0.076
89713,0.076
89714,0.076
89721,0.076
89801,0.071
89802,0.071
89803,0.071
89815,0.071
89820,0.071
89821,0.0685
89822,0.071
89823,0.071
89825,0.071
89826,0.071
89828,0.071
89830,0.071
89831,0.071
89832,0.071
89834,0.071
89835,0.071
89883,0.071
