ZipCode,EstimatedCombinedRate
03031,0
03032,0
03033,0
03034,0
03036,0
03037,0
03038,0
03040,0
03041,0
03042,0
03043,0
03044,0
03045,0
03046,0
03047,0
03048,0
03049,0
03051,0
03052,0
03053,0
03054,0
03055,0
03057,0
03060,0
03061,0
03062,0
03063,0
03064,0
03070,0
03071,0
03073,0
03076,0
03077,0
03079,0
03082,0
03084,0
03086,0
03087,0
03101,0
03102,0
03103,0
03104,0
03105,0
03106,0
03107,0
03108,0
03109,0
03110,0
03111,0
03215,0
03216,0
03217,0
03218,0
03220,0
03221,0
03222,0
03223,0
03224,0
03225,0
03226,0
03227,0
03229,0
03230,0
03231,0
03233,0
03234,0
03235,0
03237,0
03238,0
03240,0
03241,0
03242,0
03243,0
03244,0
03245,0
03246,0
03247,0
03249,0
03251,0
03252,0
03253,0
03254,0
03255,0
03256,0
03257,0
03258,0
03259,0
03260,0
03261,0
03262,0
03263,0
03264,0
03266,0
03268,0
03269,0
03272,0
03273,0
03274,0
03275,0
03276,0
03278,0
03279,0
03280,0
03281,0
03282,0
03284,0
03285,0
03287,0
03289,0
03290,0
03291,0
03293,0
03298,0
03299,0
03301,0
03302,0
03303,0
03304,0
03305,0
03307,0
03431,0
03435,0
03440,0
03441,0
03442,0
03443,0
03444,0
03445,0
03446,0
03447,0
03448,0
03449,0
03450,0
03451,0
03452,0
03455,0
03456,0
03457,0
03458,0
03461,0
03462,0
03464,0
03465,0
03466,0
03467,0
03468,0
03469,0
03470,0
03561,0
03570,0
03574,0
03575,0
03576,0
03579,0
03580,0
03581,0
03582,0
03583,0
03584,0
03585,0
03586,0
03588,0
03589,0
03590,0
03592,0
03593,0
03595,0
03597,0
03598,0
03601,0
03602,0
03603,0
03604,0
03605,0
03607,0
03608,0
03609,0
03740,0
03741,0
03743,0
03745,0
03746,0
03748,0
03749,0
03750,0
03751,0
03752,0
03753,0
03754,0
03755,0
03756,0
03765,0
03766,0
03768,0
03769,0
03770,0
03771,0
03773,0
03774,0
03777,0
03779,0
03780,0
03781,0
03782,0
03784,0
03785,0
03801,0
03802,0
03803,0
03804,0
03805,0
03809,0
03810,0
03811,0
03812,0
03813,0
03814,0
03815,0
03816,0
03817,0
03818,0
03819,0
03820,0
03821,0
03822,0
03823,0
03824,0
03825,0
03826,0
03827,0
03830,0
03832,0
03833,0
03835,0
03836,0
03837,0
03838,0
03839,0
03840,0
03841,0
03842,0
03843,0
03844,0
03845,0
03846,0
03847,0
03848,0
03849,0
03850,0
03851,0
03852,0
03853,0
03854,0
03855,0
03856,0
03857,0
03858,0
03859,0
03860,0
03861,0
03862,0
03864,0
03865,0
03866,0
03867,0
03868,0
03869,0
03870,0
03871,0
03872,0
03873,0
03874,0
03875,0
03878,0
03882,0
03883,0
03884,0
03885,0
03886,0
03887,0
03890,0
03894,0
03896,0
03897,0
