ZipCode,EstimatedCombinedRate
87001,0.0625
87002,0.083125
87004,0.070625
87005,0.068125
87006,0.06375
87007,0.068125
87008,0.064375
87009,0.081875
87010,0.07125
87011,0.06375
87012,0.06875
87013,0.081875
87014,0.068125
87015,0.081875
87016,0.0675
87017,0.06875
87018,0.065625
87020,0.08125
87021,0.08125
87022,0.064375
87023,0.06875
87024,0.0625
87025,0.0625
87026,0.06875
87027,0.0625
87028,0.06375
87029,0.06875
87031,0.06875
87032,0.0675
87034,0.068125
87035,0.0675
87036,0.079375
87037,0.065625
87038,0.068125
87040,0.068125
87041,0.0625
87042,0.079375
87043,0.0625
87044,0.0625
87045,0.0675
87046,0.0625
87047,0.064375
87048,0.075625
87049,0.068125
87051,0.068125
87052,0.0625
87053,0.0625
87056,0.07125
87059,0.064375
87060,0.06875
87061,0.0675
87062,0.06375
87063,0.081875
87064,0.06875
87068,0.081875
87070,0.076875
87072,0.0625
87083,0.0625
87101,0.075
87102,0.075
87103,0.075
87104,0.075
87105,0.064375
87106,0.075
87107,0.075
87108,0.075
87109,0.075
87110,0.075
87111,0.075
87112,0.075
87113,0.075
87114,0.075
87115,0.064375
87116,0.064375
87117,0.064375
87119,0.075
87120,0.075
87121,0.075
87122,0.064375
87123,0.075
87124,0.074375
87125,0.075
87131,0.075
87144,0.074375
87151,0.075
87153,0.075
87154,0.075
87158,0.075
87174,0.074375
87176,0.075
87181,0.075
87184,0.064375
87185,0.064375
87187,0.075
87190,0.075
87191,0.075
87192,0.075
87193,0.075
87194,0.075
87195,0.064375
87196,0.075
87197,0.075
87198,0.075
87199,0.075
87301,0.083125
87302,0.083125
87305,0.083125
87310,0.083125
87311,0.083125
87312,0.083125
87313,0.083125
87315,0.068125
87316,0.083125
87317,0.083125
87319,0.083125
87320,0.0675
87321,0.0675
87322,0.083125
87323,0.068125
87325,0.083125
87326,0.083125
87327,0.083125
87328,0.0675
87347,0.083125
87357,0.0675
87364,0.083125
87365,0.083125
87375,0.083125
87401,0.07625
87402,0.07625
87410,0.08
87412,0.065625
87413,0.081875
87415,0.065625
87416,0.065625
87417,0.06875
87418,0.065625
87419,0.065625
87420,0.083125
87421,0.065625
87455,0.065625
87461,0.065625
87499,0.07625
87501,0.084375
87502,0.084375
87503,0.084375
87504,0.084375
87505,0.084375
87506,0.07125
87507,0.084375
87508,0.07125
87509,0.084375
87510,0.06875
87511,0.06875
87512,0.073125
87513,0.073125
87514,0.073125
87515,0.06875
87516,0.06875
87517,0.073125
87518,0.06875
87519,0.073125
87520,0.085625
87521,0.073125
87522,0.06875
87523,0.06875
87524,0.073125
87525,0.085
87527,0.06875
87528,0.06875
87529,0.073125
87530,0.06875
87531,0.06875
87532,0.089375
87533,0.089375
87535,0.07125
87537,0.06875
87538,0.068333
87539,0.06875
87540,0.07125
87543,0.073125
87544,0.073125
87545,0.073125
87547,0.073125
87548,0.06875
87549,0.073125
87551,0.06875
87552,0.068333
87553,0.073125
87554,0.06875
87556,0.08375
87557,0.075625
87558,0.08625
87560,0.068333
87562,0.068333
87564,0.073125
87565,0.068333
87566,0.06875
87567,0.090625
87569,0.068333
87571,0.085
87573,0.068333
87574,0.07125
87575,0.06875
87576,0.073125
87577,0.073125
87578,0.06875
87579,0.073125
87580,0.085
87581,0.06875
87582,0.06875
87583,0.068333
87592,0.084375
87594,0.084375
87654,0.069375
87701,0.083958
87710,0.077708
87711,0.064375
87712,0.066875
87713,0.066875
87714,0.077708
87715,0.066875
87718,0.075208
87722,0.066875
87723,0.066875
87724,0.064375
87728,0.060833
87729,0.060833
87730,0.06125
87731,0.068333
87732,0.066875
87733,0.06125
87734,0.066875
87735,0.066875
87736,0.066875
87740,0.085208
87742,0.068333
87743,0.06125
87745,0.068333
87746,0.06125
87747,0.060833
87749,0.060833
87752,0.076875
87753,0.066875
87801,0.074375
87820,0.056875
87821,0.056875
87823,0.06375
87824,0.056875
87825,0.073125
87827,0.074375
87828,0.06375
87829,0.056875
87830,0.056875
87831,0.06375
87832,0.06375
87901,0.085
87930,0.069375
87931,0.069375
87933,0.085
87935,0.081875
87936,0.085
87937,0.085
87939,0.069375
87940,0.085
87941,0.085
87942,0.081875
87943,0.069375
88001,0.083125
88002,0.0675
88003,0.0675
88004,0.083125
88005,0.083125
88006,0.083125
88007,0.0675
88008,0.0675
88009,0.0775
88011,0.083125
88012,0.083125
88013,0.083125
88020,0.061875
88021,0.0675
88022,0.065625
88023,0.07625
88024,0.0675
88025,0.065625
88026,0.07625
88027,0.0675
88028,0.065625
88029,0.079375
88030,0.06875
88031,0.0825
88032,0.0675
88033,0.0675
88034,0.065625
88036,0.08
88038,0.065625
88039,0.056875
88040,0.065625
88041,0.065625
88042,0.069375
88043,0.07625
88044,0.0675
88045,0.0775
88046,0.081875
88047,0.0675
88048,0.0675
88049,0.065625
88051,0.065625
88052,0.0675
88053,0.08
88054,0.0675
88055,0.0775
88056,0.061875
88058,0.0675
88061,0.08
88062,0.08
88063,0.084375
88065,0.065625
88072,0.0675
88081,0.0675
88101,0.081875
88102,0.081875
88103,0.06125
88112,0.06125
88113,0.07125
88114,0.055
88115,0.07375
88116,0.06625
88118,0.06625
88119,0.066875
88120,0.069375
88121,0.066875
88122,0.08
88123,0.06625
88124,0.0775
88125,0.06625
88126,0.06625
88130,0.081875
88132,0.06625
88133,0.06125
88134,0.066875
88135,0.06125
88136,0.066875
88201,0.078333
88202,0.078333
88203,0.078333
88210,0.078958
88211,0.078958
88213,0.055
88220,0.076458
88221,0.076458
88230,0.065208
88231,0.073125
88232,0.075833
88240,0.068125
88241,0.055
