ZipCode,EstimatedCombinedRate
27006,0.0675
27007,0.07
27009,0.0675
27010,0.0675
27011,0.0675
27012,0.0675
27013,0.07
27014,0.0675
27016,0.0675
27017,0.07
27018,0.0675
27019,0.0675
27020,0.0675
27021,0.0675
27022,0.0675
27023,0.0675
27024,0.07
27025,0.0675
27027,0.0675
27028,0.0675
27030,0.07
27031,0.07
27040,0.0675
27041,0.07
27042,0.0675
27043,0.0675
27045,0.0675
27046,0.0675
27047,0.07
27048,0.0675
27049,0.07
27050,0.0675
27051,0.0675
27052,0.0675
27053,0.0675
27054,0.07
27055,0.0675
27094,0.0675
27098,0.0675
27099,0.0675
27101,0.0675
27102,0.0675
27103,0.0675
27104,0.0675
27105,0.0675
27106,0.0675
27107,0.0675
27108,0.0675
27109,0.0675
27110,0.0675
27111,0.0675
27113,0.0675
27114,0.0675
27115,0.0675
27116,0.0675
27117,0.0675
27120,0.0675
27127,0.0675
27130,0.0675
27150,0.0675
27152,0.0675
27155,0.0675
27157,0.0675
27198,0.0675
27199,0.0675
27201,0.0675
27202,0.0675
27203,0.07
27204,0.07
27205,0.07
27207,0.0675
27208,0.0675
27209,0.07
27212,0.0675
27213,0.0675
27214,0.0675
27215,0.0675
27216,0.0675
27217,0.0675
27228,0.0675
27229,0.07
27230,0.07
27231,0.075
27233,0.07
27235,0.0675
27237,0.07
27239,0.07
27242,0.0675
27243,0.075
27244,0.0675
27247,0.07
27248,0.07
27249,0.0675
27252,0.0675
27253,0.0675
27256,0.0675
27258,0.0675
27259,0.0675
27260,0.0675
27261,0.0675
27262,0.0675
27263,0.07
27264,0.07
27265,0.0675
27268,0.0675
27278,0.075
27281,0.0675
27282,0.0675
27283,0.0675
27284,0.0675
27285,0.0675
27288,0.0675
27289,0.0675
27291,0.0675
27292,0.07
27293,0.07
27294,0.07
27295,0.07
27298,0.07
27299,0.07
27301,0.0675
27302,0.0675
27305,0.0675
27306,0.07
27310,0.0675
27311,0.0675
27312,0.0675
27313,0.0675
27314,0.0675
27315,0.0675
27316,0.07
27317,0.07
27320,0.0675
27323,0.0675
27325,0.0675
27326,0.0675
27330,0.07
27331,0.07
27332,0.07
27340,0.0675
27341,0.07
27342,0.0675
27343,0.0675
27344,0.0675
27349,0.0675
27350,0.07
27351,0.07
27355,0.07
27356,0.07
27357,0.0675
27358,0.0675
27359,0.0675
27360,0.07
27361,0.07
27370,0.07
27371,0.07
27373,0.07
27374,0.07
27375,0.0675
27376,0.0675
27377,0.0675
27379,0.0675
27401,0.0675
27402,0.0675
27403,0.0675
27404,0.0675
27405,0.0675
27406,0.0675
27407,0.0675
27408,0.0675
27409,0.0675
27410,0.0675
27411,0.0675
27412,0.0675
27413,0.0675
27415,0.0675
27416,0.0675
27417,0.0675
27419,0.0675
27420,0.0675
27425,0.0675
27427,0.0675
27429,0.0675
27435,0.0675
27438,0.0675
27455,0.0675
27495,0.0675
27497,0.0675
27498,0.0675
27499,0.0675
27501,0.07
27502,0.0725
27503,0.075
27504,0.0675
27505,0.07
27506,0.07
27507,0.0675
27508,0.0675
27509,0.0675
27510,0.075
27511,0.0725
27512,0.0725
27513,0.0725
27514,0.075
27515,0.075
27516,0.075
27517,0.0675
27518,0.0725
27519,0.0725
27520,0.0675
27521,0.07
27522,0.0675
27523,0.0725
27524,0.0675
27525,0.0675
27526,0.0725
27527,0.0675
27528,0.0675
27529,0.0725
27530,0.0675
27531,0.0675
27532,0.0675
27533,0.0675
27534,0.0675
27536,0.0675
27537,0.0675
27539,0.0725
27540,0.0725
27541,0.0675
27542,0.0675
27543,0.07
27544,0.0675
27545,0.0725
27546,0.07
27549,0.0675
27551,0.0675
27552,0.07
27553,0.0675
27555,0.0675
27556,0.0675
27557,0.0675
27559,0.0675
27560,0.0725
27562,0.0725
27563,0.0675
27565,0.0675
27568,0.0675
27569,0.0675
27570,0.0675
27571,0.0725
27572,0.075
27573,0.0675
27574,0.0675
27576,0.0675
27577,0.0675
27581,0.0675
27582,0.0675
27583,0.0675
27584,0.0675
27586,0.0675
27587,0.0725
27588,0.0725
27589,0.0675
27591,0.0725
27592,0.0725
27593,0.0675
27594,0.0675
27596,0.0675
27597,0.0725
27599,0.075
27601,0.0725
27602,0.0725
27603,0.0725
27604,0.0725
27605,0.0725
27606,0.0725
27607,0.0725
27608,0.0725
27609,0.0725
27610,0.0725
27611,0.0725
27612,0.0725
27613,0.0725
27614,0.0725
27615,0.0725
27616,0.0725
27617,0.0725
27619,0.0725
27620,0.0725
27621,0.0725
27622,0.0725
27623,0.0725
27624,0.0725
27625,0.0725
27626,0.0725
27627,0.0725
27628,0.0725
27629,0.0725
27634,0.0725
27635,0.0725
27636,0.0725
27640,0.0725
27650,0.0725
27656,0.0725
27658,0.0725
27661,0.0725
27668,0.0725
27675,0.0725
27676,0.0725
27690,0.0725
27695,0.0725
27697,0.0725
27698,0.0725
27699,0.0725
27701,0.075
27702,0.075
27703,0.075
27704,0.075
27705,0.075
27706,0.075
27707,0.075
27708,0.075
27709,0.075
27710,0.075
27711,0.075
27712,0.075
27713,0.075
27715,0.075
27717,0.075
27722,0.075
27801,0.07
27802,0.07
27803,0.0675
27804,0.0675
27805,0.0675
27806,0.0675
27807,0.0675
27808,0.0675
27809,0.0675
27810,0.0675
27811,0.07
27812,0.07
27813,0.0675
27814,0.0675
27815,0.07
27816,0.0675
27817,0.0675
27818,0.07
27819,0.07
27820,0.0675
27821,0.0675
27822,0.0675
27823,0.07
27824,0.0675
27825,0.07
27826,0.0675
27827,0.07
27828,0.07
27829,0.07
27830,0.0675
27831,0.0675
27832,0.0675
27833,0.07
27834,0.07
27835,0.07
27836,0.07
27837,0.07
27839,0.07
27840,0.07
27841,0.07
27842,0.0675
27843,0.07
27844,0.07
27845,0.0675
27846,0.07
27847,0.0675
27849,0.0675
27850,0.07
27851,0.0675
27852,0.07
27853,0.0675
27855,0.07
27856,0.0675
27857,0.07
27858,0.07
27860,0.0675
27861,0.07
27862,0.0675
27863,0.0675
27864,0.07
27865,0.0675
27866,0.0675
27867,0.0675
27868,0.0675
27869,0.0675
27870,0.07
27871,0.07
27872,0.0675
27873,0.0675
27874,0.07
27875,0.0675
27876,0.0675
27877,0.0675
27878,0.0675
27879,0.07
27880,0.0675
27881,0.07
27882,0.0675
27883,0.0675
27884,0.07
27885,0.0675
27886,0.07
27887,0.07
27888,0.07
27889,0.0675
27890,0.07
27891,0.0675
27892,0.07
27893,0.0675
27894,0.0675
27895,0.0675
27896,0.0675
27897,0.0675
27906,0.0675
27907,0.0675
27909,0.0675
27910,0.07
27915,0.0675
27916,0.0675
27917,0.0675
27919,0.0675
27920,0.0675
27921,0.0675
27922,0.07
27923,0.0675
27924,0.0675
27925,0.0675
27926,0.0675
27927,0.0675
27928,0.0675
27929,0.0675
27932,0.0675
27935,0.0675
27936,0.0675
27937,0.0675
27938,0.0675
27939,0.0675
27941,0.0675
27942,0.07
27943,0.0675
27944,0.0675
27946,0.0675
27947,0.0675
27948,0.0675
27949,0.0675
27950,0.0675
27953,0.0675
27954,0.0675
27956,0.0675
27957,0.0675
27958,0.0675
