ZipCode,EstimatedCombinedRate
58001,0.05
58002,0.055
58004,0.055
58005,0.055
58006,0.055
58007,0.055
58008,0.05
58009,0.05
58011,0.055
58012,0.075
58013,0.05
58015,0.05
58016,0.05
58017,0.05
58018,0.05
58021,0.055
58027,0.07
58029,0.055
58030,0.05
58031,0.05
58032,0.065
58033,0.05
58035,0.05
58036,0.055
58038,0.055
58040,0.07
58041,0.07
58042,0.055
58043,0.05
58045,0.07
58046,0.08
58047,0.075
58048,0.055
58049,0.05
58051,0.075
58052,0.055
58053,0.05
58054,0.07
58056,0.05
58057,0.05
58058,0.05
58059,0.055
58060,0.05
58061,0.05
58062,0.05
58063,0.05
58064,0.055
58065,0.05
58067,0.05
58068,0.05
58069,0.05
58071,0.075
58072,0.075
58074,0.07
58075,0.07
58076,0.07
58077,0.05
58078,0.075
58079,0.055
58081,0.05
58102,0.075
58103,0.075
58104,0.075
58105,0.075
58106,0.075
58107,0.075
58108,0.075
58109,0.075
58121,0.075
58122,0.075
58124,0.075
58125,0.075
58126,0.075
58201,0.0675
58202,0.0675
58203,0.0675
58204,0.05
58205,0.05
58206,0.0675
58207,0.0675
58208,0.0675
58210,0.0525
58212,0.05
58214,0.05
58216,0.05
58218,0.05
58219,0.05
58220,0.07
58222,0.05
58223,0.05
58224,0.05
58225,0.065
58227,0.05
58228,0.05
58229,0.0525
58230,0.08
58231,0.0525
58233,0.0525
58235,0.05
58236,0.05
58237,0.0775
58238,0.05
58239,0.05
58240,0.07
58241,0.05
58243,0.0525
58244,0.05
58249,0.07
58250,0.0525
58251,0.05
58254,0.05
58255,0.05
58256,0.05
58257,0.07
58258,0.05
58259,0.05
58260,0.05
58261,0.0525
58262,0.05
58265,0.07
58266,0.05
58267,0.05
58269,0.05
58270,0.0725
58271,0.075
58272,0.05
58273,0.0525
58274,0.07
58275,0.05
58276,0.05
58277,0.06
58278,0.05
58281,0.05
58282,0.07
58301,0.07
58310,0.05
58311,0.05
58313,0.05
58316,0.05
58317,0.05
58318,0.07
58321,0.05
58323,0.05
58324,0.07
58325,0.05
58327,0.05
58329,0.05
58330,0.05
58331,0.05
58332,0.05
58335,0.07
58338,0.05
58339,0.05
58341,0.07
58343,0.05
58344,0.06
58345,0.05
58346,0.05
58348,0.05
58351,0.05
58352,0.05
58353,0.05
58355,0.05
58356,0.07
58357,0.05
58361,0.05
58362,0.05
58363,0.05
58365,0.05
58366,0.07
58367,0.07
58368,0.07
58369,0.06
58370,0.05
58372,0.05
58374,0.05
58377,0.05
58379,0.07
58380,0.05
58381,0.05
58382,0.05
58384,0.05
58385,0.05
58386,0.05
58401,0.07
58402,0.07
58405,0.07
58413,0.06
58415,0.05
58416,0.05
58418,0.05
58420,0.05
58421,0.07
58422,0.05
58423,0.05
58424,0.05
58425,0.065
58426,0.05
58428,0.05
58429,0.05
58430,0.05
58431,0.05
58433,0.05
58436,0.07
58438,0.05
58439,0.05
58440,0.05
58441,0.05
58442,0.05
58443,0.05
58444,0.05
58445,0.05
58448,0.05
58451,0.05
58452,0.05
58454,0.05
58455,0.05
58456,0.05
58458,0.07
58460,0.05
58461,0.05
58463,0.05
58464,0.05
58466,0.05
58467,0.05
58472,0.05
58474,0.07
58475,0.05
58476,0.05
58477,0.055
58478,0.05
58479,0.05
58480,0.05
58481,0.05
58482,0.07
58483,0.05
58484,0.05
58486,0.05
58487,0.05
58488,0.05
58490,0.05
58492,0.05
58494,0.055
58495,0.065
58496,0.05
58497,0.05
58501,0.065
58502,0.065
58503,0.065
58504,0.065
58505,0.065
58506,0.065
58507,0.065
58520,0.055
58521,0.055
58523,0.07
58524,0.05
58528,0.05
58529,0.05
58530,0.05
58531,0.05
58532,0.055
58533,0.06
58535,0.055
58538,0.05
58540,0.05
58541,0.05
58542,0.05
58544,0.05
58545,0.065
58549,0.05
58552,0.07
