ZipCode,EstimatedCombinedRate
43001,0.0725
43002,0.075
43003,0.07
43004,0.075
43005,0.0725
43006,0.07
43007,0.07
43008,0.0725
43009,0.0725
43010,0.0725
43011,0.0725
43013,0.0725
43014,0.0725
43015,0.07
43016,0.075
43017,0.075
43018,0.0725
43019,0.0725
43021,0.07
43022,0.0725
43023,0.0725
43025,0.0725
43026,0.075
43027,0.0725
43028,0.0725
43029,0.07
43030,0.0725
43031,0.0725
43033,0.0725
43035,0.07
43036,0.07
43037,0.0725
43040,0.07
43041,0.07
43044,0.0725
43045,0.07
43046,0.0675
43047,0.0725
43048,0.0725
43050,0.0725
43054,0.075
43055,0.0725
43056,0.0725
43058,0.0725
43060,0.0725
43061,0.07
43062,0.0725
43064,0.07
43065,0.07
43066,0.07
43067,0.07
43068,0.075
43069,0.0725
43070,0.0725
43071,0.0725
43072,0.0725
43073,0.0725
43074,0.07
43076,0.0725
43077,0.07
43078,0.0725
43080,0.0725
43081,0.075
43082,0.07
43083,0.0725
43084,0.0725
43085,0.075
43086,0.075
43093,0.0725
43101,0.0725
43102,0.0675
43103,0.0725
43105,0.0675
43106,0.0725
43107,0.0675
43109,0.075
43110,0.075
43111,0.0725
43112,0.0675
43113,0.0725
43115,0.0725
43116,0.0725
43117,0.0725
43119,0.075
43123,0.075
43125,0.075
43126,0.075
43127,0.0725
43128,0.0725
43130,0.0675
43135,0.0725
43136,0.0675
43137,0.075
43138,0.0725
43140,0.07
43142,0.0725
43143,0.07
43144,0.0725
43145,0.0725
43146,0.0725
43147,0.0675
43148,0.0675
43149,0.0725
43150,0.0675
43151,0.07
43152,0.0725
43153,0.07
43154,0.0675
43155,0.0675
43156,0.0725
43157,0.0675
43158,0.0725
43160,0.0725
43162,0.07
43164,0.0725
43194,0.075
43195,0.075
43201,0.075
43202,0.075
43203,0.075
43204,0.075
43205,0.075
43206,0.075
43207,0.075
43209,0.075
43210,0.075
43211,0.075
43212,0.075
43213,0.075
43214,0.075
43215,0.075
43216,0.075
43217,0.075
43218,0.075
43219,0.075
43220,0.075
43221,0.075
43222,0.075
43223,0.075
