ZipCode,EstimatedCombinedRate
73001,0.06
73002,0.0525
73003,0.0825
73004,0.0925
73005,0.095
73006,0.095
73007,0.0825
73008,0.085
73009,0.1
73010,0.09
73011,0.0525
73012,0.08625
73013,0.08625
73014,0.0485
73015,0.1
73016,0.0975
73017,0.0525
73018,0.09
73019,0.0875
73020,0.0875
73021,0.065
73022,0.0885
73023,0.09
73024,0.085
73025,0.0525
73026,0.0875
73027,0.05313
73028,0.0525
73029,0.06
73030,0.095
73031,0.1
73032,0.085
73033,0.09
73034,0.0825
73036,0.0885
73038,0.1
73039,0.095
73040,0.08875
73041,0.09
73042,0.1
73043,0.08375
73044,0.0525
73045,0.085
73047,0.09
73048,0.1
73049,0.08625
73050,0.0925
73051,0.0475
73052,0.0925
73053,0.06
73054,0.045
73055,0.087
73056,0.0925
73057,0.0525
73058,0.0525
73059,0.0925
73061,0.06
73062,0.09
73063,0.0825
73064,0.0885
73065,0.09
73066,0.095
73067,0.0825
73068,0.0875
73069,0.0875
73070,0.0875
73071,0.0875
73072,0.0875
73073,0.0525
73074,0.0825
73075,0.0975
73077,0.0925
73078,0.0985
73079,0.0675
73080,0.1
73082,0.0525
73083,0.0825
73084,0.08625
73085,0.0885
73086,0.065
73089,0.0925
73090,0.0885
73092,0.0525
73093,0.085
73095,0.05
73096,0.09
73097,0.08625
73098,0.0925
73099,0.08975
73101,0.08625
73102,0.08625
73103,0.08625
73104,0.08625
73105,0.08625
73106,0.08625
73107,0.08625
73108,0.08625
73109,0.08625
73110,0.091
73111,0.08625
73112,0.08625
73113,0.08625
73114,0.08625
73115,0.085
73116,0.08625
73117,0.08625
73118,0.08625
73119,0.08625
73120,0.08625
73121,0.08625
73122,0.085
73123,0.085
73124,0.08625
73125,0.08625
73126,0.08625
73127,0.08625
73128,0.08625
73129,0.08625
73130,0.091
73131,0.08625
73132,0.08625
73134,0.08625
73135,0.08625
73136,0.08625
73137,0.08625
73139,0.08625
73140,0.091
73141,0.091
73142,0.08625
73143,0.08625
73144,0.08625
73145,0.08625
73146,0.08625
73147,0.08625
73148,0.08625
73149,0.08625
73150,0.08625
73151,0.08625
73152,0.08625
73153,0.08875
73154,0.08625
73155,0.08625
73156,0.085
73157,0.08625
73159,0.08625
73160,0.085
73162,0.08625
73163,0.08625
73164,0.08625
73165,0.08875
73167,0.08625
73169,0.08625
73170,0.08875
73172,0.08625
73173,0.08875
73178,0.08625
73179,0.08625
73184,0.08625
73189,0.08875
73190,0.08625
73194,0.08625
73195,0.08625
73196,0.08625
73401,0.09
73402,0.09
73403,0.09
73425,0.052
73430,0.07
73432,0.06
73433,0.0925
73434,0.0925
73435,0.0525
73436,0.0825
73437,0.0525
73438,0.0925
73439,0.065
73440,0.065
73441,0.07
73442,0.082
73443,0.0925
73444,0.0525
73446,0.095
73447,0.06
73448,0.1
73449,0.05
73450,0.06
73453,0.07
73455,0.09
73456,0.065
73458,0.0525
73459,0.07
73460,0.09
73461,0.075
73463,0.0525
73481,0.0525
73487,0.1025
73488,0.0525
73491,0.09
73501,0.09
73502,0.09
73503,0.04875
73505,0.09
73506,0.09
73507,0.09
73520,0.09
73521,0.0875
73522,0.0875
73523,0.0875
73526,0.05
73527,0.04875
73528,0.07875
73529,0.092
73530,0.065
73531,0.065
73532,0.05
73533,0.087
73534,0.087
73537,0.07
73538,0.04875
73539,0.05
73540,0.04875
73541,0.04875
73542,0.1
73543,0.04875
73544,0.065
73546,0.095
73547,0.095
73548,0.095
73549,0.05
73550,0.095
73551,0.095
73552,0.04875
73553,0.065
73554,0.095
73555,0.09
73556,0.05
73557,0.09
73558,0.04875
73559,0.08
73560,0.05
73561,0.065
73562,0.065
73564,0.08
73565,0.095
73566,0.09
73567,0.09
73568,0.095
73569,0.095
73570,0.065
73571,0.065
73572,0.095
73573,0.095
73601,0.095
73620,0.08
73622,0.085
73624,0.095
73625,0.05
73626,0.105
73627,0.0475
73628,0.09
73632,0.095
73638,0.06
73639,0.09
73641,0.095
73642,0.06
73644,0.0925
73645,0.0975
73646,0.0625
73647,0.105
73648,0.0925
73650,0.09
73651,0.09
73654,0.0925
73655,0.08
73658,0.0625
73659,0.0625
73660,0.08
73661,0.095
73662,0.0875
73663,0.1025
73664,0.095
73666,0.06
73667,0.0925
73668,0.0475
73669,0.09
73673,0.065
73701,0.091
73702,0.091
73703,0.091
73705,0.091
73716,0.095
73717,0.0925
73718,0.0925
73719,0.065
73720,0.0485
73722,0.075
73724,0.08375
73726,0.095
73727,0.0485
73728,0.0975
73729,0.0925
73730,0.0485
73731,0.05
73733,0.0485
73734,0.0975
73735,0.0485
73736,0.0485
73737,0.1025
73738,0.0485
73739,0.095
73741,0.065
73742,0.0925
73743,0.0585
73744,0.08375
73746,0.05
73747,0.1025
73749,0.095
73750,0.09085
73753,0.0485
73754,0.0885
73755,0.08375
73756,0.0775
73757,0.06
73758,0.0575
73759,0.0975
73760,0.0925
73761,0.0875
73762,0.0485
73763,0.09625
73764,0.0575
73766,0.0975
73768,0.0925
73770,0.05375
73771,0.0575
73772,0.10375
73773,0.0485
73801,0.094
73802,0.094
73832,0.095
73834,0.095
73835,0.1025
73838,0.0625
73840,0.095
73841,0.084
73842,0.07
73843,0.095
73844,0.085
73848,0.0875
73851,0.065
73852,0.094
73853,0.054
73855,0.065
73857,0.054
73858,0.105
73859,0.1025
73860,0.09
73901,0.055
73931,0.065
73932,0.095
73933,0.095
73937,0.065
73938,0.095
73939,0.085
73942,0.095
73944,0.095
73945,0.095
73946,0.065
73947,0.085
73949,0.085
73950,0.065
73951,0.085
74001,0.0775
74002,0.0575
74003,0.089
74004,0.089
74005,0.089
74006,0.089
74008,0.08917
74010,0.055
74011,0.08417
74012,0.08417
74013,0.08417
74014,0.058
74015,0.09583
74016,0.06333
74017,0.09333
74018,0.09333
74019,0.06333
74020,0.1
74021,0.09167
74022,0.055
74023,0.05313
74026,0.095
74027,0.085
74028,0.055
74029,0.085
74030,0.1
74031,0.10333
74032,0.05313
74033,0.09967
74034,0.11
74035,0.0925
74036,0.06333
74037,0.08417
74038,0.065
74039,0.055
74041,0.095
74042,0.085
74043,0.04867
74044,0.055
74045,0.065
74046,0.055
74047,0.0575
74048,0.095
74050,0.04867
74051,0.055
74052,0.105
74053,0.06333
74054,0.0575
74055,0.08917
74056,0.0875
74058,0.065
74059,0.05313
74060,0.0875
74061,0.055
74062,0.05313
74063,0.08917
74066,0.095
74067,0.095
74068,0.085
74070,0.0575
74071,0.085
74072,0.085
74073,0.0575
74074,0.08813
74075,0.08813
74076,0.08813
74077,0.08813
74078,0.08813
74079,0.095
74080,0.06333
74081,0.065
74082,0.075
74083,0.085
74084,0.0975
74085,0.05313
74101,0.08517
74102,0.08517
74103,0.08517
74104,0.08517
74105,0.08517
74106,0.08517
74107,0.08517
74108,0.08517
74110,0.08517
74112,0.08517
74114,0.08517
74115,0.08517
74116,0.08517
74117,0.04867
74119,0.08517
74120,0.08517
74121,0.08517
74126,0.08517
74127,0.08517
74128,0.08517
74129,0.08517
74130,0.04867
74131,0.055
74132,0.08517
74133,0.08517
74134,0.08517
74135,0.08517
74136,0.08517
74137,0.08517
74141,0.08517
74145,0.08517
74146,0.08517
74147,0.08517
74148,0.08517
74149,0.08517
74150,0.08517
74152,0.08517
74153,0.08517
74155,0.08517
74156,0.08517
74157,0.08517
74158,0.08517
74159,0.08517
74169,0.08517
74170,0.08517
74171,0.08517
74172,0.08517
74182,0.08517
74186,0.08517
74187,0.08517
74192,0.08517
74193,0.08517
74301,0.065
74330,0.05875
74331,0.059
74332,0.065
74333,0.065
74335,0.0585
74337,0.05875
74338,0.059
74339,0.0985
74340,0.0975
74342,0.059
74343,0.0585
74344,0.059
74345,0.093
74346,0.059
74347,0.059
74349,0.095
74350,0.08875
74352,0.05875
74354,0.095
74355,0.095
74358,0.0935
74359,0.089
74360,0.0585
74361,0.05875
74362,0.09875
74363,0.0585
74364,0.059
74365,0.05875
74366,0.05875
74367,0.05875
74368,0.059
74369,0.065
74370,0.0585
74401,0.0915
74402,0.0915
74403,0.0915
74421,0.0575
74422,0.0575
74423,0.0815
74425,0.06
74426,0.105
74427,0.0625
74428,0.0715
74429,0.088
74430,0.1
74431,0.094
74432,0.1
74434,0.0625
74435,0.09917
74436,0.095
74437,0.0975
74438,0.065
74439,0.0815
74441,0.0625
74442,0.06
74444,0.0625
74445,0.0575
74446,0.098
74447,0.0975
74450,0.0515
74451,0.0625
74452,0.0625
74454,0.058
74455,0.1015
74456,0.0575
74457,0.0625
74458,0.058
74459,0.105
74460,0.0625
74461,0.065
74462,0.1
74463,0.0915
74464,0.095
74465,0.095
74467,0.088
74468,0.0915
74469,0.0915
74470,0.1065
74471,0.0625
74472,0.095
74477,0.088
74501,0.06
74502,0.1
74521,0.065
74522,0.08
74523,0.1
74525,0.0625
74528,0.06
74529,0.06
74530,0.06
74531,0.055
74533,0.0625
74534,0.065
74535,0.065
74536,0.105
74538,0.095
74540,0.0625
74543,0.065
74545,0.0625
74546,0.09
74547,0.0925
74549,0.065
74552,0.065
74553,0.06
74554,0.1
74555,0.0625
74556,0.085
74557,0.065
74558,0.065
74559,0.0625
74560,0.06
74561,0.06
74562,0.1
74563,0.0625
74565,0.11
74567,0.065
74569,0.0625
74570,0.06
74571,0.095
74572,0.095
74574,0.0625
74576,0.06
74577,0.065
74578,0.0625
74601,0.08667
74602,0.08667
74604,0.08667
74630,0.06
74631,0.10167
74632,0.05167
74633,0.0575
74636,0.0575
74637,0.0875
74640,0.0485
74641,0.05167
74643,0.0975
74644,0.06
74646,0.05167
74647,0.05167
74650,0.095
74651,0.06
74652,0.0575
74653,0.09667
74701,0.09375
74702,0.09375
74720,0.08
74721,0.05
74722,0.0625
74723,0.05
74724,0.0625
74726,0.05
74727,0.095
74728,0.0925
74729,0.05
74730,0.09
74731,0.05
74733,0.05
74734,0.0625
74735,0.1
74736,0.0625
74737,0.0625
74738,0.065
74740,0.0975
74741,0.05
74743,0.1
74745,0.0925
74747,0.05
74748,0.06
74750,0.0925
74752,0.0625
74753,0.05
74754,0.0625
74755,0.0625
74756,0.075
74759,0.085
74760,0.065
74761,0.065
74764,0.0925
74766,0.0925
74801,0.08995
74802,0.08995
74804,0.08995
74818,0.0975
74820,0.08813
74821,0.08813
74824,0.055
74825,0.07813
74826,0.05995
74827,0.055
74829,0.115
74830,0.0875
74831,0.05
74832,0.095
74833,0.095
74834,0.055
74836,0.06
74837,0.0875
74839,0.055
74840,0.05995
74842,0.04813
74843,0.04813
74844,0.07813
74845,0.105
74848,0.105
74849,0.0975
74850,0.085
74851,0.09995
74852,0.05995
74854,0.09995
74855,0.055
74856,0.06
74857,0.08875
74859,0.1
74860,0.065
74864,0.095
74865,0.04813
74866,0.05995
74867,0.0575
74868,0.0975
74869,0.055
74871,0.04813
74872,0.0925
74873,0.08995
74875,0.055
74878,0.05995
74880,0.065
74881,0.055
74883,0.105
74884,0.0975
74901,0.095
74902,0.105
74930,0.065
74931,0.0625
74932,0.065
74935,0.095
74936,0.05917
74937,0.065
74939,0.065
74940,0.065
74941,0.065
74942,0.075
74943,0.065
74944,0.065
74945,0.08917
74946,0.07917
74947,0.065
74948,0.05917
74949,0.065
74951,0.095
74953,0.095
74954,0.09917
74955,0.09917
74956,0.065
74957,0.065
74959,0.065
74960,0.0975
74962,0.05917
74963,0.0625
74964,0.1025
74965,0.1
74966,0.065
