ZipCode,EstimatedCombinedRate
15001,0.06
15003,0.06
15004,0.06
15005,0.06
15006,0.07
15007,0.07
15009,0.06
15010,0.06
15012,0.06
15014,0.07
15015,0.07
15017,0.07
15018,0.07
15019,0.06
15020,0.07
15021,0.06
15022,0.06
15024,0.07
15025,0.07
15026,0.06
15027,0.06
15028,0.07
15030,0.07
15031,0.07
15032,0.07
15033,0.06
15034,0.07
15035,0.07
15037,0.07
15038,0.06
15042,0.06
15043,0.06
15044,0.07
15045,0.07
15046,0.07
15047,0.07
15049,0.07
15050,0.06
15051,0.07
15052,0.06
15053,0.06
15054,0.06
15055,0.06
15056,0.07
15057,0.06
15059,0.06
15060,0.06
15061,0.06
15062,0.06
15063,0.06
15064,0.07
15065,0.07
15066,0.06
15067,0.06
15068,0.06
15069,0.06
15071,0.07
15072,0.06
15074,0.06
15075,0.07
15076,0.07
15077,0.06
15078,0.06
15081,0.06
15082,0.07
15083,0.06
15084,0.07
15085,0.06
15086,0.07
15087,0.06
15088,0.07
15089,0.06
15090,0.07
15091,0.07
15095,0.07
15096,0.07
15101,0.07
15102,0.07
15104,0.07
15106,0.07
15108,0.07
15110,0.07
15112,0.07
15116,0.07
15120,0.07
15122,0.07
15123,0.07
15126,0.07
15127,0.07
15129,0.07
15131,0.07
15132,0.07
15133,0.07
15134,0.07
15135,0.07
15136,0.07
15137,0.07
15139,0.07
15140,0.07
15142,0.07
15143,0.07
15144,0.07
15145,0.07
15146,0.07
15147,0.07
15148,0.07
15201,0.07
15202,0.07
15203,0.07
15204,0.07
15205,0.07
15206,0.07
15207,0.07
15208,0.07
15209,0.07
15210,0.07
15211,0.07
15212,0.07
15213,0.07
15214,0.07
15215,0.07
15216,0.07
15217,0.07
15218,0.07
15219,0.07
15220,0.07
15221,0.07
15222,0.07
15223,0.07
15224,0.07
15225,0.07
15226,0.07
15227,0.07
15228,0.07
15229,0.07
15230,0.07
15231,0.07
15232,0.07
15233,0.07
15234,0.07
15235,0.07
15236,0.07
15237,0.07
15238,0.07
15239,0.07
15240,0.07
15241,0.07
15242,0.07
15243,0.07
15244,0.07
15250,0.07
15251,0.07
15252,0.07
15253,0.07
15254,0.07
15255,0.07
15257,0.07
15258,0.07
15259,0.07
15260,0.07
15261,0.07
15262,0.07
15264,0.07
15265,0.07
15267,0.07
15268,0.07
15270,0.07
15272,0.07
15274,0.07
15275,0.07
15276,0.07
15277,0.07
15278,0.07
15279,0.07
15281,0.07
15282,0.07
15283,0.07
15286,0.07
15289,0.07
15290,0.07
15295,0.07
15301,0.06
15310,0.06
15311,0.06
15312,0.06
15313,0.06
15314,0.06
15315,0.06
15316,0.06
15317,0.06
15320,0.06
15321,0.06
15322,0.06
15323,0.06
15324,0.06
15325,0.06
15327,0.06
15329,0.06
15330,0.06
15331,0.06
15332,0.06
15333,0.06
15334,0.06
15336,0.06
15337,0.06
15338,0.06
15339,0.06
15340,0.06
15341,0.06
15342,0.06
15344,0.06
15345,0.06
15346,0.06
15347,0.06
15348,0.06
15349,0.06
15350,0.06
15351,0.06
15352,0.06
15353,0.06
15357,0.06
15358,0.06
15359,0.06
15360,0.06
15361,0.06
15362,0.06
15363,0.06
15364,0.06
15365,0.06
15366,0.06
15367,0.06
15368,0.06
15370,0.06
15376,0.06
15377,0.06
15378,0.06
15379,0.06
15380,0.06
15401,0.06
15410,0.06
15411,0.06
15412,0.06
15413,0.06
15415,0.06
15416,0.06
15417,0.06
15419,0.06
15420,0.06
15421,0.06
15422,0.06
15423,0.06
15424,0.06
15425,0.06
15427,0.06
15428,0.06
15429,0.06
15430,0.06
15431,0.06
15432,0.06
15433,0.06
15434,0.06
15435,0.06
15436,0.06
15437,0.06
15438,0.06
15439,0.06
15440,0.06
15442,0.06
15443,0.06
15444,0.06
15445,0.06
15446,0.06
15447,0.06
15448,0.06
15449,0.06
15450,0.06
15451,0.06
15454,0.06
15455,0.06
15456,0.06
15458,0.06
15459,0.06
15460,0.06
15461,0.06
15462,0.06
15463,0.06
15464,0.06
15465,0.06
15466,0.06
15467,0.06
15468,0.06
15469,0.06
15470,0.06
15472,0.06
15473,0.06
15474,0.06
15475,0.06
15476,0.06
15477,0.06
15478,0.06
15479,0.06
15480,0.06
15482,0.06
15483,0.06
15484,0.06
15485,0.06
15486,0.06
15488,0.06
15489,0.06
15490,0.06
15492,0.06
15501,0.06
15502,0.06
15510,0.06
15520,0.06
15521,0.06
15522,0.06
15530,0.06
15531,0.06
15532,0.06
15533,0.06
15534,0.06
15535,0.06
15536,0.06
15537,0.06
15538,0.06
15539,0.06
15540,0.06
15541,0.06
15542,0.06
15544,0.06
15545,0.06
15546,0.06
15547,0.06
15548,0.06
15549,0.06
15550,0.06
15551,0.06
15552,0.06
15553,0.06
15554,0.06
15555,0.06
15557,0.06
15558,0.06
15559,0.06
15560,0.06
15561,0.06
15562,0.06
15563,0.06
15564,0.06
15565,0.06
15601,0.06
15605,0.06
15606,0.06
15610,0.06
15611,0.06
15612,0.06
15613,0.06
15615,0.06
15616,0.06
15617,0.06
15618,0.06
15619,0.06
15620,0.06
15621,0.06
15622,0.06
15623,0.06
15624,0.06
15625,0.06
15626,0.06
15627,0.06
15628,0.06
15629,0.06
15631,0.06
15632,0.06
15633,0.06
15634,0.06
15635,0.06
15636,0.06
15637,0.06
15638,0.06
15639,0.06
15640,0.06
15641,0.06
15642,0.06
15644,0.06
15646,0.06
15647,0.06
15650,0.06
15655,0.06
15656,0.06
15658,0.06
15660,0.06
15661,0.06
15662,0.06
15663,0.06
15664,0.06
15665,0.06
15666,0.06
15668,0.06
15670,0.06
15671,0.06
15672,0.06
15673,0.06
15674,0.06
15675,0.06
15676,0.06
15677,0.06
15678,0.06
15679,0.06
15680,0.06
15681,0.06
15682,0.06
15683,0.06
15684,0.06
15685,0.06
15686,0.06
15687,0.06
15688,0.06
15689,0.06
15690,0.06
15691,0.06
15692,0.06
15693,0.06
15695,0.06
15696,0.06
15697,0.06
15698,0.06
15701,0.06
15705,0.06
15710,0.06
15711,0.06
15712,0.06
15713,0.06
15714,0.06
15715,0.06
15716,0.06
15717,0.06
15720,0.06
15721,0.06
15722,0.06
15723,0.06
15724,0.06
15725,0.06
15727,0.06
15728,0.06
15729,0.06
15730,0.06
15731,0.06
15732,0.06
15733,0.06
15734,0.06
15736,0.06
15737,0.06
15738,0.06
15739,0.06
15741,0.06
15742,0.06
15744,0.06
15745,0.06
15746,0.06
15747,0.06
15748,0.06
15750,0.06
15752,0.06
15753,0.06
15754,0.06
15756,0.06
