ZipCode,EstimatedCombinedRate
00601,0.115
00602,0.115
00603,0.115
00604,0.115
00605,0.115
00606,0.115
00610,0.115
00611,0.115
00612,0.115
00613,0.115
00614,0.115
00616,0.115
00617,0.115
00622,0.115
00623,0.115
00624,0.115
00627,0.115
00631,0.115
00636,0.115
00637,0.115
00638,0.115
00641,0.115
00646,0.115
00647,0.115
00650,0.115
00652,0.115
00653,0.115
00656,0.115
00659,0.115
00660,0.115
00662,0.115
00664,0.115
00667,0.115
00669,0.115
00670,0.115
00674,0.115
00676,0.115
00677,0.115
00678,0.115
00680,0.115
00681,0.115
00682,0.115
00683,0.115
00685,0.115
00687,0.115
00688,0.115
00690,0.115
00692,0.115
00693,0.115
00694,0.115
00698,0.115
00703,0.115
00704,0.115
00705,0.115
00707,0.115
00714,0.115
00715,0.115
00716,0.115
00717,0.115
00718,0.115
00719,0.115
00720,0.115
00721,0.115
00723,0.115
00725,0.115
00726,0.115
00727,0.115
00728,0.115
00729,0.115
00730,0.115
00731,0.105
00732,0.115
00733,0.115
00735,0.115
00736,0.115
00737,0.115
00738,0.115
00739,0.115
00740,0.115
00741,0.115
00742,0.105
00744,0.115
00745,0.115
00751,0.115
00754,0.115
00757,0.115
00765,0.115
00766,0.115
00767,0.115
00769,0.115
00771,0.115
00772,0.115
00773,0.115
00775,0.115
00777,0.115
00778,0.115
00780,0.115
00782,0.115
00783,0.115
00784,0.115
00785,0.115
00786,0.105
00791,0.115
00792,0.115
00794,0.115
00795,0.115
00901,0.115
00902,0.115
00905,0.105
00906,0.115
00907,0.115
00908,0.115
00909,0.115
00910,0.115
00911,0.115
00912,0.115
00913,0.115
00914,0.115
00915,0.115
00916,0.115
00917,0.115
00918,0.115
00919,0.115
00920,0.115
00921,0.115
00922,0.115
00923,0.115
00924,0.115
00925,0.115
00926,0.115
00927,0.115
00928,0.115
00929,0.115
00930,0.115
00931,0.115
00933,0.115
00934,0.115
00935,0.105
00936,0.115
00937,0.105
00939,0.115
00940,0.115
00949,0.115
00950,0.115
00951,0.115
00952,0.115
00953,0.115
00954,0.115
00955,0.115
00956,0.115
00957,0.115
00958,0.115
00959,0.115
00960,0.115
00961,0.115
00962,0.115
00963,0.115
00965,0.115
00966,0.115
00968,0.115
00969,0.115
00970,0.115
00971,0.115
00975,0.105
00976,0.115
00977,0.115
00978,0.115
00979,0.115
00981,0.115
00982,0.115
00983,0.115
00984,0.115
00985,0.115
00986,0.115
00987,0.115
00988,0.115
