ZipCode,EstimatedCombinedRate
29001,0.08
29002,0.08
29003,0.08
29006,0.07
29009,0.08
29010,0.08
29014,0.08
29015,0.07
29016,0.08
29018,0.07
29020,0.08
29021,0.08
29030,0.07
29031,0.07
29032,0.08
29033,0.07
29036,0.07
29037,0.07
29038,0.07
29039,0.07
29040,0.08
29041,0.08
29042,0.08
29044,0.08
29045,0.08
29046,0.08
29047,0.07
29048,0.07
29051,0.08
29052,0.08
29053,0.07
29054,0.07
29055,0.08
29056,0.08
29058,0.08
29059,0.07
29061,0.08
29062,0.08
29063,0.08
29065,0.07
29067,0.08
29069,0.08
29070,0.07
29071,0.07
29072,0.07
29073,0.07
29074,0.08
29075,0.07
29078,0.08
29079,0.08
29080,0.08
29081,0.08
29082,0.08
29101,0.08
29102,0.08
29104,0.08
29105,0.08
29107,0.07
29108,0.07
29111,0.08
29112,0.07
29113,0.07
29114,0.08
29115,0.07
29116,0.07
29117,0.07
29118,0.07
29122,0.07
29123,0.07
29125,0.08
29126,0.07
29127,0.07
29128,0.08
29129,0.08
29130,0.07
29132,0.07
29133,0.07
29135,0.07
29137,0.08
29138,0.07
29142,0.07
29143,0.08
29145,0.07
29146,0.07
29147,0.08
29148,0.08
29150,0.08
29151,0.08
29152,0.08
29153,0.08
29154,0.08
29160,0.07
29161,0.08
29162,0.08
29163,0.07
29164,0.08
29166,0.07
29168,0.08
29169,0.07
29170,0.07
29171,0.07
29172,0.07
29175,0.08
29177,0.08
29178,0.07
29180,0.07
29201,0.08
29202,0.08
29203,0.08
29204,0.08
29205,0.08
29206,0.08
29207,0.08
29208,0.08
29209,0.08
29210,0.08
29211,0.08
29212,0.07
29214,0.08
29215,0.08
29216,0.08
29217,0.08
29218,0.08
29219,0.08
29220,0.08
29221,0.08
29222,0.08
29223,0.08
29224,0.08
29225,0.08
29226,0.08
29227,0.08
29228,0.07
29229,0.08
29230,0.08
29240,0.08
29250,0.08
29260,0.08
29290,0.08
29292,0.08
29301,0.06
29302,0.06
29303,0.06
29304,0.06
29305,0.06
29306,0.06
29307,0.06
29316,0.06
29319,0.06
29320,0.06
29321,0.07
29322,0.06
29323,0.06
29324,0.06
29325,0.07
29329,0.06
29330,0.06
29331,0.06
29332,0.07
29333,0.06
29334,0.06
29335,0.06
29336,0.06
29338,0.06
29340,0.08
29341,0.08
29342,0.08
29346,0.06
29348,0.06
29349,0.06
29351,0.07
29353,0.07
29355,0.07
29356,0.06
29360,0.07
29364,0.07
29365,0.06
29368,0.06
29369,0.06
29370,0.07
29372,0.06
29373,0.06
29374,0.06
29375,0.06
29376,0.06
29377,0.06
29378,0.06
29379,0.07
29384,0.07
29385,0.06
29386,0.06
29388,0.06
29395,0.07
29401,0.09
29402,0.09
29403,0.09
29404,0.09
29405,0.09
29406,0.09
29407,0.09
29409,0.09
29410,0.08
29412,0.09
29413,0.09
29414,0.09
29415,0.09
29416,0.09
29417,0.09
29418,0.09
29419,0.09
29420,0.07
29422,0.09
29423,0.09
29424,0.09
29425,0.09
29426,0.09
29429,0.09
29431,0.08
29432,0.07
29433,0.08
29434,0.08
29435,0.08
29436,0.08
29437,0.07
29438,0.09
29439,0.09
29440,0.07
29442,0.07
29445,0.08
29446,0.08
29447,0.07
29448,0.07
29449,0.09
29450,0.08
29451,0.09
29452,0.08
29453,0.08
29455,0.09
29456,0.07
29457,0.09
29458,0.09
29461,0.08
29464,0.09
29465,0.09
29466,0.09
29468,0.08
29469,0.08
29470,0.09
29471,0.07
29472,0.07
29474,0.08
29475,0.08
29476,0.08
29477,0.07
29479,0.08
29481,0.08
29482,0.09
29483,0.07
29484,0.07
29485,0.07
29486,0.08
29487,0.09
29488,0.08
29492,0.08
29493,0.08
29501,0.08
29502,0.08
29503,0.08
29504,0.08
29505,0.08
29506,0.08
29510,0.08
29511,0.08
29512,0.08
29516,0.08
29518,0.08
29519,0.08
29520,0.08
29525,0.08
29526,0.08
29527,0.08
29528,0.08
29530,0.08
29532,0.08
29536,0.08
29540,0.08
29541,0.08
29543,0.08
29544,0.08
29545,0.08
29546,0.08
29547,0.08
29550,0.08
29551,0.08
29554,0.07
29555,0.08
29556,0.08
29560,0.08
29563,0.08
29564,0.08
29565,0.08
29566,0.08
29567,0.08
29568,0.08
29569,0.08
29570,0.08
29571,0.08
29572,0.09
29574,0.08
29575,0.08
29576,0.08
29577,0.09
29578,0.09
29579,0.08
29580,0.08
29581,0.08
29582,0.08
29583,0.08
29584,0.08
29585,0.07
29587,0.08
29588,0.08
29589,0.08
29590,0.08
29591,0.08
29592,0.08
29593,0.08
29594,0.08
29596,0.08
29597,0.08
29598,0.08
29601,0.06
29602,0.06
29603,0.06
29604,0.06
29605,0.06
29606,0.06
29607,0.06
29608,0.06
29609,0.06
29610,0.06
29611,0.06
29612,0.06
29613,0.06
29614,0.06
29615,0.06
29616,0.06
29617,0.06
29620,0.07
29621,0.07
29622,0.07
29623,0.07
29624,0.07
29625,0.07
29626,0.07
29627,0.07
29628,0.07
29630,0.07
29631,0.07
29632,0.07
29633,0.07
29634,0.07
29635,0.06
29636,0.06
29638,0.07
29639,0.07
29640,0.07
29641,0.07
29642,0.07
29643,0.06
29644,0.07
29645,0.07
29646,0.07
29647,0.07
29648,0.07
29649,0.07
29650,0.06
29651,0.06
29652,0.06
29653,0.07
29654,0.07
29655,0.07
29656,0.07
29657,0.07
29658,0.06
29659,0.07
29661,0.06
29662,0.06
29664,0.06
29665,0.06
29666,0.07
29667,0.07
29669,0.07
29670,0.07
29671,0.07
29672,0.06
29673,0.07
29675,0.06
29676,0.06
29677,0.07
29678,0.06
29679,0.06
29680,0.06
29681,0.06
29682,0.07
29683,0.06
29684,0.07
29685,0.07
29686,0.06
29687,0.06
29688,0.06
29689,0.07
29690,0.06
29691,0.06
29692,0.07
29693,0.06
29696,0.06
29697,0.07
29702,0.08
29703,0.07
29704,0.07
29706,0.08
29707,0.08
29708,0.07
29709,0.08
29710,0.07
29712,0.08
29714,0.08
29715,0.07
29716,0.07
29717,0.07
29718,0.08
29720,0.08
29721,0.08
29722,0.08
29724,0.08
29726,0.07
29727,0.08
29728,0.08
29729,0.08
29730,0.07
29731,0.07
29732,0.07
29733,0.07
29734,0.07
29741,0.08
29742,0.07
29743,0.07
29744,0.08
29745,0.07
29801,0.08
29802,0.08
29803,0.08
29804,0.08
29805,0.08
29808,0.08
29809,0.08
29810,0.08
29812,0.08
29813,0.08
29816,0.08
29817,0.08
29819,0.07
29821,0.08
29822,0.08
29824,0.07
29826,0.08
29827,0.08
29828,0.08
29829,0.08
29831,0.08
29832,0.07
29834,0.08
29835,0.08
29836,0.08
29838,0.08
29839,0.08
29840,0.08
29841,0.08
29842,0.08
29843,0.08
29844,0.08
29845,0.08
29846,0.08
29847,0.07
29848,0.08
29849,0.08
29850,0.08
29851,0.08
29853,0.08
29856,0.08
29860,0.07
29861,0.08
29899,0.08
29901,0.06
29902,0.06
29903,0.06
29904,0.06
29905,0.06
29906,0.06
29907,0.06
29909,0.06
29910,0.06
29911,0.08
29912,0.09
29913,0.08
29914,0.06
29915,0.06
29916,0.08
29918,0.08
29920,0.06
29921,0.08
29922,0.08
29923,0.08
29924,0.08
29925,0.06
29926,0.06
29927,0.09
29928,0.06
29929,0.08
29931,0.06
29932,0.08
29933,0.08
29934,0.09
29935,0.06
29936,0.09
29938,0.06
29939,0.08
29940,0.06
29941,0.06
29943,0.09
29944,0.08
29945,0.08
