ZipCode,EstimatedCombinedRate,,,,
57001,0.045,,,,
57002,0.055,,,,
57003,0.045,,,,
57004,0.065,,,,
57005,0.065,,,,
57006,0.065,,,,
57007,0.065,,,,
57010,0.045,,,,
57012,0.045,,,,
57013,0.065,,,,
57014,0.065,,,,
57015,0.045,,,,
57016,0.045,,,,
57017,0.045,,,,
57018,0.045,,,,
57020,0.065,,,,
57021,0.045,,,,
57022,0.065,,,,
57024,0.065,,,,
57025,0.065,,,,
57026,0.045,,,,
57027,0.065,,,,
57028,0.065,,,,
57029,0.065,,,,
57030,0.045,,,,
57031,0.045,,,,
57032,0.065,,,,
57033,0.065,,,,
57034,0.045,,,,
57035,0.065,,,,
57036,0.045,,,,
57037,0.045,,,,
57038,0.045,,,,
57039,0.065,,,,
57040,0.045,,,,
57041,0.045,,,,
57042,0.065,,,,
57043,0.045,,,,
57045,0.065,,,,
57046,0.045,,,,
57047,0.065,,,,
57048,0.045,,,,
57049,0.045,,,,
57050,0.045,,,,
57051,0.045,,,,
57052,0.045,,,,
57053,0.045,,,,
57054,0.045,,,,
57055,0.045,,,,
57057,0.045,,,,
57058,0.065,,,,
57059,0.065,,,,
57061,0.045,,,,
57062,0.065,,,,
57063,0.045,,,,
57064,0.065,,,,
57065,0.045,,,,
57066,0.065,,,,
57067,0.045,,,,
57068,0.065,,,,
57069,0.065,,,,
57070,0.045,,,,
57071,0.065,,,,
57072,0.045,,,,
57073,0.045,,,,
57075,0.045,,,,
57076,0.045,,,,
57077,0.065,,,,
57078,0.065,,,,
57101,0.065,,,,
57103,0.065,,,,
57104,0.065,,,,
57105,0.065,,,,
57106,0.065,,,,
57107,0.065,,,,
57108,0.065,,,,
57109,0.065,,,,
57110,0.065,,,,
57117,0.065,,,,
57118,0.065,,,,
57186,0.045,,,,
57193,0.065,,,,
57197,0.065,,,,
57198,0.065,,,,
57201,0.065,,,,
57212,0.045,,,,
57213,0.045,,,,
57214,0.065,,,,
57216,0.065,,,,
57217,0.045,,,,
57218,0.045,,,,
57219,0.045,,,,
57220,0.045,,,,
57221,0.045,,,,
57223,0.045,,,,
57224,0.045,,,,
57225,0.065,,,,
57226,0.045,,,,
57227,0.045,,,,
57231,0.065,,,,
57232,0.045,,,,
57233,0.045,,,,
57234,0.065,,,,
57235,0.045,,,,
57236,0.045,,,,
57237,0.045,,,,
57238,0.045,,,,
57239,0.045,,,,
57241,0.045,,,,
57242,0.045,,,,
57243,0.045,,,,
57245,0.065,,,,
57246,0.045,,,,
57247,0.045,,,,
57248,0.045,,,,
57249,0.065,,,,
57251,0.045,,,,
57252,0.065,,,,
57255,0.045,,,,
57256,0.045,,,,
57257,0.045,,,,
57258,0.045,,,,
57259,0.055,,,,
57260,0.045,,,,
57261,0.045,,,,
57262,0.065,,,,
57263,0.045,,,,
57264,0.045,,,,
57265,0.045,,,,
57266,0.045,,,,
57268,0.045,,,,
57269,0.045,,,,
57270,0.045,,,,
57271,0.045,,,,
57272,0.045,,,,
57273,0.045,,,,
57274,0.065,,,,
57276,0.045,,,,
57278,0.045,,,,
57279,0.045,,,,
57301,0.065,,,,
57311,0.045,,,,
57312,0.045,,,,
57313,0.045,,,,
57314,0.045,,,,
57315,0.045,,,,
57317,0.045,,,,
57319,0.045,,,,
57321,0.045,,,,
57322,0.045,,,,
57323,0.065,,,,
57324,0.045,,,,
57325,0.065,,,,
57326,0.065,,,,
57328,0.045,,,,
57329,0.045,,,,
57330,0.045,,,,
57331,0.045,,,,
57332,0.065,,,,
57334,0.045,,,,
57335,0.045,,,,
57337,0.045,,,,
57339,0.045,,,,
57340,0.045,,,,
57341,0.045,,,,
57342,0.045,,,,
57344,0.045,,,,
57345,0.045,,,,
57346,0.065,,,,
57348,0.045,,,,
57349,0.045,,,,
57350,0.065,,,,
57353,0.045,,,,
57354,0.045,,,,
57355,0.045,,,,
57356,0.045,,,,
57358,0.065,,,,
57359,0.045,,,,
57361,0.065,,,,
57362,0.065,,,,
57363,0.045,,,,
57364,0.045,,,,
57365,0.065,,,,
57366,0.065,,,,
57367,0.065,,,,
57368,0.045,,,,
57369,0.045,,,,
57370,0.045,,,,
57371,0.045,,,,
57373,0.045,,,,
57374,0.045,,,,
57375,0.045,,,,
57376,0.045,,,,
57379,0.045,,,,
57380,0.045,,,,
57381,0.045,,,,
57382,0.065,,,,
57383,0.045,,,,
57384,0.045,,,,
57385,0.045,,,,
57386,0.055,,,,
57399,0.065,,,,
57401,0.065,,,,
57402,0.065,,,,
57420,0.065,,,,
57421,0.045,,,,
57422,0.045,,,,
57424,0.045,,,,
57426,0.065,,,,
57427,0.045,,,,
57428,0.045,,,,
57429,0.045,,,,
57430,0.045,,,,
57432,0.045,,,,
57433,0.045,,,,
57434,0.045,,,,
57435,0.045,,,,
57436,0.045,,,,
57437,0.045,,,,
57438,0.065,,,,
57439,0.045,,,,
57440,0.045,,,,
57441,0.045,,,,
57442,0.065,,,,
57445,0.065,,,,
57446,0.055,,,,
57448,0.045,,,,
57449,0.045,,,,
57450,0.045,,,,
57451,0.045,,,,
57452,0.045,,,,
57454,0.045,,,,
57455,0.045,,,,
57456,0.045,,,,
57457,0.045,,,,
57460,0.045,,,,
57461,0.045,,,,
57465,0.045,,,,
57466,0.045,,,,
57467,0.045,,,,
57468,0.045,,,,
57469,0.065,,,,
57470,0.045,,,,
57471,0.045,,,,
57472,0.045,,,,
57473,0.045,,,,
57474,0.045,,,,
57475,0.045,,,,
57476,0.045,,,,
57477,0.045,,,,
57479,0.065,,,,
57481,0.045,,,,
57501,0.065,,,,
57520,0.045,,,,
57521,0.045,,,,
