ZipCode,EstimatedCombinedRate
37010,0.0975
37011,0.0925
37012,0.0975
37013,0.0925
37014,0.0925
37015,0.0925
37016,0.0875
37018,0.0975
37019,0.0925
37020,0.0975
37022,0.0925
37023,0.0925
37024,0.0925
37025,0.0975
37026,0.0875
37027,0.0925
37028,0.0925
37029,0.0975
37030,0.0975
37031,0.0925
37032,0.0975
37033,0.0975
37034,0.0925
37035,0.0925
37036,0.0975
37037,0.0975
37040,0.095
37041,0.095
37042,0.095
37043,0.095
37044,0.095
37046,0.0925
37047,0.0925
37048,0.0925
37049,0.0975
37050,0.0925
37051,0.0975
37052,0.095
37055,0.0975
37056,0.0975
37057,0.0925
37058,0.0925
37059,0.0975
37060,0.0975
37061,0.0975
37062,0.0975
37063,0.0975
37064,0.0925
37065,0.0925
37066,0.0925
37067,0.0925
37068,0.0925
37069,0.0925
37070,0.0925
37072,0.0925
37073,0.0975
37074,0.0925
37075,0.0925
37076,0.0925
37077,0.0925
37078,0.0975
37079,0.0925
37080,0.0925
37082,0.0925
37083,0.0925
37085,0.0975
37086,0.0975
37087,0.0925
37088,0.0925
37089,0.0975
37090,0.0925
37091,0.0925
37095,0.0975
37096,0.095
37097,0.095
37098,0.0975
37101,0.0975
37110,0.0975
37111,0.0975
37115,0.0925
37116,0.0925
37118,0.0975
37119,0.0925
37121,0.0925
37122,0.0925
37127,0.0975
37128,0.0975
37129,0.0975
37130,0.0975
37131,0.0975
37132,0.0975
37133,0.0975
37134,0.0975
37135,0.0925
37136,0.0925
37137,0.0975
37138,0.0925
37140,0.0975
37141,0.0975
37142,0.095
37143,0.0975
37144,0.095
37145,0.0975
37146,0.0925
37148,0.0925
37149,0.0975
37150,0.0925
37151,0.0975
37152,0.0975
37153,0.0975
37160,0.0975
37161,0.0975
37162,0.0975
37165,0.0975
37166,0.0975
37167,0.0975
37171,0.095
37172,0.0975
37174,0.0925
37175,0.0975
37178,0.0975
37179,0.0925
37180,0.0975
37181,0.0975
37183,0.0975
37184,0.0925
37185,0.0975
37186,0.0925
37187,0.0975
37188,0.0975
37189,0.0925
37190,0.0875
37191,0.095
37201,0.0925
37202,0.0925
37203,0.0925
37204,0.0925
37205,0.0925
37206,0.0925
37207,0.0925
37208,0.0925
37209,0.0925
37210,0.0925
37211,0.0925
37212,0.0925
37213,0.0925
37214,0.0925
37215,0.0925
37216,0.0925
37217,0.0925
37218,0.0925
37219,0.0925
37220,0.0925
37221,0.0925
37222,0.0925
37224,0.0925
37227,0.0925
37228,0.0925
37229,0.0925
37230,0.0925
37232,0.0925
37234,0.0925
37235,0.0925
37236,0.0925
37238,0.0925
37240,0.0925
37241,0.0925
37242,0.0925
37243,0.0925
37244,0.0925
37246,0.0925
37250,0.0925
37301,0.0925
37302,0.0925
37303,0.09
37304,0.0925
37305,0.0925
37306,0.0925
37307,0.0925
37308,0.0925
37309,0.09
37310,0.0975
37311,0.0975
37312,0.0975
37313,0.0925
37314,0.0925
37315,0.0925
37317,0.0925
37318,0.0925
37320,0.0975
37321,0.0975
37322,0.09
37323,0.0975
37324,0.0925
37325,0.0925
37326,0.0925
37327,0.0975
37328,0.095
37329,0.09
37330,0.0925
37331,0.09
37332,0.0975
37333,0.0925
37334,0.095
37335,0.095
37336,0.0975
37337,0.0975
37338,0.0975
37339,0.0925
37340,0.0975
37341,0.0925
37342,0.0975
37343,0.0925
37345,0.0925
37347,0.0975
37348,0.095
37349,0.0975
37350,0.0925
37351,0.0925
37352,0.095
37353,0.0975
37354,0.0925
37355,0.0975
37356,0.0975
37357,0.0975
37359,0.095
37360,0.0975
37361,0.0925
37362,0.0925
37363,0.0925
37364,0.0975
37365,0.0925
37366,0.0925
37367,0.0925
37369,0.0925
37370,0.09
37371,0.09
37373,0.0925
37374,0.0975
37375,0.0925
37376,0.0925
37377,0.0925
37378,0.0975
37379,0.0925
37380,0.0975
37381,0.0975
37382,0.0975
37383,0.0925
37384,0.0925
37385,0.0925
37387,0.0925
37388,0.0975
37389,0.0975
37391,0.0925
37394,0.0975
37396,0.0975
37397,0.0975
37398,0.0925
37401,0.0925
37402,0.0925
37403,0.0925
37404,0.0925
37405,0.0925
37406,0.0925
37407,0.0925
37408,0.0925
37409,0.0925
37410,0.0925
37411,0.0925
37412,0.0925
37414,0.0925
37415,0.0925
37416,0.0925
37419,0.0925
37421,0.0925
37422,0.0925
37424,0.0925
37450,0.0925
37501,0.0925
37544,0.0925
37601,0.095
37602,0.095
37604,0.095
37605,0.095
37614,0.095
37615,0.095
37616,0.0975
37617,0.0925
37618,0.0925
37620,0.0925
37621,0.0925
37625,0.0925
37640,0.085
37641,0.0975
37642,0.0975
37643,0.0975
37644,0.095
37645,0.0975
37650,0.0975
37656,0.0975
37657,0.0975
37658,0.0975
37659,0.095
37660,0.095
37662,0.0925
37663,0.0925
37664,0.095
37665,0.095
37669,0.095
37680,0.085
37681,0.0975
37682,0.0975
37683,0.085
37684,0.095
37686,0.0925
37687,0.0975
37688,0.085
37690,0.095
37691,0.085
37692,0.0975
37694,0.0975
37699,0.0925
37701,0.0975
37705,0.0975
37707,0.0925
37708,0.0975
37709,0.0975
37710,0.0975
37711,0.0975
37713,0.0975
37714,0.0925
37715,0.0925
37716,0.0975
37717,0.0975
37719,0.09
37721,0.0925
37722,0.0975
37723,0.0975
37724,0.0925
37725,0.0975
37726,0.09
37727,0.0975
37729,0.0925
37730,0.0925
37731,0.0975
37732,0.09
37733,0.09
37737,0.0975
37738,0.0975
37742,0.09
37743,0.0975
37744,0.0975
