ZipCode,EstimatedCombinedRate
73301,0.0825
73344,0.0825
73960,0.0625
75001,0.0825
75002,0.0825
75006,0.0825
75007,0.0825
75009,0.0825
75010,0.0825
75011,0.0825
75013,0.0825
75014,0.0825
75015,0.0825
75016,0.0825
75017,0.0825
75019,0.0825
75020,0.0825
75021,0.0625
75022,0.0825
75023,0.0825
75024,0.0825
75025,0.0825
75026,0.0825
75027,0.0625
75028,0.0825
75029,0.0825
75030,0.0825
75032,0.0825
75033,0.0825
75034,0.0825
75035,0.0825
75038,0.0825
75039,0.0825
75040,0.0825
75041,0.0825
75042,0.0825
75043,0.0825
75044,0.0825
75045,0.0825
75046,0.0825
75047,0.0825
75048,0.08
75049,0.0825
75050,0.0825
75051,0.0825
75052,0.0825
75053,0.0825
75054,0.0825
75056,0.0825
75057,0.0825
75058,0.0825
75060,0.0825
75061,0.0825
75062,0.0825
75063,0.0825
75064,0.0825
75065,0.0825
75067,0.0825
75068,0.0825
75069,0.0825
75070,0.0825
75071,0.0825
75074,0.0825
75075,0.0825
75076,0.0625
75077,0.0825
75078,0.0825
75080,0.0825
75081,0.0825
75082,0.0825
75083,0.0825
75085,0.0825
75086,0.0825
75087,0.0825
75088,0.0825
75089,0.0825
75090,0.0825
75091,0.0825
75092,0.0825
75093,0.0825
75094,0.0825
75097,0.0725
75098,0.0825
75099,0.0825
75101,0.0725
75102,0.0675
75103,0.0625
75104,0.0825
75105,0.0675
75106,0.0825
75109,0.0675
75110,0.0825
75114,0.0825
75115,0.0825
75116,0.0825
75117,0.0625
75118,0.0625
75119,0.0825
75120,0.0825
75121,0.0625
75123,0.0825
75124,0.0625
75125,0.0825
75126,0.0825
75127,0.0625
75132,0.0825
75134,0.0825
75135,0.0675
75137,0.0825
75138,0.0825
75140,0.0625
75141,0.0825
75142,0.0625
75143,0.0625
75144,0.0825
75146,0.0825
75147,0.0625
75148,0.0625
75149,0.0825
75150,0.0825
75151,0.0825
75152,0.0625
75153,0.0675
75154,0.0825
75155,0.0675
75156,0.0625
75157,0.0725
75158,0.0625
75159,0.0825
75160,0.0825
75161,0.0625
75163,0.0625
75164,0.0775
75165,0.0825
75166,0.0825
75167,0.0625
75168,0.0825
75169,0.0625
75172,0.0825
75173,0.0625
75180,0.0825
75181,0.0825
75182,0.0825
75185,0.0825
75187,0.0825
75189,0.0825
75201,0.0825
75202,0.0825
75203,0.0825
75204,0.0825
75205,0.0825
75206,0.0825
75207,0.0825
75208,0.0825
75209,0.0825
75210,0.0825
75211,0.0825
75212,0.0825
75214,0.0825
75215,0.0825
75216,0.0825
75217,0.0825
75218,0.0825
75219,0.0825
75220,0.0825
75221,0.0825
75222,0.0825
75223,0.0825
75224,0.0825
75225,0.0825
75226,0.0825
75227,0.0825
75228,0.0825
75229,0.0825
75230,0.0825
75231,0.0825
75232,0.0825
75233,0.0825
75234,0.0825
75235,0.0825
75236,0.0825
75237,0.0825
75238,0.0825
75240,0.0825
75241,0.0825
75242,0.0825
75243,0.0825
75244,0.0825
75246,0.0825
75247,0.0825
75248,0.0825
75249,0.0825
75250,0.0825
75251,0.0825
75252,0.0825
75253,0.0825
75254,0.0825
75260,0.0825
75261,0.0825
75262,0.0825
75263,0.0825
75264,0.0825
75265,0.0825
75266,0.0825
75267,0.0825
75270,0.0825
75275,0.0825
75277,0.0825
75283,0.0825
75284,0.0825
75285,0.0825
75287,0.0825
75301,0.0825
75303,0.0825
75312,0.0825
75313,0.0825
75315,0.0825
75320,0.0825
75326,0.0825
75336,0.0825
75339,0.0825
75342,0.0825
75354,0.0825
75355,0.0825
75356,0.0825
75357,0.0825
75358,0.0825
75359,0.0825
75360,0.0825
75367,0.0825
75368,0.0825
75370,0.0825
75371,0.0825
75372,0.0825
75373,0.0825
75374,0.0825
75376,0.0825
75378,0.0825
75379,0.0825
75380,0.0825
75381,0.0825
75382,0.0825
75389,0.0825
75390,0.0825
75391,0.0825
75392,0.0825
75393,0.0825
75394,0.0825
75395,0.0825
75397,0.0825
75398,0.0825
75401,0.0825
75402,0.0825
75403,0.0825
75404,0.0825
75407,0.0625
75409,0.0825
75410,0.0675
75411,0.0675
75412,0.0675
75413,0.0775
75414,0.0625
75415,0.0725
75416,0.0675
75417,0.0675
75418,0.0825
75420,0.0675
75421,0.0675
75422,0.0675
75423,0.0675
75424,0.0625
75425,0.0675
75426,0.0825
75428,0.0825
75429,0.0825
75431,0.0675
75432,0.0825
75433,0.0675
75434,0.0675
75435,0.0775
75436,0.0775
75437,0.0675
