ZipCode,EstimatedCombinedRate
84001,0.062
84002,0.062
84003,0.0685
84004,0.0675
84005,0.0675
84006,0.0685
84007,0.062
84009,0.0685
84010,0.0685
84011,0.0685
84013,0.0675
84014,0.0685
84015,0.0685
84016,0.0685
84017,0.0655
84018,0.0595
84020,0.0685
84021,0.063
84022,0.062
84023,0.0695
84024,0.0655
84025,0.0685
84026,0.0605
84027,0.062
84028,0.078
84029,0.065
84031,0.062
84032,0.0625
84033,0.0655
84035,0.0605
84036,0.0655
84037,0.0675
84038,0.062
84039,0.0605
84040,0.0685
84041,0.0685
84042,0.0685
84043,0.0675
84044,0.0685
84045,0.0675
84046,0.0695
84047,0.0685
84049,0.0735
84050,0.0595
84051,0.063
84052,0.062
84053,0.062
84054,0.0685
84055,0.0655
84056,0.0685
84057,0.0685
84058,0.0685
84059,0.0685
84060,0.0845
84061,0.0655
84062,0.0675
84063,0.0605
84064,0.062
84065,0.0685
84066,0.066
84067,0.071
84068,0.0845
84069,0.062
84070,0.0685
84071,0.062
84072,0.062
84073,0.062
84074,0.066
84075,0.0675
84076,0.0605
84078,0.0605
84079,0.0655
84080,0.062
84081,0.0685
84082,0.0595
84083,0.062
84084,0.0685
84085,0.0605
84086,0.062
84087,0.0685
84088,0.0685
84089,0.0685
84090,0.0685
84091,0.0685
84092,0.0685
84093,0.0685
84094,0.0685
84095,0.0685
84096,0.0685
84097,0.0685
84098,0.0845
84101,0.0685
84102,0.0685
84103,0.0685
84104,0.0685
84105,0.0685
84106,0.0685
84107,0.0705
84108,0.0685
84109,0.0685
84110,0.0685
84111,0.0685
84112,0.0685
84113,0.0685
84114,0.0685
84115,0.0705
84116,0.0685
84117,0.0685
84118,0.0685
84119,0.0685
84120,0.0685
84121,0.0685
84122,0.0705
84123,0.0685
84124,0.0685
84125,0.0685
84126,0.0685
84127,0.0685
84128,0.0685
84129,0.0685
84130,0.0685
84131,0.0685
84132,0.0685
84133,0.0685
84134,0.0685
84138,0.0685
84139,0.0685
84141,0.0685
84143,0.0685
84145,0.0685
84147,0.0685
84148,0.0685
84150,0.0685
84151,0.0685
84152,0.0685
84157,0.0705
84158,0.0685
84165,0.0705
84170,0.0685
84171,0.0685
84180,0.0685
84184,0.0685
84190,0.0685
84199,0.0685
84201,0.071
84244,0.071
84301,0.0595
84302,0.065
84304,0.063
84305,0.063
84306,0.0595
84307,0.0595
84308,0.063
84309,0.0595
84310,0.071
84311,0.0595
84312,0.0595
84313,0.0595
84314,0.0595
84315,0.071
84316,0.0595
84317,0.071
84318,0.0655
84319,0.066
84320,0.0655
84321,0.066
84322,0.066
84323,0.066
84324,0.0595
84325,0.063
84326,0.0655
84327,0.063
84328,0.063
84329,0.0595
84330,0.0595
84331,0.0595
84332,0.066
84333,0.066
84334,0.0595
84335,0.066
84336,0.0595
84337,0.0595
84338,0.063
84339,0.063
84340,0.0595
84341,0.066
84401,0.071
84402,0.071
84403,0.071
84404,0.071
84405,0.073
84407,0.071
84408,0.071
84409,0.071
84412,0.071
84414,0.071
84415,0.071
84501,0.066
84510,0.062
84511,0.066
84512,0.062
84513,0.062
84516,0.062
84518,0.062
84520,0.062
84521,0.062
84522,0.062
84523,0.062
84525,0.081
84526,0.063
84528,0.062
84529,0.063
84530,0.062
84531,0.062
84532,0.086
84533,0.062
84534,0.062
84535,0.066
84536,0.062
84537,0.062
84539,0.062
84540,0.067
84542,0.065
84601,0.0685
84602,0.0685
84603,0.0685
84604,0.0685
84605,0.0685
84606,0.0685
84620,0.063
84621,0.066
84622,0.063
84623,0.062
84624,0.062
84626,0.0675
84627,0.065
84628,0.0595
84629,0.062
84630,0.062
84631,0.062
84632,0.062
84633,0.0675
84634,0.066
84635,0.062
84636,0.062
84637,0.062
84638,0.062
84639,0.0595
84640,0.062
84642,0.062
84643,0.063
84644,0.062
84645,0.0595
84646,0.062
84647,0.065
84648,0.0625
84649,0.062
84651,0.0685
84652,0.063
84653,0.0675
84654,0.066
84655,0.0675
84656,0.062
84657,0.062
84660,0.0675
84662,0.062
84663,0.0675
84664,0.0675
84665,0.062
84667,0.062
84701,0.066
84710,0.0695
84711,0.062
84712,0.0595
84713,0.0695
84714,0.0595
84715,0.0595
84716,0.0805
84718,0.0795
84719,0.0595
84720,0.0605
84721,0.0605
84722,0.0605
84723,0.0595
84724,0.062
84725,0.0605
84726,0.0805
84728,0.062
84729,0.0695
84730,0.066
84733,0.0605
84734,0.0595
84735,0.0695
84736,0.0695
84737,0.0635
84738,0.0635
84739,0.062
84740,0.0595
84741,0.0795
84742,0.0605
84743,0.0595
84744,0.066
84745,0.0635
84746,0.0605
84747,0.0595
84749,0.0595
84750,0.0595
84751,0.0595
84752,0.0595
84753,0.0595
84754,0.062
84755,0.0795
84756,0.0595
84757,0.0605
84758,0.0795
84759,0.0795
84760,0.0595
84761,0.0595
84762,0.0695
84763,0.0605
84764,0.0795
84765,0.0635
84766,0.062
84767,0.0765
84770,0.0635
84771,0.0635
84772,0.0595
84773,0.0595
84774,0.0605
84775,0.0595
84776,0.0795
84779,0.0605
84780,0.0635
84781,0.0605
84782,0.0605
84783,0.0605
84784,0.0635
84790,0.0635
84791,0.0635
