ZipCode,EstimatedCombinedRate
05001,0.06
05009,0.06
05030,0.06
05031,0.06
05032,0.06
05033,0.06
05034,0.06
05035,0.06
05036,0.06
05037,0.06
05038,0.06
05039,0.06
05040,0.06
05041,0.06
05042,0.06
05043,0.06
05045,0.06
05046,0.06
05047,0.06
05048,0.06
05049,0.06
05050,0.06
05051,0.06
05052,0.06
05053,0.06
05054,0.06
05055,0.06
05056,0.06
05058,0.06
05059,0.06
05060,0.06
05061,0.06
05062,0.06
05065,0.06
05067,0.06
05068,0.06
05069,0.06
05070,0.06
05071,0.06
05072,0.06
05073,0.06
05074,0.06
05075,0.06
05076,0.06
05077,0.06
05079,0.06
05081,0.06
05083,0.06
05084,0.06
05085,0.06
05086,0.06
05088,0.06
05089,0.06
05091,0.06
05101,0.06
05141,0.06
05142,0.06
05143,0.06
05144,0.06
05146,0.06
05148,0.06
05149,0.06
05150,0.06
05151,0.06
05152,0.06
05153,0.06
05154,0.06
05155,0.06
05156,0.06
05158,0.06
05159,0.06
05161,0.06
05201,0.06
05250,0.06
05251,0.06
05252,0.06
05253,0.06
05254,0.07
05255,0.07
05257,0.06
05260,0.06
05261,0.06
05262,0.06
05301,0.06
05302,0.06
05303,0.06
05304,0.06
05340,0.07
05341,0.07
05342,0.06
05343,0.06
05344,0.06
05345,0.06
05346,0.06
05350,0.06
05351,0.06
05352,0.06
05353,0.06
05354,0.06
05355,0.06
05356,0.07
05357,0.06
05358,0.06
05359,0.06
05360,0.07
05361,0.06
05362,0.06
05363,0.07
05401,0.07
05402,0.07
05403,0.07
05404,0.06
05405,0.07
05406,0.07
05407,0.07
05408,0.07
05439,0.07
05440,0.06
05441,0.06
05442,0.06
05443,0.06
05444,0.06
05445,0.06
05446,0.07
05447,0.06
05448,0.06
05449,0.07
05450,0.06
05451,0.06
05452,0.06
05453,0.06
05454,0.06
05455,0.06
05456,0.06
05457,0.06
05458,0.06
05459,0.06
05460,0.06
05461,0.06
05462,0.06
05463,0.06
05464,0.06
05465,0.06
05466,0.06
05468,0.06
05469,0.06
05470,0.06
05471,0.06
05472,0.06
05473,0.06
05474,0.06
05476,0.06
05477,0.06
05478,0.06
05479,0.06
05481,0.07
05482,0.06
05483,0.06
05485,0.06
05486,0.06
05487,0.06
05488,0.06
05489,0.06
05490,0.06
05491,0.06
05492,0.06
05494,0.06
05495,0.07
05601,0.06
05602,0.06
05603,0.06
05604,0.06
05609,0.06
05620,0.06
05633,0.06
05640,0.06
05641,0.06
05647,0.06
05648,0.06
05649,0.06
05650,0.06
05651,0.06
05652,0.06
05653,0.06
05654,0.06
05655,0.06
05656,0.06
05657,0.06
05658,0.06
05660,0.06
05661,0.06
05662,0.06
05663,0.06
05664,0.06
05665,0.06
05666,0.06
05667,0.06
05669,0.06
05670,0.06
05671,0.06
05672,0.06
05673,0.06
05674,0.06
05675,0.06
05676,0.06
05677,0.06
05678,0.06
05679,0.06
05680,0.06
05681,0.06
05682,0.06
05701,0.06
05702,0.06
05730,0.06
05731,0.06
05732,0.06
05733,0.07
05734,0.06
05735,0.06
05736,0.07
05737,0.06
05738,0.06
05739,0.06
05740,0.07
05741,0.06
05742,0.06
05743,0.06
05744,0.06
05745,0.06
05746,0.06
05747,0.06
05748,0.06
05750,0.06
05751,0.07
05753,0.07
05757,0.06
05758,0.06
05759,0.06
05760,0.06
05761,0.06
05762,0.06
05763,0.06
05764,0.06
05765,0.06
05766,0.06
05767,0.06
05768,0.06
05769,0.06
05770,0.06
05772,0.06
05773,0.06
05774,0.06
05775,0.06
05776,0.06
05777,0.06
05778,0.06
05819,0.06
05820,0.06
05821,0.06
05822,0.06
05823,0.06
05824,0.06
05825,0.06
05826,0.06
05827,0.06
05828,0.06
05829,0.06
05830,0.06
05832,0.06
05833,0.06
05836,0.06
05837,0.06
05838,0.06
05839,0.06
05840,0.06
05841,0.06
05842,0.06
05843,0.06
05845,0.06
05846,0.06
05847,0.06
05848,0.06
05849,0.06
05850,0.06
05851,0.06
05853,0.06
05855,0.06
05857,0.06
05858,0.06
05859,0.06
05860,0.06
05861,0.06
05862,0.06
05863,0.06
05866,0.06
05867,0.06
05868,0.06
05871,0.06
05872,0.06
05873,0.06
05874,0.06
05875,0.06
05901,0.06
05902,0.06
05903,0.06
05904,0.06
05905,0.06
05906,0.06
05907,0.06
