ZipCode,EstimatedCombinedRate
20101,0.06
20102,0.06
20103,0.06
20104,0.06
20105,0.06
20106,0.053
20108,0.06
20109,0.06
20110,0.06
20111,0.06
20112,0.06
20113,0.06
20115,0.053
20116,0.053
20117,0.06
20118,0.06
20119,0.053
20120,0.06
20121,0.06
20122,0.06
20124,0.06
20128,0.053
20129,0.06
20130,0.053
20131,0.06
20132,0.06
20134,0.06
20135,0.053
20136,0.06
20137,0.053
20138,0.053
20139,0.053
20140,0.053
20141,0.06
20142,0.06
20143,0.06
20144,0.053
20146,0.06
20147,0.06
20148,0.06
20149,0.06
20151,0.06
20152,0.06
20153,0.06
20155,0.06
20156,0.06
20158,0.06
20159,0.06
20160,0.06
20163,0.06
20164,0.06
20165,0.06
20166,0.06
20167,0.06
20168,0.06
20169,0.06
20170,0.06
20171,0.06
20172,0.06
20175,0.06
20176,0.06
20177,0.06
20178,0.06
20180,0.06
20181,0.06
20182,0.06
20184,0.053
20185,0.053
20186,0.053
20187,0.053
20188,0.053
20189,0.06
20190,0.06
20191,0.06
20192,0.06
20194,0.06
20195,0.06
20196,0.06
20197,0.06
20198,0.053
20598,0.06
22003,0.06
22009,0.06
22015,0.06
22025,0.06
22026,0.06
22027,0.06
22030,0.06
22031,0.06
22032,0.06
22033,0.06
22034,0.06
22035,0.06
22036,0.06
22037,0.06
22038,0.06
22039,0.06
22040,0.06
22041,0.06
22042,0.06
22043,0.06
22044,0.06
22046,0.06
22060,0.06
22066,0.06
22079,0.06
22081,0.06
22082,0.06
22095,0.06
22096,0.06
22101,0.06
22102,0.06
22103,0.06
22106,0.06
22107,0.06
22108,0.06
22109,0.06
22116,0.06
22121,0.06
22122,0.06
22124,0.06
22125,0.06
22134,0.06
22135,0.06
22150,0.06
22151,0.06
22152,0.06
22153,0.06
22156,0.06
22158,0.06
22159,0.06
22160,0.06
22161,0.06
22172,0.06
22180,0.06
22181,0.06
22182,0.06
22183,0.06
22185,0.06
22191,0.06
22192,0.06
22193,0.06
22194,0.06
22195,0.06
22199,0.06
22201,0.06
22202,0.06
22203,0.06
22204,0.06
22205,0.06
22206,0.06
22207,0.06
22209,0.06
22210,0.06
22211,0.06
22212,0.06
22213,0.06
22214,0.06
22215,0.06
22216,0.06
22217,0.06
22219,0.06
22225,0.06
22226,0.06
22227,0.06
22230,0.06
22240,0.06
22241,0.06
22242,0.06
22243,0.06
22244,0.06
22245,0.06
22246,0.06
22301,0.06
22302,0.06
22303,0.06
22304,0.06
22305,0.06
22306,0.06
22307,0.06
22308,0.06
22309,0.06
22310,0.06
22311,0.06
