ZipCode,EstimatedCombinedRate
24701,0.07
24712,0.06
24714,0.06
24715,0.06
24716,0.07
24719,0.07
24724,0.06
24726,0.06
24729,0.07
24731,0.06
24732,0.06
24733,0.06
24736,0.06
24737,0.07
24738,0.07
24739,0.07
24740,0.06
24747,0.06
24751,0.06
24801,0.06
24808,0.06
24811,0.06
24813,0.06
24815,0.06
24816,0.06
24817,0.06
24818,0.06
24822,0.06
24823,0.06
24826,0.06
24827,0.06
24828,0.06
24829,0.06
24830,0.06
24831,0.06
24834,0.06
24836,0.06
24839,0.06
24843,0.06
24844,0.06
24845,0.06
24846,0.06
24847,0.06
24848,0.06
24849,0.06
24850,0.06
24851,0.06
24853,0.06
24854,0.06
24855,0.06
24857,0.06
24859,0.06
24860,0.06
24861,0.06
24862,0.06
24866,0.06
24867,0.06
24868,0.06
24869,0.06
24870,0.06
24871,0.06
24872,0.06
24873,0.06
24874,0.06
24878,0.06
24879,0.06
24880,0.06
24881,0.06
24882,0.06
24884,0.06
24887,0.06
24888,0.06
24892,0.06
24894,0.06
24895,0.06
24898,0.06
24901,0.06
24902,0.06
24910,0.06
24915,0.06
24916,0.06
24918,0.06
24920,0.06
24924,0.06
24925,0.06
24927,0.06
24931,0.06
24934,0.06
24935,0.06
24938,0.06
24941,0.06
24943,0.06
24944,0.06
24945,0.06
24946,0.06
24951,0.06
24954,0.06
24957,0.06
24962,0.06
24963,0.06
24966,0.06
24970,0.06
24974,0.06
24976,0.06
24977,0.06
24981,0.06
24983,0.06
24984,0.06
24985,0.06
24986,0.06
24991,0.06
24993,0.06
25002,0.06
25003,0.06
25005,0.06
25007,0.06
25008,0.06
25009,0.06
25011,0.06
25015,0.06
25019,0.06
25021,0.06
25022,0.06
25024,0.06
25025,0.06
25026,0.06
25028,0.06
25030,0.06
25031,0.06
25033,0.06
25035,0.06
25036,0.06
25039,0.06
25040,0.06
25043,0.06
25044,0.06
25045,0.06
25047,0.06
25048,0.06
25049,0.06
25051,0.06
25053,0.06
25054,0.06
25057,0.06
25059,0.06
25060,0.06
25061,0.06
25062,0.06
25063,0.06
25064,0.06
25067,0.06
25070,0.06
25071,0.06
25075,0.06
25076,0.06
25079,0.06
25081,0.06
25082,0.06
25083,0.06
25085,0.06
25086,0.06
25088,0.06
25090,0.06
25093,0.06
25102,0.07
25103,0.06
25106,0.06
25107,0.06
25108,0.06
25109,0.06
25110,0.06
25111,0.06
25112,0.06
25113,0.06
25114,0.06
25115,0.06
25118,0.06
25119,0.06
25121,0.06
25123,0.06
25124,0.06
25125,0.06
25126,0.06
25130,0.06
25132,0.06
25133,0.06
25134,0.06
25136,0.06
25139,0.06
25140,0.06
25141,0.06
25142,0.06
25143,0.07
25148,0.06
25149,0.06
25154,0.06
25156,0.06
25159,0.06
25160,0.06
25161,0.06
25162,0.06
25164,0.06
25165,0.06
25168,0.06
25169,0.06
25173,0.06
25174,0.06
25177,0.06
25180,0.06
25181,0.06
25183,0.06
25185,0.06
25186,0.06
25187,0.06
25193,0.06
25201,0.06
25202,0.06
25203,0.06
25204,0.06
25205,0.06
25206,0.06
25208,0.06
25209,0.06
25211,0.06
25213,0.06
25214,0.06
25231,0.06
25234,0.06
25235,0.06
25239,0.06
25241,0.06
25243,0.06
25244,0.06
25245,0.06
25247,0.06
25248,0.06
25251,0.06
25252,0.06
25253,0.06
25259,0.06
25260,0.06
25261,0.06
25262,0.06
25264,0.06
25265,0.06
25266,0.06
25267,0.06
25268,0.06
25270,0.06
25271,0.06
25275,0.06
25276,0.06
25285,0.06
25286,0.06
25287,0.06
25301,0.07
25302,0.07
25303,0.07
25304,0.07
25305,0.07
25306,0.06
25309,0.06
25311,0.07
25312,0.06
25313,0.06
25314,0.07
25315,0.06
25317,0.07
25320,0.06
25321,0.07
25322,0.07
25323,0.07
25324,0.07
25325,0.07
25326,0.07
25327,0.07
25328,0.07
25329,0.07
25330,0.07
25331,0.07
25332,0.07
25333,0.07
25334,0.07
25335,0.07
25336,0.07
25337,0.07
25338,0.07
25339,0.07
25350,0.07
25356,0.06
25357,0.07
25358,0.07
25360,0.06
25361,0.07
25362,0.07
25364,0.07
25365,0.06
25375,0.07
25387,0.07
25389,0.07
25392,0.07
25396,0.07
25401,0.07
25402,0.07
25403,0.06
25404,0.06
25405,0.06
25410,0.07
25411,0.06
25413,0.06
25414,0.06
25419,0.06
25420,0.06
25421,0.06
25422,0.06
25423,0.07
25425,0.06
25427,0.06
25428,0.06
25430,0.06
25431,0.06
25432,0.06
25434,0.06
25437,0.06
25438,0.07
25440,0.06
25441,0.06
25442,0.06
25443,0.06
25444,0.06
25446,0.06
25501,0.06
25502,0.06
25503,0.06
25504,0.06
25505,0.06
25506,0.06
25507,0.07
25508,0.06
25510,0.06
25511,0.06
25512,0.06
25514,0.06
25515,0.06
25517,0.06
25520,0.06
25521,0.06
25523,0.06
25524,0.06
25526,0.06
25529,0.06
25530,0.06
25534,0.06
25535,0.06
25537,0.06
25540,0.06
25541,0.06
25544,0.06
25545,0.06
25547,0.06
25550,0.06
25555,0.06
25557,0.06
25559,0.06
25560,0.06
25562,0.06
25564,0.06
25565,0.06
25567,0.06
25569,0.06
25570,0.06
25571,0.06
25572,0.06
25573,0.06
25601,0.06
25606,0.06
25607,0.06
25608,0.06
25611,0.06
25612,0.06
25614,0.06
25617,0.06
25621,0.06
25624,0.06
25625,0.06
25628,0.06
25630,0.06
25632,0.06
25634,0.06
25635,0.06
25637,0.06
25638,0.06
25639,0.06
25644,0.06
25646,0.06
25647,0.06
25649,0.06
25650,0.06
25651,0.06
25652,0.06
25653,0.06
25654,0.06
25661,0.06
25665,0.06
25666,0.06
25667,0.06
25669,0.06
25670,0.06
25671,0.06
25672,0.06
25674,0.06
25676,0.06
25678,0.06
25685,0.06
25686,0.06
25688,0.06
25690,0.06
25691,0.06
25692,0.06
25696,0.06
25699,0.06
25701,0.07
25702,0.07
25703,0.07
25704,0.07
25705,0.06
25706,0.07
25707,0.07
25708,0.07
25709,0.07
25710,0.07
25711,0.07
25712,0.07
25713,0.07
25714,0.07
25715,0.07
25716,0.07
25717,0.07
25718,0.07
25719,0.07
25720,0.07
25721,0.07
25722,0.07
25723,0.07
25724,0.07
25725,0.07
25726,0.07
25727,0.07
25728,0.07
25729,0.07
25755,0.07
25770,0.07
25771,0.07
25772,0.07
25773,0.07
25774,0.07
25775,0.07
25776,0.07
25777,0.07
25778,0.07
25779,0.07
25801,0.07
25802,0.07
25810,0.06
25811,0.06
25812,0.06
25813,0.06
25817,0.06
25818,0.06
25820,0.06
25823,0.06
25825,0.06
25826,0.06
25827,0.06
25831,0.06
25832,0.06
25833,0.06
25836,0.07
25837,0.06
25839,0.07
25840,0.06
25841,0.06
25843,0.06
25844,0.06
25845,0.07
25846,0.06
25848,0.06
25849,0.06
25851,0.07
25853,0.06
25854,0.06
25855,0.06
25857,0.06
25860,0.07
25862,0.06
25864,0.06
25865,0.06
25866,0.07
25868,0.06
25870,0.06
25871,0.07
25873,0.06
25875,0.07
25876,0.06
25878,0.06
25879,0.06
25880,0.06
25882,0.06
25901,0.06
25902,0.06
25904,0.06
25906,0.07
25907,0.06
25908,0.06
25909,0.06
25911,0.07
25913,0.06
25915,0.06
25916,0.06
25917,0.06
25918,0.06
25919,0.07
25920,0.06
25921,0.06
