ZipCode,EstimatedCombinedRate
53001,0.055
53002,0.056
53003,0.055
53004,0.056
53005,0.051
53006,0.055
53007,0.051
53008,0.051
53010,0.055
53011,0.055
53012,0.056
53013,0.055
53014,0.05
53015,0.05
53016,0.055
53017,0.056
53018,0.051
53019,0.055
53020,0.055
53021,0.056
53022,0.056
53023,0.055
53024,0.056
53026,0.055
53027,0.056
53029,0.051
53031,0.055
53032,0.055
53033,0.056
53034,0.055
53035,0.055
53036,0.055
53037,0.056
53038,0.055
53039,0.055
53040,0.056
53042,0.05
53044,0.055
53045,0.051
53046,0.051
53047,0.055
53048,0.055
53049,0.055
53050,0.055
53051,0.051
53052,0.051
53056,0.051
53057,0.055
53058,0.051
53059,0.055
53060,0.056
53061,0.05
53062,0.05
53063,0.05
53064,0.051
53065,0.055
53066,0.051
53069,0.051
53070,0.055
53072,0.051
53073,0.055
53074,0.056
53075,0.055
53076,0.056
53078,0.055
53079,0.055
53080,0.056
53081,0.055
53082,0.055
53083,0.055
53085,0.055
53086,0.056
53088,0.05
53089,0.051
53090,0.056
53091,0.055
53092,0.056
53093,0.055
53094,0.055
53095,0.056
53097,0.056
53098,0.055
53099,0.055
53101,0.055
53102,0.055
53103,0.051
53104,0.055
53105,0.051
53108,0.051
53109,0.055
53110,0.056
53114,0.055
53115,0.055
53118,0.051
53119,0.051
53120,0.055
53121,0.055
53122,0.051
53125,0.055
53126,0.051
53127,0.051
53128,0.055
53129,0.056
53130,0.056
53132,0.056
53137,0.055
53138,0.055
53139,0.051
53140,0.055
53141,0.055
53142,0.055
53143,0.055
53144,0.055
53146,0.051
53147,0.055
53148,0.055
53149,0.051
53150,0.051
53151,0.051
53152,0.055
53153,0.051
53154,0.056
53156,0.055
53157,0.055
53158,0.055
53159,0.055
53167,0.051
53168,0.055
53170,0.055
53171,0.055
53172,0.056
53176,0.055
53177,0.051
53178,0.055
53179,0.055
53181,0.055
53182,0.051
53183,0.051
53184,0.055
53185,0.051
53186,0.051
53187,0.051
53188,0.051
53189,0.051
53190,0.055
53191,0.055
53192,0.055
53194,0.055
53195,0.055
53201,0.056
53202,0.056
53203,0.056
53204,0.056
53205,0.056
53206,0.056
53207,0.056
53208,0.056
53209,0.056
53210,0.056
53211,0.056
53212,0.056
53213,0.056
53214,0.056
53215,0.056
53216,0.056
53217,0.056
53218,0.056
53219,0.056
53220,0.056
53221,0.056
53222,0.056
53223,0.056
53224,0.056
53225,0.056
53226,0.056
53227,0.056
53228,0.056
53233,0.056
53234,0.056
53235,0.056
53237,0.056
53259,0.056
53263,0.056
53274,0.056
53278,0.056
53288,0.056
53290,0.056
53293,0.056
53295,0.056
53401,0.051
53402,0.051
53403,0.051
53404,0.051
53405,0.051
53406,0.051
53408,0.051
53501,0.055
53502,0.055
53503,0.055
53504,0.055
53505,0.055
53506,0.055
53507,0.055
53508,0.055
53510,0.055
53511,0.055
53512,0.055
53515,0.055
53516,0.055
53517,0.055
53518,0.055
53520,0.055
53521,0.055
53522,0.055
53523,0.055
53525,0.055
53526,0.055
53527,0.055
53528,0.055
53529,0.055
53530,0.055
53531,0.055
53532,0.055
53533,0.055
53534,0.055
53535,0.055
53536,0.055
53537,0.055
53538,0.055
53540,0.055
53541,0.055
53542,0.055
53543,0.055
53544,0.055
53545,0.055
53546,0.055
53547,0.055
53548,0.055
53549,0.055
53550,0.055
53551,0.055
53553,0.055
53554,0.055
53555,0.055
53556,0.055
53557,0.055
53558,0.055
53559,0.055
53560,0.055
53561,0.055
53562,0.055
53563,0.055
53565,0.055
53566,0.055
53569,0.055
53570,0.055
53571,0.055
53572,0.055
53573,0.055
53574,0.055
53575,0.055
53576,0.055
53577,0.055
53578,0.055
53579,0.055
53580,0.055
53581,0.055
53582,0.055
53583,0.055
53584,0.055
53585,0.055
53586,0.055
53587,0.055
53588,0.055
53589,0.055
53590,0.055
53593,0.055
53594,0.055
53595,0.055
53596,0.055
53597,0.055
53598,0.055
53599,0.055
53701,0.055
53702,0.055
53703,0.055
53704,0.055
53705,0.055
53706,0.055
53707,0.055
53708,0.055
53711,0.055
53713,0.055
53714,0.055
53715,0.055
53716,0.055
53717,0.055
53718,0.055
53719,0.055
53725,0.055
53726,0.055
53744,0.055
53774,0.055
53777,0.055
53782,0.055
53783,0.055
53784,0.055
53785,0.055
53786,0.055
53788,0.055
53790,0.055
53791,0.055
53792,0.055
53793,0.055
53794,0.055
53801,0.055
53802,0.055
53803,0.055
53804,0.055
53805,0.055
53806,0.055
53807,0.055
53808,0.055
53809,0.055
53810,0.055
53811,0.055
53812,0.055
53813,0.055
53816,0.055
53817,0.055
53818,0.055
53820,0.055
53821,0.055
53824,0.055
53825,0.055
53826,0.055
53827,0.055
53901,0.055
53910,0.055
53911,0.055
53913,0.055
53916,0.055
53919,0.055
53920,0.055
53922,0.055
53923,0.055
53924,0.055
53925,0.055
53926,0.055
53928,0.055
53929,0.055
53930,0.055
53931,0.055
53932,0.055
53933,0.055
53934,0.055
53935,0.055
53936,0.055
53937,0.055
53939,0.055
53940,0.055
53941,0.055
53942,0.055
53943,0.055
53944,0.055
53946,0.055
53947,0.055
53948,0.055
53949,0.055
53950,0.055
53951,0.055
53952,0.055
53953,0.055
53954,0.055
53955,0.055
53956,0.055
53957,0.055
53958,0.055
53959,0.055
53960,0.055
53961,0.055
53962,0.055
53963,0.055
53964,0.055
53965,0.055
53968,0.055
53969,0.055
54001,0.055
54002,0.055
54003,0.055
54004,0.055
54005,0.055
54006,0.055
54007,0.055
54009,0.055
54010,0.055
54011,0.055
54013,0.055
54014,0.055
54015,0.055
54016,0.055
54017,0.055
54020,0.055
54021,0.055
54022,0.055
54023,0.055
54024,0.055
54025,0.055
54026,0.055
54027,0.055
54028,0.055
54082,0.055
54101,0.055
54102,0.055
54103,0.055
54104,0.055
54106,0.05
54107,0.055
54110,0.05
54111,0.055
54112,0.055
54113,0.05
54114,0.055
54115,0.055
54119,0.055
54120,0.055
54121,0.055
54123,0.05
54124,0.055
54125,0.055
54126,0.055
54127,0.055
54128,0.055
54129,0.05
54130,0.05
54131,0.05
54135,0.05
54136,0.05
54137,0.055
54138,0.055
54139,0.055
54140,0.05
54141,0.055
54143,0.055
54149,0.055
54150,0.05
54151,0.055
54152,0.05
54153,0.055
54154,0.055
54155,0.055
54156,0.055
54157,0.055
54159,0.055
54160,0.05
54161,0.055
54162,0.055
54165,0.05
54166,0.055
54169,0.05
54170,0.05
54171,0.055
54173,0.055
54174,0.055
54175,0.055
54177,0.055
54180,0.055
54201,0.055
54202,0.055
54204,0.055
54205,0.055
54207,0.05
54208,0.055
54209,0.055
54210,0.055
54211,0.055
54212,0.055
54213,0.055
54214,0.05
54215,0.05
54216,0.055
54217,0.055
54220,0.05
54221,0.05
54226,0.055
54227,0.05
54228,0.05
54229,0.055
54230,0.05
54232,0.05
54234,0.055
54235,0.055
54241,0.05
54245,0.05
54246,0.055
54247,0.05
54301,0.055
54302,0.055
54303,0.055
54304,0.055
54305,0.055
54306,0.055
54307,0.055
54308,0.055
54311,0.055
54313,0.055
54324,0.055
54344,0.055
54401,0.055
54402,0.055
54403,0.055
54404,0.055
54405,0.055
54406,0.055
54407,0.055
54408,0.055
54409,0.055
54410,0.055
54411,0.055
54412,0.055
54413,0.055
54414,0.055
54415,0.055
54416,0.055
54417,0.055
54418,0.055
54420,0.055
54421,0.055
54422,0.055
54423,0.055
54424,0.055
